champion1,champion2,games,wins,win_rate
Camille,Lucian,1,0,0.0
Janna,Draven,1,1,100.0
Lulu,Corki,1,0,0.0
Pyke,Yunara,1,0,0.0
Bard,Twitch,1,1,100.0
Senna,Seraphine,1,0,0.0
Sona,Kaisa,1,1,100.0
Seraphine,Lucian,1,1,100.0
Rell,Miss Fortune,2,0,0.0
Seraphine,Yunara,1,1,100.0
Lulu,Twitch,1,0,0.0
Poppy,Twitch,2,1,50.0
Alistar,Ashe,1,1,100.0
Taric,Riven,1,0,0.0
Neeko,Kaisa,2,2,100.0
Heimerdinger,Jhin,1,0,0.0
Leona,Sivir,1,1,100.0
Zyra,Caitlyn,1,0,0.0
Soraka,Jhin,1,1,100.0
Alistar,Ziggs,2,0,0.0
Alistar,Tristana,2,2,100.0
Sona,Twitch,1,1,100.0
Lulu,Yunara,1,0,0.0
Braum,Twitch,1,1,100.0
Rell,Sivir,1,0,0.0
Rell,Jhin,1,1,100.0
Nautilus,Senna,2,0,0.0
Alistar,Sivir,2,2,100.0
Rakan,Jhin,1,0,0.0
Alistar,Twitch,4,3,75.0
Nautilus,Kaisa,2,1,50.0
Renata,Tristana,1,1,100.0
Fiddlesticks,Yunara,1,0,0.0
Nautilus,Aphelios,1,0,0.0
Milio,Lucian,2,1,50.0
Nautilus,Varus,2,1,50.0
Pyke,Annie,1,0,0.0
Janna,Caitlyn,1,1,100.0
Leona,Veigar,1,1,100.0
Kled,Draven,1,0,0.0
Poppy,Vayne,1,0,0.0
Rell,Lux,1,1,100.0
Zilean,Samira,1,1,100.0
Rakan,Jinx,1,0,0.0
Janna,Miss Fortune,1,1,100.0
Zyra,Veigar,1,0,0.0
Lux,Corki,1,1,100.0
Milio,Vayne,2,2,100.0
Sona,Ezreal,1,0,0.0
Pantheon,Nilah,1,0,0.0
Neeko,Draven,1,0,0.0
Pyke,Corki,1,1,100.0
Sona,Ashe,1,1,100.0
Shen,Smolder,1,0,0.0
Nautilus,Tristana,2,2,100.0
Leona,Jhin,1,1,100.0
Karma,Sivir,2,1,50.0
Nautilus,Viktor,1,0,0.0
Nidalee,Kaisa,1,1,100.0
Poppy,Tristana,1,0,0.0
Nautilus,Lux,1,1,100.0
Sylas,Kaisa,1,0,0.0
Zoe,Caitlyn,1,0,0.0
Rell,Smolder,1,1,100.0
Braum,Vayne,1,0,0.0
Gragas,Samira,1,0,0.0
Alistar,Aphelios,2,1,50.0
Nami,Sivir,1,1,100.0
Pyke,Varus,1,1,100.0
Morgana,Aphelios,1,0,0.0
Bard,Aphelios,1,1,100.0
Blitzcrank,Ashe,1,0,0.0
Karma,Smolder,1,0,0.0
Poppy,Xayah,1,1,100.0
Nautilus,Corki,1,0,0.0
Bard,Smolder,1,1,100.0
Nautilus,Jhin,1,0,0.0
Rakan,Kaisa,1,0,0.0
Karma,Ezreal,1,1,100.0
Renata,Varus,2,1,50.0
Lulu,Aphelios,1,1,100.0
Janna,Vayne,2,1,50.0
Senna,Jinx,1,0,0.0
Neeko,Viktor,1,1,100.0
Diana,Kaisa,1,0,0.0
Shaco,Kaisa,1,1,100.0
Sona,Aphelios,1,0,0.0
Milio,Sivir,1,1,100.0
Alistar,Varus,1,0,0.0
Braum,Ashe,1,1,100.0
Lulu,Zeri,2,1,50.0
Rakan,Sivir,1,0,0.0
Zilean,Aphelios,1,0,0.0
Jarvan IV,Jhin,1,0,0.0
Nautilus,Miss Fortune,1,1,100.0
Pyke,Kaisa,1,0,0.0
Leona,Twitch,1,1,100.0
Bard,Urgot,1,0,0.0
Sona,Zyra,1,1,100.0
Pyke,Sivir,1,1,100.0
Janna,Irelia,1,1,100.0
