champion1,champion2,champion3,games,wins,win_rate
Trundle,Rell,Orianna,1,0,0.0
Viego,Seraphine,Orianna,1,1,100.0
Sejuani,Lulu,Naafiri,1,0,0.0
Shaco,Poppy,Corki,1,0,0.0
Jarvan IV,Alistar,Ryze,1,1,100.0
Viego,Alistar,Gragas,1,1,100.0
Pantheon,Taric,Fizz,1,0,0.0
Viego,Neeko,Riven,1,1,100.0
Pantheon,Heimerdinger,Akali,1,0,0.0
Zed,Leona,Azir,1,1,100.0
Xin Zhao,Zyra,Vladimir,1,0,0.0
Ivern,Soraka,Azir,1,1,100.0
Xin Zhao,Alistar,Viktor,1,0,0.0
Talon,Alistar,Xerath,1,1,100.0
Graves,Yuumi,Syndra,1,0,0.0
Wukong,Sona,Galio,1,1,100.0
Lee Sin,Lulu,Lissandra,1,0,0.0
Pantheon,Braum,Ambessa,1,1,100.0
Viego,Alistar,Orianna,1,0,0.0
Jarvan IV,Alistar,Ziggs,1,1,100.0
Vi,Rell,Orianna,1,0,0.0
Qiyana,Rell,Orianna,1,1,100.0
Wukong,Alistar,Zac,1,0,0.0
Jarvan IV,Nautilus,Orianna,1,0,0.0
Pantheon,Alistar,Sylas,1,1,100.0
Vi,Rakan,Taliyah,1,0,0.0
Zed,Alistar,Aurora,1,1,100.0
Elise,Braum,Chogath,1,1,100.0
Viego,Nautilus,Ryze,1,0,0.0
Xin Zhao,Alistar,Yone,1,0,0.0
Viego,Nautilus,Aurora,1,1,100.0
Zyra,Renata,Zed,1,1,100.0
Ekko,Fiddlesticks,Viktor,1,0,0.0
Lee Sin,Nautilus,Twisted Fate,1,0,0.0
Pantheon,Milio,Sylas,1,1,100.0
Lee Sin,Nautilus,Kayle,1,0,0.0
Udyr,Nami,Orianna,1,1,100.0
Volibear,Pyke,Ahri,1,0,0.0
Kayn,Janna,Sylas,1,1,100.0
Ivern,Leona,Caitlyn,1,1,100.0
Dr. Mundo,Kled,Kayle,1,0,0.0
Viego,Poppy,Nidalee,1,0,0.0
Hecarim,Rell,Riven,1,1,100.0
Viego,Zilean,Ryze,1,1,100.0
Ivern,Rakan,Azir,1,0,0.0
Fiddlesticks,Janna,Azir,1,1,100.0
Taliyah,Rell,Yone,1,0,0.0
Ivern,Zyra,Pantheon,1,0,0.0
Jarvan IV,Lux,Taliyah,1,1,100.0
Udyr,Milio,Ahri,1,1,100.0
Shaco,Sona,Aurora,1,0,0.0
Yuumi,Pantheon,Rumble,1,0,0.0
Gwen,Nami,Vladimir,1,1,100.0
Gwen,Neeko,Nidalee,1,0,0.0
Ekko,Pyke,Azir,1,1,100.0
Belveth,Sona,Taliyah,1,1,100.0
Rammus,Yuumi,Zoe,1,0,0.0
Nunu & Willump,Shen,Taliyah,1,0,0.0
Graves,Nautilus,Twisted Fate,1,1,100.0
Nunu & Willump,Leona,Ahri,1,1,100.0
Volibear,Karma,Karthus,1,0,0.0
Nunu & Willump,Nautilus,Naafiri,1,0,0.0
Ivern,Nidalee,Caitlyn,1,1,100.0
Hecarim,Poppy,Sylas,1,0,0.0
Jarvan IV,Nautilus,Naafiri,1,1,100.0
Talon,Neeko,Renekton,1,1,100.0
Karthus,Alistar,Naafiri,1,0,0.0
Gragas,Sylas,Caitlyn,1,0,0.0
Talon,Alistar,Twisted Fate,1,1,100.0
Viego,Zoe,Twisted Fate,1,0,0.0
Volibear,Poppy,Lissandra,1,1,100.0
Nidalee,Nautilus,Corki,2,1,50.0
Lee Sin,Rell,Taliyah,1,1,100.0
Lee Sin,Braum,Zoe,1,0,0.0
Hecarim,Nautilus,Lissandra,1,1,100.0
Nidalee,Alistar,Kassadin,1,1,100.0
Karthus,Gragas,Ryze,1,0,0.0
Nidalee,Alistar,Syndra,1,0,0.0
Ambessa,Nami,Zac,1,1,100.0
Ambessa,Pyke,LeBlanc,1,1,100.0
Qiyana,Morgana,Zac,1,0,0.0
Jarvan IV,Bard,Neeko,1,1,100.0
Nidalee,Blitzcrank,Aurora,1,0,0.0
Volibear,Alistar,Twisted Fate,1,1,100.0
Jax,Karma,Zoe,1,0,0.0
Vayne,Poppy,Mel,1,1,100.0
Lee Sin,Nautilus,Ahri,1,0,0.0
Pantheon,Bard,Hwei,1,1,100.0
Lee Sin,Nautilus,Syndra,1,0,0.0
Lee Sin,Karma,Hwei,1,1,100.0
Volibear,Rell,Twisted Fate,1,0,0.0
Jarvan IV,Rakan,Kennen,1,0,0.0
Poppy,Karma,Zoe,1,1,100.0
Wukong,Renata,Zoe,1,0,0.0
Pantheon,Lulu,Nidalee,1,1,100.0
Talon,Janna,Hwei,1,1,100.0
Nunu & Willump,Senna,Riven,1,0,0.0
Zac,Neeko,Riven,1,1,100.0
Volibear,Diana,Ryze,1,0,0.0
Belveth,Shaco,Aurora,1,1,100.0
Nidalee,Janna,Azir,1,0,0.0
Gwen,Sona,Varus,1,0,0.0
Elise,Milio,Riven,1,1,100.0
Nidalee,Alistar,Riven,1,0,0.0
Lee Sin,Milio,Twisted Fate,1,1,100.0
Lee Sin,Thresh,Zoe,1,0,0.0
Poppy,Braum,Kayle,1,1,100.0
Rammus,Lulu,Akali,1,1,100.0
Belveth,Rakan,Sylas,1,0,0.0
Lee Sin,Zilean,Zoe,1,0,0.0
Nidalee,Nautilus,Katarina,1,1,100.0
Poppy,Lulu,Syndra,1,0,0.0
Lee Sin,Alistar,Riven,1,1,100.0
Xin Zhao,Jarvan IV,Ekko,1,0,0.0
Nidalee,Nautilus,Vayne,1,0,0.0
Kindred,Renata,Taliyah,1,1,100.0
Graves,Milio,Kayle,1,0,0.0
Jarvan IV,Alistar,Viktor,1,1,100.0
Ivern,Nautilus,Taliyah,1,1,100.0
Nunu & Willump,Pyke,Viktor,1,0,0.0
Pantheon,Braum,Twisted Fate,1,0,0.0
Viego,Leona,Hwei,1,1,100.0
Ekko,Bard,Pantheon,1,0,0.0
Viego,Sona,Gragas,1,1,100.0
Lee Sin,Pyke,Lissandra,1,1,100.0
Viego,Nami,Xerath,1,0,0.0
Udyr,Janna,Riven,1,1,100.0
Pantheon,Nami,Vladimir,1,0,0.0
Fiddlesticks,Bard,Sion,1,0,0.0
Talon,Alistar,VelKoz,1,1,100.0
