champion1,champion2,champion3,games,wins,win_rate
Vi,Sivir,Rell,1,0,0.0
Qiyana,Jhin,Rell,1,1,100.0
Wukong,Ezreal,Alistar,1,0,0.0
Jarvan IV,Senna,Nautilus,1,0,0.0
Pantheon,Sivir,Alistar,1,1,100.0
Vi,Jhin,Rakan,1,0,0.0
Zed,Twitch,Alistar,1,1,100.0
Elise,Yunara,Braum,1,1,100.0
Viego,Kaisa,Nautilus,1,0,0.0
Viego,Yunara,Nautilus,1,1,100.0
Zyra,Tristana,Renata,1,1,100.0
Ekko,Yunara,Fiddlesticks,1,0,0.0
Lee Sin,Aphelios,Nautilus,1,0,0.0
Pantheon,Lucian,Milio,1,1,100.0
Lee Sin,Varus,Nautilus,1,0,0.0
Udyr,Lucian,Nami,1,1,100.0
Volibear,Annie,Pyke,1,0,0.0
Kayn,Caitlyn,Janna,1,1,100.0
Ivern,Veigar,Leona,1,1,100.0
Dr. Mundo,Draven,Kled,1,0,0.0
Viego,Vayne,Poppy,1,0,0.0
Hecarim,Lux,Rell,1,1,100.0
Viego,Samira,Zilean,1,1,100.0
Ivern,Jinx,Rakan,1,0,0.0
Fiddlesticks,Miss Fortune,Janna,1,1,100.0
Taliyah,Lucian,Rell,1,0,0.0
Ivern,Veigar,Zyra,1,0,0.0
Jarvan IV,Corki,Lux,1,1,100.0
Udyr,Vayne,Milio,1,1,100.0
Shaco,Ezreal,Sona,1,0,0.0
Yuumi,Nilah,Pantheon,1,0,0.0
Gwen,Lucian,Nami,1,1,100.0
Gwen,Draven,Neeko,1,0,0.0
Ekko,Corki,Pyke,1,1,100.0
Belveth,Ashe,Sona,1,1,100.0
Rammus,Lucian,Yuumi,1,0,0.0
Nunu & Willump,Smolder,Shen,1,0,0.0
Graves,Tristana,Nautilus,1,1,100.0
Nunu & Willump,Jhin,Leona,1,1,100.0
Volibear,Sivir,Karma,1,0,0.0
Nunu & Willump,Viktor,Nautilus,1,0,0.0
Ivern,Kaisa,Nidalee,1,1,100.0
Hecarim,Tristana,Poppy,1,0,0.0
Jarvan IV,Lux,Nautilus,1,1,100.0
Talon,Kaisa,Neeko,1,1,100.0
Karthus,Twitch,Alistar,1,0,0.0
Gragas,Kaisa,Sylas,1,0,0.0
Talon,Twitch,Alistar,1,1,100.0
Viego,Caitlyn,Zoe,1,0,0.0
Volibear,Twitch,Poppy,1,1,100.0
Nidalee,Twitch,Nautilus,1,0,0.0
Lee Sin,Smolder,Rell,1,1,100.0
Lee Sin,Vayne,Braum,1,0,0.0
Hecarim,Kaisa,Nautilus,1,1,100.0
Nidalee,Twitch,Alistar,1,1,100.0
Karthus,Samira,Gragas,1,0,0.0
Nidalee,Aphelios,Alistar,1,0,0.0
Ambessa,Sivir,Nami,1,1,100.0
Ambessa,Varus,Pyke,1,1,100.0
Qiyana,Aphelios,Morgana,1,0,0.0
Jarvan IV,Aphelios,Bard,1,1,100.0
Nidalee,Ashe,Blitzcrank,1,0,0.0
Volibear,Senna,Alistar,1,1,100.0
Jax,Smolder,Karma,1,0,0.0
Vayne,Xayah,Poppy,1,1,100.0
Lee Sin,Corki,Nautilus,1,0,0.0
Pantheon,Smolder,Bard,1,1,100.0
Lee Sin,Jhin,Nautilus,1,0,0.0
Lee Sin,Sivir,Karma,1,1,100.0
Volibear,Miss Fortune,Rell,1,0,0.0
Jarvan IV,Kaisa,Rakan,1,0,0.0
Poppy,Ezreal,Karma,1,1,100.0
Wukong,Varus,Renata,1,0,0.0
Pantheon,Aphelios,Lulu,1,1,100.0
Talon,Vayne,Janna,1,1,100.0
Nunu & Willump,Jinx,Senna,1,0,0.0
Zac,Viktor,Neeko,1,1,100.0
Volibear,Kaisa,Diana,1,0,0.0
Belveth,Kaisa,Shaco,1,1,100.0
Nidalee,Vayne,Janna,1,0,0.0
Gwen,Aphelios,Sona,1,0,0.0
Elise,Sivir,Milio,1,1,100.0
Nidalee,Varus,Alistar,1,0,0.0
Lee Sin,Vayne,Milio,1,1,100.0
Lee Sin,Aphelios,Thresh,1,0,0.0
Poppy,Ashe,Braum,1,1,100.0
Rammus,Zeri,Lulu,1,1,100.0
Belveth,Sivir,Rakan,1,0,0.0
Lee Sin,Aphelios,Zilean,1,0,0.0
Nidalee,Varus,Nautilus,1,1,100.0
Nidalee,Tristana,Nautilus,1,1,100.0
Poppy,Zeri,Lulu,1,0,0.0
Lee Sin,Tristana,Alistar,1,1,100.0
Xin Zhao,Jhin,Jarvan IV,1,0,0.0
Nidalee,Senna,Nautilus,1,0,0.0
Kindred,Varus,Renata,1,1,100.0
Graves,Lucian,Milio,1,0,0.0
Jarvan IV,Sivir,Alistar,1,1,100.0
Ivern,Miss Fortune,Nautilus,1,1,100.0
Nunu & Willump,Kaisa,Pyke,1,0,0.0
Pantheon,Lucian,Braum,1,0,0.0
Viego,Twitch,Leona,1,1,100.0
Ekko,Urgot,Bard,1,0,0.0
Viego,Zyra,Sona,1,1,100.0
Lee Sin,Sivir,Pyke,1,1,100.0
Viego,Varus,Nami,1,0,0.0
Udyr,Irelia,Janna,1,1,100.0
Fiddlesticks,Corki,Bard,1,0,0.0
Talon,Aphelios,Alistar,1,1,100.0
