champion,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Trundle,1329,702,3051,6225,17595,52.82,3.32,2.3,4.68,13.24
Ryze,3,3,48,42,45,100.0,2.21,16.0,14.0,15.0
Varus,15,3,54,141,114,20.0,1.19,3.6,9.4,7.6
Alistar,39218,20105,49395,217044,552979,51.26,2.78,1.26,5.53,14.1
Fiora,159,78,1044,1365,984,49.06,1.49,6.57,8.58,6.19
Zyra,3207,1584,9183,18348,34242,49.39,2.37,2.86,5.72,10.68
Tristana,3,0,27,24,15,0.0,1.75,9.0,8.0,5.0
Nunu & Willump,444,204,2223,4119,5652,45.95,1.91,5.01,9.28,12.73
Chogath,96,45,375,666,1308,46.88,2.53,3.91,6.94,13.62
Lee Sin,141,27,807,1206,1350,19.15,1.79,5.72,8.55,9.57
Nami,44826,22263,62121,213927,676611,49.67,3.45,1.39,4.77,15.09
Caitlyn,96,18,336,858,1020,18.75,1.58,3.5,8.94,10.62
Ezreal,66,54,342,396,804,81.82,2.89,5.18,6.0,12.18
Jayce,6,0,0,36,24,0.0,0.67,0.0,6.0,4.0
Brand,786,306,2364,5424,7710,38.93,1.86,3.01,6.9,9.81
Rakan,27811,13222,35934,133683,405516,47.54,3.3,1.29,4.81,14.58
Gangplank,3,0,9,27,36,0.0,1.67,3.0,9.0,12.0
Volibear,3,3,3,27,15,100.0,0.67,1.0,9.0,5.0
Twitch,609,300,4569,4914,5448,49.26,2.04,7.5,8.07,8.95
Twisted Fate,591,336,1353,3720,7929,56.85,2.5,2.29,6.29,13.42
Gragas,2739,1407,6951,16080,34503,51.37,2.58,2.54,5.87,12.6
Cassiopeia,42,12,183,285,237,28.57,1.47,4.36,6.79,5.64
Udyr,9,9,9,63,81,100.0,1.43,1.0,7.0,9.0
Seraphine,7006,3586,14130,34851,95458,51.18,3.14,2.02,4.97,13.63
Zilean,11159,5528,17316,50814,157911,49.54,3.45,1.55,4.55,14.15
Smolder,6,0,0,48,18,0.0,0.38,0.0,8.0,3.0
Janna,18357,9507,25368,78687,259854,51.79,3.62,1.38,4.29,14.16
Zed,27,3,171,252,186,11.11,1.42,6.33,9.33,6.89
Leona,15207,7746,23397,91959,205404,50.94,2.49,1.54,6.05,13.51
Nidalee,2283,1143,6432,10899,28257,50.07,3.18,2.82,4.77,12.38
Ekko,42,27,171,261,396,64.29,2.17,4.07,6.21,9.43
Yone,21,12,51,171,174,57.14,1.32,2.43,8.14,8.29
Xin Zhao,81,48,495,723,921,59.26,1.96,6.11,8.93,11.37
Sona,21389,10958,51306,111210,296583,51.23,3.13,2.4,5.2,13.87
Ziggs,54,36,165,288,672,66.67,2.91,3.06,5.33,12.44
Draven,9,0,24,84,96,0.0,1.43,2.67,9.33,10.67
Sylas,2244,1065,11040,18033,22584,47.46,1.86,4.92,8.04,10.06
Hecarim,3,0,0,18,33,0.0,1.83,0.0,6.0,11.0
Mel,2817,1317,16482,17724,25248,46.75,2.35,5.85,6.29,8.96
Reksai,12,0,12,66,93,0.0,1.59,1.0,5.5,7.75
Senna,11296,5505,32488,61835,147936,48.73,2.92,2.88,5.47,13.1
Belveth,6,0,6,48,18,0.0,0.5,1.0,8.0,3.0
Master Yi,27,0,18,171,54,0.0,0.42,0.67,6.33,2.0
Morgana,3897,1857,8283,22827,53580,47.65,2.71,2.13,5.86,13.75
Camille,1182,489,4500,8445,10770,41.37,1.81,3.81,7.14,9.11
Karma,33183,16206,53433,165627,454099,48.84,3.06,1.61,4.99,13.68
Mordekaiser,51,15,351,582,486,29.41,1.44,6.88,11.41,9.53
Sion,63,39,204,570,750,61.9,1.67,3.24,9.05,11.9
Akali,15,9,33,75,138,60.0,2.28,2.2,5.0,9.2
Talon,9,3,87,72,48,33.33,1.88,9.67,8.0,5.33
Nocturne,9,0,6,42,24,0.0,0.71,0.67,4.67,2.67
Yuumi,8151,3744,9936,29061,118581,45.93,4.42,1.22,3.57,14.55
Heimerdinger,354,174,1101,2277,3441,49.15,1.99,3.11,6.43,9.72
Teemo,654,366,2295,4278,6792,55.96,2.12,3.51,6.54,10.39
Ashe,519,213,1035,3303,5904,41.04,2.1,1.99,6.36,11.38
Karthus,111,72,507,1236,1059,64.86,1.27,4.57,11.14,9.54
Lulu,32569,16831,43933,146263,465223,51.68,3.48,1.35,4.49,14.28
Zeri,6,6,48,24,84,100.0,5.5,8.0,4.0,14.0
Elise,6142,3070,33963,42369,58689,49.98,2.19,5.53,6.9,9.56
Miss Fortune,33,18,84,180,375,54.55,2.55,2.55,5.45,11.36
Shaco,1983,852,8892,13083,19143,42.97,2.14,4.48,6.6,9.65
Diana,12,0,39,159,78,0.0,0.74,3.25,13.25,6.5
Zoe,1698,933,6612,10251,18513,54.95,2.45,3.89,6.04,10.9
Kassadin,36,15,195,201,384,41.67,2.88,5.42,5.58,10.67
Sejuani,99,54,207,573,1158,54.55,2.38,2.09,5.79,11.7
Kennen,396,189,1386,3039,4077,47.73,1.8,3.5,7.67,10.3
Pyke,19416,9813,108153,129051,190956,50.54,2.32,5.57,6.65,9.83
Naafiri,30,9,108,222,228,30.0,1.51,3.6,7.4,7.6
Taric,5499,2757,7434,31986,77325,50.14,2.65,1.35,5.82,14.06
Vladimir,84,33,411,456,606,39.29,2.23,4.89,5.43,7.21
Ivern,288,150,249,1395,3906,52.08,2.98,0.86,4.84,13.56
Soraka,19019,9923,18852,89952,267252,52.17,3.18,0.99,4.73,14.05
Xerath,1566,714,6258,9441,17073,45.59,2.47,4.0,6.03,10.9
Lissandra,135,63,360,606,1989,46.67,3.88,2.67,4.49,14.73
Qiyana,93,48,669,621,801,51.61,2.37,7.19,6.68,8.61
Zac,474,177,1242,2895,4971,37.34,2.15,2.62,6.11,10.49
Swain,1632,813,5730,10578,19176,49.82,2.35,3.51,6.48,11.75
Renata,4653,2472,6057,24519,67755,53.13,3.01,1.3,5.27,14.56
Irelia,9,6,51,72,42,66.67,1.29,5.67,8.0,4.67
Fiddlesticks,2964,1656,5589,14679,37038,55.87,2.9,1.89,4.95,12.5
Ahri,150,75,483,936,1404,50.0,2.02,3.22,6.24,9.36
Kayn,18,9,135,126,144,50.0,2.21,7.5,7.0,8.0
Veigar,363,129,1308,2442,3459,35.54,1.95,3.6,6.73,9.53
Dr. Mundo,237,141,555,1293,2931,59.49,2.7,2.34,5.46,12.37
Kled,81,45,231,546,942,55.56,2.15,2.85,6.74,11.63
Jinx,12,0,24,144,96,0.0,0.83,2.0,12.0,8.0
Quinn,57,39,423,543,798,68.42,2.25,7.42,9.53,14.0
Sett,870,387,2433,5244,9462,44.48,2.27,2.8,6.03,10.88
Rammus,171,102,339,825,2013,59.65,2.85,1.98,4.82,11.77
LeBlanc,570,231,3036,3387,5544,40.53,2.53,5.33,5.94,9.73
Blitzcrank,10779,5433,19053,62625,139371,50.4,2.53,1.77,5.81,12.93
Hwei,666,306,1905,3747,6147,45.95,2.15,2.86,5.63,9.23
Nasus,45,12,57,270,492,26.67,2.03,1.27,6.0,10.93
Katarina,105,51,759,882,993,48.57,1.99,7.23,8.4,9.46
Kalista,33,3,51,312,99,9.09,0.48,1.55,9.45,3.0
KSante,78,54,174,621,978,69.23,1.86,2.23,7.96,12.54
Tahm Kench,3975,1911,9624,23760,45564,48.08,2.32,2.42,5.98,11.46
KhaZix,18,12,156,102,105,66.67,2.56,8.67,5.67,5.83
VelKoz,2813,1436,12096,18765,28422,51.05,2.16,4.3,6.67,10.1
Urgot,84,36,381,537,702,42.86,2.02,4.54,6.39,8.36
Darius,15,6,30,78,60,40.0,1.15,2.0,5.2,4.0
Rengar,54,12,135,522,432,22.22,1.09,2.5,9.67,8.0
Anivia,411,186,1050,2547,4092,45.26,2.02,2.55,6.2,9.96
Vex,75,18,378,582,654,24.0,1.77,5.04,7.76,8.72
KogMaw,39,33,201,300,597,84.62,2.66,5.15,7.69,15.31
Garen,24,0,18,111,21,0.0,0.35,0.75,4.62,0.88
Briar,24,6,51,291,264,25.0,1.08,2.12,12.12,11.0
Evelynn,15,3,57,132,153,20.0,1.59,3.8,8.8,10.2
Amumu,477,258,924,3525,6840,54.09,2.2,1.94,7.39,14.34
Singed,111,27,189,696,924,24.32,1.6,1.7,6.27,8.32
Maokai,3741,1812,6861,23310,47391,48.44,2.33,1.83,6.23,12.67
Malzahar,18,9,18,102,153,50.0,1.68,1.0,5.67,8.5
Warwick,9,0,21,120,87,0.0,0.9,2.33,13.33,9.67
