champion,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
LeBlanc,243,105,1443,945,1491,43.21,3.1,5.94,3.89,6.14
Blitzcrank,12,0,120,57,135,0.0,4.47,10.0,4.75,11.25
Hwei,312,159,1722,1821,2505,50.96,2.32,5.52,5.84,8.03
Nasus,4275,1989,13821,20466,22116,46.53,1.76,3.23,4.79,5.17
Katarina,570,273,4116,3477,3441,47.89,2.17,7.22,6.1,6.04
Kalista,141,96,717,807,849,68.09,1.94,5.09,5.72,6.02
KSante,16002,7461,62037,72816,93537,46.63,2.14,3.88,4.55,5.85
Tahm Kench,957,519,3957,4395,6324,54.23,2.34,4.13,4.59,6.61
VelKoz,39,18,135,282,378,46.15,1.82,3.46,7.23,9.69
Urgot,9841,5229,58795,49041,42990,53.13,2.08,5.97,4.98,4.37
Darius,10971,5502,61608,57957,41820,50.15,1.78,5.62,5.28,3.81
Olaf,3729,1743,21030,21168,15705,46.74,1.74,5.64,5.68,4.21
Rengar,1353,780,9141,7872,7398,57.65,2.1,6.76,5.82,5.47
Anivia,1641,999,5694,7029,10092,60.88,2.25,3.47,4.28,6.15
Vex,189,75,876,1017,1164,39.68,2.01,4.63,5.38,6.16
Aurelion Sol,450,291,2436,2154,2961,64.67,2.51,5.41,4.79,6.58
KogMaw,366,174,2346,2538,1779,47.54,1.63,6.41,6.93,4.86
Garen,6537,3009,35211,32904,23577,46.03,1.79,5.39,5.03,3.61
Briar,234,48,963,1854,1134,20.51,1.13,4.12,7.92,4.85
Akshan,801,366,5358,4062,3483,45.69,2.18,6.69,5.07,4.35
Amumu,3,0,0,24,33,0.0,1.38,0.0,8.0,11.0
Singed,7170,3366,23910,40254,57153,46.95,2.01,3.33,5.61,7.97
Maokai,612,348,1275,3006,5286,56.86,2.18,2.08,4.91,8.64
Lillia,21,12,51,69,144,57.14,2.83,2.43,3.29,6.86
Malzahar,390,117,1305,2211,2427,30.0,1.69,3.35,5.67,6.22
Warwick,5256,2844,31239,31089,25788,54.11,1.83,5.94,5.91,4.91
