champion,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Volibear,198,75,876,876,894,37.88,2.02,4.42,4.42,4.52
Twitch,927,450,8655,6252,5655,48.54,2.29,9.34,6.74,6.1
Twisted Fate,17771,9038,72507,83841,153357,50.86,2.69,4.08,4.72,8.63
Gragas,3167,1712,16170,14850,22530,54.06,2.61,5.11,4.69,7.11
Cassiopeia,3039,1605,17250,17448,19323,52.81,2.1,5.68,5.74,6.36
Udyr,222,144,870,870,1629,64.86,2.87,3.92,3.92,7.34
Samira,123,57,855,768,483,46.34,1.74,6.95,6.24,3.93
Seraphine,684,273,2454,3198,6261,39.91,2.73,3.59,4.68,9.15
Zilean,2184,1065,5073,7587,21666,48.76,3.52,2.32,3.47,9.92
Smolder,3293,1583,18711,17175,17943,48.07,2.13,5.68,5.22,5.45
Janna,36,0,180,231,180,0.0,1.56,5.0,6.42,5.0
Zed,15755,7670,114420,81489,80853,48.68,2.4,7.26,5.17,5.13
Nidalee,1740,816,8622,9345,12981,46.9,2.31,4.96,5.37,7.46
Ekko,9782,4967,69680,46578,49779,50.78,2.56,7.12,4.76,5.09
Yone,19432,9247,93690,106176,101703,47.59,1.84,4.82,5.46,5.23
Xin Zhao,114,96,723,573,1083,84.21,3.15,6.34,5.03,9.5
Sona,15,6,66,87,177,40.0,2.79,4.4,5.8,11.8
Ziggs,2757,1179,12903,12954,18072,42.76,2.39,4.68,4.7,6.55
Draven,153,54,1065,1113,768,35.29,1.65,6.96,7.27,5.02
Sylas,31040,15659,197514,168501,197124,50.45,2.34,6.36,5.43,6.35
Hecarim,6,0,12,39,21,0.0,0.85,2.0,6.5,3.5
Mel,11640,5160,88359,60006,58206,44.33,2.44,7.59,5.16,5.0
Reksai,18,9,96,87,111,50.0,2.38,5.33,4.83,6.17
Senna,33,9,183,183,315,27.27,2.72,5.55,5.55,9.55
Belveth,24,3,99,138,102,12.5,1.46,4.12,5.75,4.25
Master Yi,72,30,522,546,258,41.67,1.43,7.25,7.58,3.58
Morgana,1137,642,4830,4578,10614,56.46,3.37,4.25,4.03,9.34
Camille,192,69,1113,1218,1230,35.94,1.92,5.8,6.34,6.41
Karma,2385,1182,8199,10839,21999,49.56,2.79,3.44,4.54,9.22
Mordekaiser,513,285,3168,2796,2271,55.56,1.95,6.18,5.45,4.43
Xayah,15,9,108,93,72,60.0,1.94,7.2,6.2,4.8
Sion,1791,879,5568,8742,14130,49.08,2.25,3.11,4.88,7.89
Aphelios,84,18,567,795,444,21.43,1.27,6.75,9.46,5.29
Akali,17677,8995,130074,84579,85503,50.89,2.55,7.36,4.78,4.84
Talon,3720,1767,30609,22947,19785,47.5,2.2,8.23,6.17,5.32
Nocturne,249,156,1275,1230,1518,62.65,2.27,5.12,4.94,6.1
Yuumi,36,0,24,114,78,0.0,0.89,0.67,3.17,2.17
Heimerdinger,1146,570,5751,6165,6549,49.74,2.0,5.02,5.38,5.71
Teemo,453,222,2052,2367,3258,49.01,2.24,4.53,5.23,7.19
Shyvana,15,6,42,48,27,40.0,1.44,2.8,3.2,1.8
Ashe,90,39,441,540,579,43.33,1.89,4.9,6.0,6.43
Karthus,564,213,3255,4017,3927,37.77,1.79,5.77,7.12,6.96
Lulu,234,141,699,681,2406,60.26,4.56,2.99,2.91,10.28
Zeri,699,318,4797,4164,3528,45.49,2.0,6.86,5.96,5.05
Elise,234,141,1761,1626,1437,60.26,1.97,7.53,6.95,6.14
Miss Fortune,141,90,693,741,603,63.83,1.75,4.91,5.26,4.28
Kindred,222,102,1224,1233,969,45.95,1.78,5.51,5.55,4.36
Shaco,63,9,165,318,306,14.29,1.48,2.62,5.05,4.86
Diana,4999,2368,33501,31428,29268,47.37,2.0,6.7,6.29,5.85
Zoe,13089,6990,86460,58308,95100,53.4,3.11,6.61,4.45,7.27
Kassadin,6242,3056,41622,29619,30945,48.96,2.45,6.67,4.75,4.96
Sejuani,105,48,324,645,1041,45.71,2.12,3.09,6.14,9.91
Kennen,2061,975,11316,10983,13185,47.31,2.23,5.49,5.33,6.4
Pyke,150,60,1602,870,894,40.0,2.87,10.68,5.8,5.96
Naafiri,2607,1407,18891,11295,15204,53.97,3.02,7.25,4.33,5.83
Gnar,75,54,366,396,792,72.0,2.92,4.88,5.28,10.56
Fizz,4692,2433,34080,22917,25896,51.85,2.62,7.26,4.88,5.52
Taric,21,12,51,81,246,57.14,3.67,2.43,3.86,11.71
Yorick,528,222,2295,2673,2394,42.05,1.75,4.35,5.06,4.53
Vladimir,15797,8081,90903,65931,82848,51.16,2.64,5.75,4.17,5.24
Ivern,666,333,2541,3114,6774,50.0,2.99,3.82,4.68,10.17
Soraka,141,48,231,615,1410,34.04,2.67,1.64,4.36,10.0
Xerath,5473,2632,33030,23476,42240,48.09,3.21,6.04,4.29,7.72
Graves,87,51,672,489,537,58.62,2.47,7.72,5.62,6.17
Lissandra,6531,3561,30705,33330,55305,54.52,2.58,4.7,5.1,8.47
Illaoi,273,141,1446,1557,1566,51.65,1.93,5.3,5.7,5.74
Qiyana,7581,3708,58239,44496,39915,48.91,2.21,7.68,5.87,5.27
Zac,2496,1260,11868,11766,20808,50.48,2.78,4.75,4.71,8.34
Swain,2623,1345,11940,12414,24252,51.28,2.92,4.55,4.73,9.25
Renata,3,0,3,9,0,0.0,0.33,1.0,3.0,0.0
Irelia,6691,3238,40683,44121,30183,48.39,1.61,6.08,6.59,4.51
Fiddlesticks,522,294,2769,2700,3651,56.32,2.38,5.3,5.17,6.99
Ahri,23022,11301,122484,100269,170622,49.09,2.92,5.32,4.36,7.41
Kayn,135,24,702,939,531,17.78,1.31,5.2,6.96,3.93
Veigar,5624,2483,29835,27276,31668,44.15,2.25,5.3,4.85,5.63
Dr. Mundo,558,279,2424,2247,2901,50.0,2.37,4.34,4.03,5.2
Kled,399,189,1989,2103,2409,47.37,2.09,4.98,5.27,6.04
Jinx,81,48,756,756,474,59.26,1.63,9.33,9.33,5.85
Quinn,924,519,7377,5613,6024,56.17,2.39,7.98,6.07,6.52
Nilah,72,42,324,237,411,58.33,3.1,4.5,3.29,5.71
Sett,573,291,3036,3162,2880,50.79,1.87,5.3,5.52,5.03
Rammus,36,18,84,99,267,50.0,3.55,2.33,2.75,7.42
LeBlanc,9611,4733,66141,41790,59223,49.25,3.0,6.88,4.35,6.16
Blitzcrank,27,0,42,48,33,0.0,1.56,1.56,1.78,1.22
Hwei,15376,7657,74664,73656,119175,49.8,2.63,4.86,4.79,7.75
Nasus,1125,498,4374,4926,6108,44.27,2.13,3.89,4.38,5.43
Katarina,15056,7399,132216,85486,83304,49.14,2.52,8.78,5.68,5.53
Kalista,120,57,621,741,648,47.5,1.71,5.17,6.17,5.4
KSante,975,531,4158,5073,6909,54.46,2.18,4.26,5.2,7.09
Tahm Kench,36,6,123,246,273,16.67,1.61,3.42,6.83,7.58
KhaZix,45,15,162,258,162,33.33,1.26,3.6,5.73,3.6
VelKoz,1044,498,5460,5301,7266,47.7,2.4,5.23,5.08,6.96
Urgot,327,120,1953,1686,1332,36.7,1.95,5.97,5.16,4.07
Darius,330,228,2277,1665,1665,69.09,2.37,6.9,5.05,5.05
Olaf,246,114,1566,1467,1155,46.34,1.85,6.37,5.96,4.7
Rengar,3,0,12,33,12,0.0,0.73,4.0,11.0,4.0
Anivia,4305,2277,19311,19023,30279,52.89,2.61,4.49,4.42,7.03
Vex,3951,2175,25542,21480,28614,55.05,2.52,6.46,5.44,7.24
Aurelion Sol,3825,1917,22284,17766,30141,50.12,2.95,5.83,4.64,7.88
KogMaw,1074,594,7452,6915,6864,55.31,2.07,6.94,6.44,6.39
Garen,820,379,4767,4287,3225,46.22,1.86,5.81,5.23,3.93
Briar,576,306,3720,4044,3318,53.12,1.74,6.46,7.02,5.76
Akshan,8012,4247,69726,41781,44268,53.01,2.73,8.7,5.21,5.53
Singed,1212,582,5277,6237,11283,48.02,2.66,4.35,5.15,9.31
Maokai,21,9,108,96,195,42.86,3.16,5.14,4.57,9.29
Lillia,21,0,18,141,57,0.0,0.53,0.86,6.71,2.71
Malzahar,4233,1869,15027,21174,27438,44.15,2.01,3.55,5.0,6.48
Warwick,222,78,1308,1542,1233,35.14,1.65,5.89,6.95,5.55
