champion1,champion2,games,wins,win_rate
Pantheon,Corki,501,246,49.1
Kindred,Yunara,208,105,50.48
Pantheon,Seraphine,70,31,44.29
Belveth,Lucian,249,139,55.82
Trundle,Miss Fortune,162,73,45.06
Viego,Yunara,853,468,54.87
Sejuani,Twitch,21,10,47.62
Shaco,Twitch,68,30,44.12
Jarvan IV,Ashe,214,104,48.6
Viego,Kaisa,1045,508,48.61
Zed,Sivir,344,215,62.5
Xin Zhao,Caitlyn,171,87,50.88
Ivern,Jhin,138,72,52.17
Xin Zhao,Ziggs,152,54,35.53
Talon,Tristana,231,137,59.31
Graves,Lucian,182,97,53.3
Wukong,Twitch,97,71,73.2
Lee Sin,Yunara,625,286,45.76
Jarvan IV,Yunara,614,356,57.98
Vi,Sivir,215,91,42.33
Qiyana,Jhin,186,105,56.45
Wukong,Ezreal,423,179,42.32
Jarvan IV,Senna,445,176,39.55
Pantheon,Sivir,471,259,54.99
Vi,Jhin,474,268,56.54
Zed,Twitch,139,80,57.55
Elise,Yunara,140,70,50.0
Lee Sin,Aphelios,497,231,46.48
Udyr,Lucian,322,159,49.38
Volibear,Annie,1,0,0.0
Kayn,Caitlyn,163,74,45.4
Ivern,Veigar,21,12,57.14
Dr. Mundo,Draven,31,7,22.58
Viego,Vayne,283,147,51.94
Hecarim,Lux,48,34,70.83
Viego,Samira,129,50,38.76
Ivern,Jinx,143,61,42.66
Fiddlesticks,Miss Fortune,64,26,40.62
Taliyah,Lucian,101,32,31.68
Jarvan IV,Corki,450,237,52.67
Udyr,Vayne,60,27,45.0
Yuumi,Nilah,2,0,0.0
Gwen,Lucian,197,92,46.7
Gwen,Draven,52,20,38.46
Ekko,Corki,232,126,54.31
Rammus,Lucian,80,43,53.75
Nunu & Willump,Smolder,83,41,49.4
Graves,Tristana,111,60,54.05
Nunu & Willump,Jhin,195,95,48.72
Volibear,Sivir,178,88,49.44
Nunu & Willump,Viktor,17,9,52.94
Ivern,Kaisa,219,125,57.08
Hecarim,Tristana,188,98,52.13
Jarvan IV,Lux,71,52,73.24
Karthus,Twitch,36,20,55.56
Gragas,Kaisa,95,42,44.21
Talon,Twitch,175,82,46.86
Viego,Caitlyn,424,222,52.36
Nidalee,Twitch,75,39,52.0
Lee Sin,Smolder,329,189,57.45
Lee Sin,Vayne,176,104,59.09
Hecarim,Kaisa,432,211,48.84
Karthus,Samira,33,14,42.42
Nidalee,Aphelios,218,121,55.5
Ambessa,Sivir,62,40,64.52
Ambessa,Varus,40,27,67.5
Qiyana,Aphelios,97,52,53.61
Jarvan IV,Aphelios,489,259,52.97
Nidalee,Ashe,97,38,39.18
Volibear,Senna,211,126,59.72
Jax,Smolder,46,28,60.87
Vayne,Xayah,11,8,72.73
Lee Sin,Corki,394,191,48.48
Pantheon,Smolder,393,187,47.58
Lee Sin,Jhin,831,380,45.73
Lee Sin,Sivir,381,228,59.84
Volibear,Miss Fortune,195,108,55.38
Poppy,Ezreal,146,77,52.74
Wukong,Varus,284,113,39.79
Talon,Vayne,125,76,60.8
Nunu & Willump,Jinx,115,59,51.3
Zac,Viktor,16,7,43.75
Volibear,Kaisa,307,152,49.51
Belveth,Kaisa,199,123,61.81
Nidalee,Vayne,71,44,61.97
Gwen,Aphelios,93,57,61.29
Elise,Sivir,94,44,46.81
Nidalee,Varus,238,104,43.7
Poppy,Ashe,46,20,43.48
Rammus,Zeri,34,21,61.76
Belveth,Sivir,85,48,56.47
Nidalee,Tristana,229,108,47.16
Poppy,Zeri,62,32,51.61
Lee Sin,Tristana,439,259,59.0
Xin Zhao,Jhin,501,237,47.31
Nidalee,Senna,198,97,48.99
Kindred,Varus,207,102,49.28
Mordekaiser,Senna,16,11,68.75
Nunu & Willump,Yunara,145,99,68.28
Mordekaiser,Yunara,35,19,54.29
Jarvan IV,Jinx,422,215,50.95
Jarvan IV,Kalista,46,17,36.96
Pantheon,Yunara,613,305,49.76
Trundle,Yunara,560,334,59.64
Elise,Yasuo,24,13,54.17
Skarner,Yunara,91,51,56.04
Hecarim,Senna,230,112,48.7
Shyvana,Lucian,57,26,45.61
Nocturne,Miss Fortune,135,61,45.19
Xin Zhao,Senna,363,175,48.21
Jarvan IV,Hwei,151,71,47.02
Nidalee,Lucian,356,190,53.37
KhaZix,Lucian,342,181,52.92
Trundle,Draven,139,59,42.45
Trundle,Corki,216,124,57.41
Sejuani,Ezreal,74,20,27.03
Hecarim,Sivir,205,79,38.54
Hecarim,Lucian,323,169,52.32
Udyr,Aphelios,193,92,47.67
Volibear,Kalista,47,22,46.81
Trundle,Senna,224,114,50.89
Pantheon,Ashe,232,108,46.55
Elise,Kalista,44,21,47.73
Pantheon,Yasuo,56,28,50.0
Jarvan IV,Ziggs,157,71,45.22
Pantheon,Hwei,124,53,42.74
Pantheon,Varus,548,270,49.27
Zac,Ziggs,32,24,75.0
Trundle,Ezreal,410,178,43.41
Ekko,Senna,288,147,51.04
Belveth,Yunara,130,75,57.69
Volibear,Hwei,58,29,50.0
Jarvan IV,Vayne,143,73,51.05
Master Yi,Lucian,260,133,51.15
Pantheon,Tristana,473,227,47.99
Chogath,Aphelios,14,14,100.0
Shaco,Zeri,116,56,48.28
Skarner,Sivir,45,33,73.33
Belveth,Jinx,101,46,45.54
Xin Zhao,Vayne,121,58,47.93
Fiddlesticks,Jinx,69,45,65.22
Olaf,Zeri,42,13,30.95
Elise,Twitch,61,24,39.34
KhaZix,Jhin,315,141,44.76
Vi,Corki,210,77,36.67
Belveth,Jhin,182,98,53.85
Diana,Yunara,140,50,35.71
Karthus,Tristana,128,66,51.56
Zed,Jinx,277,158,57.04
Vi,Zeri,146,81,55.48
Pantheon,Lux,129,89,68.99
Wukong,Corki,226,102,45.13
Rengar,Yunara,148,63,42.57
Nunu & Willump,Senna,125,58,46.4
Shen,Varus,11,2,18.18
Belveth,Miss Fortune,54,27,50.0
Belveth,Corki,114,58,50.88
KhaZix,Twitch,82,36,43.9
Zac,Sivir,111,50,45.05
Volibear,Jinx,213,101,47.42
Udyr,Twitch,70,38,54.29
Trundle,Tristana,137,64,46.72
Vi,Varus,274,145,52.92
Poppy,Lucian,189,78,41.27
Trundle,Caitlyn,125,46,36.8
Pantheon,Ezreal,890,454,51.01
Qiyana,Twitch,57,37,64.91
Ambessa,Mel,33,23,69.7
Ekko,Varus,291,136,46.74
Karthus,Senna,90,40,44.44
Ekko,Ezreal,465,234,50.32
Wukong,Samira,47,34,72.34
Ekko,Miss Fortune,190,110,57.89
Zed,Aphelios,232,94,40.52
Naafiri,Jhin,359,191,53.2
Nocturne,Senna,227,99,43.61
Naafiri,Varus,230,125,54.35
Jarvan IV,Varus,347,162,46.69
Kindred,Lucian,316,181,57.28
Taliyah,Varus,43,16,37.21
Pantheon,Miss Fortune,270,163,60.37
Wukong,Aphelios,223,110,49.33
Ekko,Hwei,36,17,47.22
Lee Sin,Zeri,406,227,55.91
Talon,Aphelios,229,115,50.22
Wukong,Draven,67,35,52.24
Viego,Jinx,528,253,47.92
Vi,Jinx,214,104,48.6
Nidalee,Draven,123,56,45.53
Pantheon,Kaisa,940,489,52.02
Vi,Tristana,174,75,43.1
Ekko,Caitlyn,213,102,47.89
Talon,Jinx,182,96,52.75
Nunu & Willump,Tristana,160,73,45.62
Graves,Caitlyn,110,59,53.64
Rengar,Hwei,49,26,53.06
Lee Sin,Jinx,370,183,49.46
Rammus,Taliyah,6,6,100.0
Hecarim,Twisted Fate,6,0,0.0
Shaco,Miss Fortune,78,32,41.03
Aurelion Sol,Tristana,7,0,0.0
Zed,Varus,314,128,40.76
Ekko,Kaisa,446,182,40.81
Zed,Tristana,252,127,50.4
Fiddlesticks,Ezreal,120,69,57.5
Gwen,Corki,91,41,45.05
Volibear,Lucian,299,163,54.52
Graves,Aphelios,105,69,65.71
Jarvan IV,Lucian,796,398,50.0
Jarvan IV,Twitch,259,120,46.33
Ambessa,Miss Fortune,27,12,44.44
Nunu & Willump,Ezreal,141,76,53.9
Reksai,Sivir,48,28,58.33
Nunu & Willump,Corki,77,50,64.94
Nunu & Willump,Sivir,114,46,40.35
Nunu & Willump,Caitlyn,89,41,46.07
Chogath,Yunara,25,5,20.0
Belveth,Smolder,101,64,63.37
Elise,KogMaw,42,17,40.48
Ekko,Aphelios,329,165,50.15
Nunu & Willump,Miss Fortune,62,23,37.1
Qiyana,Varus,74,43,58.11
Nunu & Willump,Lucian,190,92,48.42
Pantheon,Mel,241,109,45.23
Graves,Jinx,141,66,46.81
Nunu & Willump,Varus,108,58,53.7
Hecarim,Xayah,71,28,39.44
Qiyana,Karthus,41,30,73.17
Viego,Draven,241,109,45.23
Nunu & Willump,Aphelios,125,69,55.2
Dr. Mundo,Jinx,80,41,51.25
Kindred,Mel,102,53,51.96
Ivern,Draven,79,35,44.3
Nunu & Willump,Kaisa,179,93,51.96
Nunu & Willump,Mel,36,20,55.56
Talon,Jhin,370,146,39.46
Xin Zhao,Lucian,595,301,50.59
Nunu & Willump,KogMaw,57,31,54.39
Volibear,Vayne,91,48,52.75
Ambessa,Corki,34,11,32.35
Nunu & Willump,Draven,76,31,40.79
Lee Sin,Draven,194,91,46.91
Nunu & Willump,Twitch,73,57,78.08
Qiyana,Sivir,101,44,43.56
Nunu & Willump,Swain,11,9,81.82
Master Yi,Aphelios,130,46,35.38
Jax,Varus,76,47,61.84
Fiddlesticks,Sivir,113,53,46.9
Nunu & Willump,Ziggs,13,4,30.77
Volibear,Tristana,189,105,55.56
Naafiri,Mel,94,27,28.72
Briar,Aphelios,24,14,58.33
Nunu & Willump,Ashe,44,30,68.18
Gwen,Hwei,23,11,47.83
Belveth,KogMaw,46,32,69.57
Pantheon,Draven,215,121,56.28
Zyra,Aphelios,64,32,50.0
Udyr,Miss Fortune,80,30,37.5
Talon,Kalista,44,9,20.45
Fiddlesticks,Kalista,17,11,64.71
Evelynn,Lucian,136,76,55.88
Trundle,Smolder,145,79,54.48
Sejuani,Smolder,31,15,48.39
Talon,Senna,279,148,53.05
Nunu & Willump,Zyra,12,6,50.0
Nocturne,Ezreal,282,111,39.36
KhaZix,Corki,168,93,55.36
Trundle,KogMaw,75,24,32.0
Elise,Jhin,176,76,43.18
Nocturne,Ziggs,95,64,67.37
Morgana,Kaisa,28,3,10.71
KhaZix,Jinx,149,67,44.97
Trundle,Sivir,193,96,49.74
Elise,Caitlyn,94,47,50.0
Poppy,Jhin,167,99,59.28
Nocturne,Sivir,204,96,47.06
Nocturne,Zeri,123,50,40.65
Viego,Varus,761,395,51.91
Nocturne,Cassiopeia,28,11,39.29
KhaZix,Yunara,194,115,59.28
Nocturne,Draven,102,65,63.73
Elise,Hwei,19,18,94.74
Nocturne,Tristana,170,77,45.29
Sejuani,Xayah,34,6,17.65
Ambessa,Tristana,53,16,30.19
Belveth,Karthus,25,15,60.0
Morgana,Jinx,15,14,93.33
Nocturne,Corki,241,132,54.77
Rengar,Zyra,23,11,47.83
Nocturne,Jinx,149,86,57.72
Lee Sin,Karthus,158,87,55.06
Elise,Tristana,109,51,46.79
Hecarim,Ezreal,339,153,45.13
Pantheon,Jinx,440,214,48.64
Nocturne,Lucian,380,203,53.42
Viego,Lucian,979,474,48.42
Elise,Senna,108,48,44.44
Elise,Lucian,185,83,44.86
Rammus,Nilah,10,2,20.0
Xin Zhao,Zeri,248,129,52.02
Nocturne,Caitlyn,136,64,47.06
Vi,Lux,70,31,44.29
Poppy,Tristana,56,17,30.36
Trundle,Jhin,352,196,55.68
KhaZix,Hwei,68,23,33.82
Amumu,Draven,16,12,75.0
Elise,Nilah,23,15,65.22
Zac,Tristana,127,77,60.63
Poppy,Draven,39,21,53.85
Hecarim,Seraphine,52,32,61.54
Jarvan IV,Draven,230,121,52.61
Elise,Varus,93,29,31.18
Lee Sin,Kaisa,941,479,50.9
Nocturne,Mel,79,49,62.03
Fiddlesticks,Twitch,54,32,59.26
Nocturne,Kaisa,371,163,43.94
Elise,Jinx,132,71,53.79
Lillia,Yunara,116,68,58.62
Nocturne,Yasuo,39,25,64.1
Elise,Vayne,56,24,42.86
Nidalee,Jinx,198,72,36.36
Master Yi,Kaisa,291,129,44.33
Nocturne,Jhin,318,152,47.8
Xin Zhao,Mel,140,72,51.43
Xin Zhao,Ezreal,542,246,45.39
Mordekaiser,Tristana,22,10,45.45
Zed,Lucian,604,241,39.9
Elise,Akshan,3,3,100.0
Brand,Nilah,4,2,50.0
Jarvan IV,VelKoz,25,9,36.0
Xin Zhao,Twitch,164,80,48.78
Nocturne,Twitch,113,60,53.1
Jax,Senna,45,14,31.11
Xin Zhao,Aphelios,343,167,48.69
Udyr,Tristana,183,76,41.53
Sejuani,Lucian,104,80,76.92
Trundle,Ziggs,108,37,34.26
KhaZix,Smolder,196,102,52.04
Hecarim,Yunara,250,121,48.4
Viego,Aphelios,621,284,45.73
Nocturne,Vayne,80,41,51.25
Belveth,Varus,115,60,52.17
Elise,Kaisa,174,96,55.17
Fiddlesticks,Lucian,218,117,53.67
Elise,Aphelios,138,56,40.58
Xin Zhao,KogMaw,98,49,50.0
Wukong,Senna,272,147,54.04
Jarvan IV,Jhin,630,325,51.59
Nocturne,Smolder,152,76,50.0
Chogath,Senna,15,3,20.0
Trundle,Kaisa,340,160,47.06
KhaZix,Zeri,148,85,57.43
Elise,Corki,106,44,41.51
Vi,Yunara,330,175,53.03
Viego,Ezreal,1101,544,49.41
Pantheon,Samira,118,58,49.15
Zac,Miss Fortune,61,13,21.31
Diana,Ezreal,261,115,44.06
Poppy,Miss Fortune,65,28,43.08
Xin Zhao,Tristana,313,186,59.42
Viego,Zeri,480,224,46.67
Corki,Kalista,10,1,10.0
Nidalee,Ezreal,326,151,46.32
Belveth,Hwei,51,21,41.18
Pantheon,Senna,462,263,56.93
Trundle,Jinx,201,115,57.21
Karthus,Lucian,185,84,45.41
Lillia,Jhin,166,97,58.43
Skarner,Draven,31,17,54.84
Xin Zhao,Lux,57,33,57.89
Tryndamere,Jhin,9,3,33.33
Nocturne,Ashe,91,47,51.65
Zed,Kaisa,619,273,44.1
Jarvan IV,Zyra,79,32,40.51
Qiyana,Ezreal,192,95,49.48
Ambessa,Vayne,13,10,76.92
Trundle,Seraphine,35,21,60.0
Gragas,Lucian,61,29,47.54
Hecarim,Aphelios,179,72,40.22
Ekko,Twitch,156,82,52.56
Lee Sin,Yasuo,81,48,59.26
Ekko,Vayne,102,39,38.24
Ambessa,Xayah,17,12,70.59
Nidalee,Kalista,24,18,75.0
Nidalee,Miss Fortune,121,61,50.41
Nocturne,Samira,18,5,27.78
Pantheon,Xayah,250,111,44.4
Vi,Ezreal,429,219,51.05
Zed,Aurelion Sol,70,17,24.29
Talon,Smolder,182,95,52.2
Jax,Sivir,61,33,54.1
Lee Sin,Ezreal,922,512,55.53
Ambessa,Jhin,66,27,40.91
Volibear,Aphelios,216,108,50.0
Lee Sin,Twitch,306,171,55.88
Zed,Miss Fortune,216,101,46.76
Zyra,Lucian,78,49,62.82
Graves,Zeri,108,25,23.15
Brand,Senna,14,12,85.71
Naafiri,Sivir,186,102,54.84
Vi,Senna,248,138,55.65
Udyr,Swain,33,28,84.85
Evelynn,Ezreal,74,29,39.19
Zyra,Draven,29,13,44.83
Qiyana,KogMaw,35,24,68.57
KhaZix,Senna,153,73,47.71
Fiddlesticks,Jhin,166,53,31.93
Dr. Mundo,Miss Fortune,88,43,48.86
Shaco,Draven,60,27,45.0
Taliyah,Mel,9,4,44.44
Pantheon,Kalista,94,40,42.55
Udyr,Xayah,98,46,46.94
Evelynn,Jhin,108,64,59.26
Naafiri,Ezreal,338,147,43.49
Naafiri,Xayah,122,66,54.1
KhaZix,Kalista,27,12,44.44
Brand,Ezreal,11,4,36.36
Talon,Sivir,279,150,53.76
Naafiri,Lucian,311,148,47.59
Diana,Senna,188,107,56.91
Gragas,Miss Fortune,27,19,70.37
Qiyana,Samira,18,8,44.44
Vi,Yasuo,63,32,50.79
Ivern,Caitlyn,92,46,50.0
Zed,Ezreal,541,269,49.72
Naafiri,Senna,214,107,50.0
Zed,Mel,209,83,39.71
Lee Sin,Samira,100,52,52.0
Ambessa,Twitch,43,25,58.14
Ambessa,Kalista,12,10,83.33
Qiyana,Seraphine,22,7,31.82
Qiyana,Jinx,77,37,48.05
Rengar,Jinx,144,74,51.39
Wukong,Kalista,43,21,48.84
Viego,Ashe,354,186,52.54
Rengar,Senna,167,81,48.5
Karthus,Kaisa,167,78,46.71
Zac,Ezreal,141,80,56.74
Poppy,Kaisa,138,63,45.65
Zyra,Corki,39,21,53.85
Viego,Tristana,445,199,44.72
Pantheon,Caitlyn,290,156,53.79
Nidalee,Jhin,377,214,56.76
Ivern,Ezreal,195,126,64.62
Nidalee,Sivir,221,123,55.66
Udyr,Mel,53,32,60.38
KhaZix,Ezreal,302,152,50.33
Rengar,Kaisa,272,130,47.79
Trundle,Xayah,123,45,36.59
KhaZix,Tristana,126,46,36.51
Naafiri,KogMaw,68,21,30.88
Nidalee,Corki,191,98,51.31
Sylas,Caitlyn,15,3,20.0
Volibear,Jhin,362,187,51.66
Hecarim,Jinx,176,78,44.32
Corki,Draven,7,2,28.57
Jax,Hwei,23,16,69.57
Shaco,Senna,117,40,34.19
Gragas,Ashe,29,6,20.69
Xin Zhao,Miss Fortune,236,114,48.31
Rengar,Viktor,14,8,57.14
Zed,Senna,286,156,54.55
Shaco,Smolder,75,32,42.67
Ekko,Lucian,511,240,46.97
Rengar,Smolder,184,101,54.89
Belveth,Mel,58,27,46.55
Evelynn,Tristana,61,35,57.38
Jax,Swain,4,2,50.0
Xin Zhao,Smolder,230,115,50.0
Evelynn,Smolder,43,28,65.12
Zyra,Jhin,54,23,42.59
Udyr,Varus,195,96,49.23
Master Yi,Smolder,105,49,46.67
Udyr,Senna,139,96,69.06
KhaZix,Mel,87,44,50.57
Diana,Riven,5,0,0.0
Shaco,Jhin,169,80,47.34
Zeri,Senna,3,3,100.0
Naafiri,Corki,164,89,54.27
Zyra,Senna,54,15,27.78
Shaco,Varus,90,41,45.56
Gwen,Smolder,99,53,53.54
Xin Zhao,Jinx,282,172,60.99
Kayn,Brand,14,9,64.29
Belveth,Senna,127,75,59.06
Fiddlesticks,Ashe,42,16,38.1
Wukong,Mel,131,46,35.11
Volibear,Smolder,194,95,48.97
Jax,Tristana,56,45,80.36
Kindred,Xayah,80,54,67.5
Zed,Smolder,215,87,40.47
Graves,Senna,85,40,47.06
Xin Zhao,Ashe,160,81,50.62
Lillia,Miss Fortune,115,62,53.91
Nocturne,Seraphine,47,20,42.55
Evelynn,Ashe,39,9,23.08
Talon,Lucian,383,212,55.35
Trundle,Ashe,54,26,48.15
Dr. Mundo,Smolder,51,28,54.9
Ivern,Tristana,128,52,40.62
Nidalee,Kaisa,252,128,50.79
Diana,Xayah,71,26,36.62
Wukong,Sivir,226,104,46.02
Qiyana,Tristana,103,42,40.78
Zac,Kaisa,220,127,57.73
Jarvan IV,Miss Fortune,291,139,47.77
Belveth,Samira,49,23,46.94
Belveth,Caitlyn,60,37,61.67
Vi,Smolder,136,58,42.65
Hecarim,Jhin,314,151,48.09
Diana,Draven,83,31,37.35
KhaZix,Kaisa,285,113,39.65
Ekko,Tristana,277,131,47.29
Zac,Lucian,231,128,55.41
Viego,Twitch,293,138,47.1
Lee Sin,Miss Fortune,300,148,49.33
Nocturne,Varus,211,98,46.45
Volibear,Corki,199,107,53.77
Qiyana,Kaisa,131,42,32.06
Graves,Sivir,120,60,50.0
Udyr,Veigar,8,1,12.5
Qiyana,Lux,51,38,74.51
Pantheon,Zeri,387,198,51.16
Qiyana,Corki,110,59,53.64
Rammus,Kaisa,107,62,57.94
Qiyana,Draven,51,30,58.82
Lee Sin,Ziggs,183,75,40.98
Fiddlesticks,Draven,45,26,57.78
Trundle,Lucian,468,241,51.5
Qiyana,Senna,69,35,50.72
Skarner,Caitlyn,29,9,31.03
Ekko,Mel,82,44,53.66
Belveth,Aphelios,122,74,60.66
Graves,Corki,52,18,34.62
Qiyana,Vayne,59,29,49.15
Gwen,Zeri,84,41,48.81
KhaZix,Ashe,142,59,41.55
Rengar,Draven,95,49,51.58
Pantheon,Kled,9,3,33.33
Gwen,Zyra,10,4,40.0
Belveth,Zeri,97,43,44.33
Graves,Xayah,52,37,71.15
Kindred,Corki,120,67,55.83
Ekko,Jinx,242,109,45.04
Belveth,Brand,13,9,69.23
Belveth,Twitch,92,60,65.22
Taliyah,Viktor,4,3,75.0
Rengar,Jhin,248,129,52.02
Belveth,Tristana,72,46,63.89
Kindred,Twitch,107,64,59.81
Zyra,Sivir,27,10,37.04
Belveth,Seraphine,48,30,62.5
Volibear,Ziggs,51,20,39.22
Belveth,Heimerdinger,6,2,33.33
Fiddlesticks,Mel,13,8,61.54
Wukong,Ziggs,120,63,52.5
Kindred,Tristana,145,85,58.62
Rengar,Zeri,127,76,59.84
Gragas,Lux,4,1,25.0
Kindred,Senna,148,76,51.35
Shyvana,Smolder,19,3,15.79
Udyr,Morgana,5,4,80.0
Gwen,Tristana,98,53,54.08
Gragas,Vayne,21,10,47.62
Udyr,Kaisa,238,106,44.54
Viego,Hwei,148,80,54.05
Belveth,Zyra,29,20,68.97
Graves,Jhin,157,81,51.59
Rammus,Jhin,68,26,38.24
Fiddlesticks,Tristana,96,64,66.67
Kindred,Zyra,20,6,30.0
Kayn,Yunara,271,96,35.42
Trundle,Akshan,6,4,66.67
Sejuani,Aphelios,47,24,51.06
Maokai,Yunara,51,31,60.78
Qiyana,Lucian,157,84,53.5
Belveth,Nilah,23,17,73.91
Ekko,Zeri,217,111,51.15
Ivern,Yunara,123,53,43.09
Reksai,Lucian,89,46,51.69
Taliyah,Senna,49,19,38.78
Viego,Sivir,494,264,53.44
Gragas,Aphelios,33,23,69.7
Lee Sin,Caitlyn,379,136,35.88
Taliyah,Kaisa,83,35,42.17
Rengar,Lucian,271,136,50.18
Zed,Vayne,114,56,49.12
Corki,Sivir,15,9,60.0
Sylas,Mel,13,5,38.46
Briar,Mel,13,8,61.54
Karthus,Aphelios,106,45,42.45
Kindred,Viktor,13,7,53.85
Kayn,Draven,93,44,47.31
Karthus,Zeri,86,56,65.12
Volibear,Zeri,192,63,32.81
Karthus,Ezreal,169,93,55.03
Hecarim,Corki,147,62,42.18
Rengar,Miss Fortune,119,81,68.07
Shaco,Sivir,93,39,41.94
Kayn,Lucian,382,182,47.64
Teemo,Yasuo,2,0,0.0
Hecarim,Varus,187,91,48.66
Karthus,Caitlyn,59,22,37.29
Viego,Lux,134,68,50.75
Qiyana,Zeri,74,51,68.92
Lee Sin,Senna,453,222,49.01
Ekko,Seraphine,42,21,50.0
Naafiri,Samira,49,12,24.49
Talon,Nilah,58,30,51.72
Nunu & Willump,Xayah,72,39,54.17
Zac,Nilah,25,18,72.0
Lillia,Ezreal,227,107,47.14
Gwen,Sivir,118,74,62.71
Lillia,Senna,143,82,57.34
Kayn,Vayne,109,33,30.28
Kindred,Kaisa,296,181,61.15
Rengar,Caitlyn,114,71,62.28
Trundle,Karthus,59,30,50.85
Lee Sin,Lissandra,11,0,0.0
Viego,Zyra,50,35,70.0
Belveth,Yasuo,48,25,52.08
Maokai,Kaisa,30,6,20.0
Skarner,Mel,10,10,100.0
Viego,Jhin,1012,461,45.55
Chogath,Jhin,10,0,0.0
Chogath,Lucian,10,10,100.0
Vi,Ashe,100,59,59.0
Chogath,Ezreal,13,2,15.38
Diana,Twitch,107,56,52.34
Shaco,Lucian,129,68,52.71
Fiddlesticks,Aphelios,94,51,54.26
Zed,Jhin,481,206,42.83
Nidalee,Zeri,100,47,47.0
Shaco,Kaisa,164,71,43.29
Ekko,Jhin,430,238,55.35
Trundle,Vayne,92,45,48.91
Teemo,Tristana,20,5,25.0
Fiddlesticks,Xayah,35,13,37.14
Pantheon,Swain,51,40,78.43
Hecarim,Swain,38,19,50.0
Talon,Mel,108,46,42.59
Lee Sin,Lux,132,81,61.36
Ambessa,Senna,67,29,43.28
Xin Zhao,Yasuo,58,19,32.76
KhaZix,Lux,41,17,41.46
Diana,Sivir,105,52,49.52
Belveth,Ziggs,55,46,83.64
Briar,Jinx,42,10,23.81
Karthus,Zilean,7,7,100.0
Elise,Ezreal,141,81,57.45
Zyra,Jinx,30,15,50.0
Elise,Zyra,9,9,100.0
Wukong,Kaisa,464,224,48.28
Jarvan IV,Xayah,206,114,55.34
Zac,Lux,31,16,51.61
Kayn,Yasuo,32,13,40.62
Naafiri,Aphelios,148,89,60.14
Xin Zhao,Varus,388,240,61.86
Trundle,Mel,86,40,46.51
Taliyah,Aphelios,76,40,52.63
Dr. Mundo,Mel,61,20,32.79
Udyr,Ziggs,63,22,34.92
Trundle,Aphelios,193,105,54.4
Wukong,Xayah,96,51,53.12
Viego,Swain,92,47,51.09
Kayn,Varus,202,93,46.04
Vi,Seraphine,54,31,57.41
Poppy,Zyra,20,9,45.0
Poppy,Twitch,65,45,69.23
Vi,Mel,113,72,63.72
Briar,Draven,55,30,54.55
Vi,Miss Fortune,159,109,68.55
Taliyah,Sivir,33,11,33.33
Nidalee,Ziggs,42,31,73.81
Sejuani,Jhin,44,21,47.73
Viego,Mel,271,155,57.2
