champion1,champion2,champion3,games,wins,win_rate
Jarvan IV,Ashe,Alistar,9,8,88.89
Viego,Yunara,Alistar,47,24,51.06
Pantheon,Riven,Taric,10,0,0.0
Viego,Kaisa,Neeko,49,25,51.02
Pantheon,Jhin,Heimerdinger,9,0,0.0
Zed,Sivir,Leona,14,11,78.57
Xin Zhao,Caitlyn,Zyra,8,1,12.5
Ivern,Jhin,Soraka,12,5,41.67
Xin Zhao,Ziggs,Alistar,26,0,0.0
Talon,Tristana,Alistar,21,10,47.62
Graves,Lucian,Yuumi,12,5,41.67
Wukong,Twitch,Sona,5,5,100.0
Lee Sin,Yunara,Lulu,61,31,50.82
Pantheon,Twitch,Braum,12,7,58.33
Viego,Kaisa,Alistar,90,59,65.56
Jarvan IV,Yunara,Alistar,34,32,94.12
Vi,Sivir,Rell,23,11,47.83
Qiyana,Jhin,Rell,21,14,66.67
Wukong,Ezreal,Alistar,43,29,67.44
Jarvan IV,Senna,Nautilus,53,7,13.21
Pantheon,Sivir,Alistar,27,19,70.37
Vi,Jhin,Rakan,32,6,18.75
Zed,Twitch,Alistar,11,11,100.0
Elise,Yunara,Braum,16,12,75.0
Viego,Kaisa,Nautilus,149,59,39.6
Viego,Yunara,Nautilus,52,35,67.31
Zyra,Tristana,Renata,8,8,100.0
Ekko,Yunara,Fiddlesticks,8,0,0.0
Lee Sin,Aphelios,Nautilus,20,11,55.0
Pantheon,Lucian,Milio,84,40,47.62
Lee Sin,Varus,Nautilus,54,12,22.22
Udyr,Lucian,Nami,100,46,46.0
Volibear,Annie,Pyke,1,0,0.0
Kayn,Caitlyn,Janna,7,4,57.14
Ivern,Veigar,Leona,5,5,100.0
Dr. Mundo,Draven,Kled,5,0,0.0
Viego,Vayne,Poppy,2,0,0.0
Hecarim,Lux,Rell,4,2,50.0
Viego,Samira,Zilean,1,1,100.0
Ivern,Jinx,Rakan,1,0,0.0
Fiddlesticks,Miss Fortune,Janna,8,8,100.0
Taliyah,Lucian,Rell,14,4,28.57
Ivern,Veigar,Zyra,3,0,0.0
Jarvan IV,Corki,Lux,3,3,100.0
Udyr,Vayne,Milio,5,4,80.0
Shaco,Ezreal,Sona,10,2,20.0
Yuumi,Nilah,Pantheon,2,0,0.0
Gwen,Lucian,Nami,58,22,37.93
Gwen,Draven,Neeko,7,0,0.0
Ekko,Corki,Pyke,12,6,50.0
Belveth,Ashe,Sona,9,7,77.78
Rammus,Lucian,Yuumi,9,2,22.22
Nunu & Willump,Smolder,Shen,3,0,0.0
Graves,Tristana,Nautilus,13,5,38.46
Nunu & Willump,Jhin,Leona,3,2,66.67
Volibear,Sivir,Karma,19,1,5.26
Nunu & Willump,Viktor,Nautilus,3,0,0.0
Ivern,Kaisa,Nidalee,3,3,100.0
Hecarim,Tristana,Poppy,9,2,22.22
Jarvan IV,Lux,Nautilus,3,3,100.0
Talon,Kaisa,Neeko,25,15,60.0
Karthus,Twitch,Alistar,4,1,25.0
Gragas,Kaisa,Sylas,1,0,0.0
Talon,Twitch,Alistar,2,2,100.0
Viego,Caitlyn,Zoe,4,0,0.0
Volibear,Twitch,Poppy,3,3,100.0
Nidalee,Twitch,Nautilus,15,9,60.0
Lee Sin,Smolder,Rell,18,9,50.0
Lee Sin,Vayne,Braum,20,13,65.0
Hecarim,Kaisa,Nautilus,86,37,43.02
Nidalee,Twitch,Alistar,6,6,100.0
Karthus,Samira,Gragas,2,0,0.0
Nidalee,Aphelios,Alistar,26,14,53.85
Ambessa,Sivir,Nami,7,7,100.0
Ambessa,Varus,Pyke,4,4,100.0
Qiyana,Aphelios,Morgana,7,0,0.0
Jarvan IV,Aphelios,Bard,13,7,53.85
Nidalee,Ashe,Blitzcrank,3,0,0.0
Volibear,Senna,Alistar,30,21,70.0
Jax,Smolder,Karma,4,0,0.0
Vayne,Xayah,Poppy,11,8,72.73
Lee Sin,Corki,Nautilus,31,10,32.26
Pantheon,Smolder,Bard,43,24,55.81
Lee Sin,Jhin,Nautilus,56,33,58.93
Lee Sin,Sivir,Karma,29,19,65.52
Volibear,Miss Fortune,Rell,33,19,57.58
Jarvan IV,Kaisa,Rakan,46,18,39.13
Poppy,Ezreal,Karma,20,15,75.0
Wukong,Varus,Renata,7,1,14.29
Pantheon,Aphelios,Lulu,67,39,58.21
Talon,Vayne,Janna,3,2,66.67
Nunu & Willump,Jinx,Senna,4,3,75.0
Zac,Viktor,Neeko,2,2,100.0
Volibear,Kaisa,Diana,2,0,0.0
Belveth,Kaisa,Shaco,1,1,100.0
Nidalee,Vayne,Janna,6,4,66.67
Gwen,Aphelios,Sona,17,15,88.24
Elise,Sivir,Milio,11,1,9.09
Nidalee,Varus,Alistar,14,7,50.0
Lee Sin,Vayne,Milio,14,14,100.0
Lee Sin,Aphelios,Thresh,82,36,43.9
Poppy,Ashe,Braum,4,4,100.0
Rammus,Zeri,Lulu,9,6,66.67
Belveth,Sivir,Rakan,18,2,11.11
Lee Sin,Aphelios,Zilean,12,4,33.33
Nidalee,Varus,Nautilus,32,28,87.5
Nidalee,Tristana,Nautilus,44,27,61.36
Poppy,Zeri,Lulu,12,5,41.67
Lee Sin,Tristana,Alistar,47,33,70.21
Xin Zhao,Jhin,Jarvan IV,2,0,0.0
Nidalee,Senna,Nautilus,52,20,38.46
Kindred,Varus,Renata,12,6,50.0
Graves,Lucian,Milio,37,27,72.97
Jarvan IV,Sivir,Alistar,16,13,81.25
Mordekaiser,Senna,Alistar,13,10,76.92
Nunu & Willump,Yunara,Bard,11,0,0.0
Mordekaiser,Yunara,Pyke,10,10,100.0
Jarvan IV,Jinx,Nautilus,39,25,64.1
Jarvan IV,Kalista,Neeko,11,9,81.82
Pantheon,Yunara,Rakan,52,27,51.92
Trundle,Yunara,Sona,47,24,51.06
Elise,Yasuo,Pyke,10,10,100.0
Lee Sin,Yunara,Thresh,20,13,65.0
Jarvan IV,Senna,Alistar,43,23,53.49
Jarvan IV,Ezreal,Zyra,13,3,23.08
Skarner,Yunara,Rakan,10,10,100.0
Jarvan IV,Mel,Alistar,14,4,28.57
Hecarim,Senna,Rell,20,15,75.0
Trundle,Miss Fortune,Pyke,19,5,26.32
Vi,Kaisa,Pyke,33,9,27.27
Shyvana,Lucian,Braum,18,10,55.56
Lee Sin,Yunara,Teemo,6,0,0.0
Nocturne,Miss Fortune,Alistar,15,9,60.0
Ambessa,Yunara,Alistar,10,1,10.0
Xin Zhao,Senna,Tahm Kench,13,12,92.31
Jarvan IV,Hwei,Alistar,14,2,14.29
Nidalee,Lucian,Leona,30,18,60.0
KhaZix,Lucian,Taric,11,0,0.0
Trundle,Draven,Leona,16,11,68.75
Jarvan IV,Jinx,Janna,17,3,17.65
Trundle,Corki,Neeko,12,9,75.0
Sejuani,Ezreal,Alistar,12,8,66.67
Hecarim,Sivir,Lulu,29,5,17.24
Hecarim,Lucian,Milio,22,5,22.73
Udyr,Aphelios,Nautilus,10,9,90.0
Lee Sin,Corki,Leona,22,16,72.73
Nocturne,Miss Fortune,Rell,26,9,34.62
Volibear,Kalista,Neeko,9,9,100.0
Trundle,Senna,Alistar,39,21,53.85
Pantheon,Ashe,VelKoz,9,6,66.67
Xin Zhao,Jhin,Trundle,8,0,0.0
Elise,Kalista,Tahm Kench,7,0,0.0
Pantheon,Yasuo,Alistar,8,8,100.0
Ekko,Yunara,Braum,22,12,54.55
Wukong,Lucian,Karma,13,4,30.77
Jarvan IV,Ziggs,Alistar,17,12,70.59
Pantheon,Hwei,Sona,9,1,11.11
Pantheon,Varus,Lulu,37,22,59.46
Zac,Ziggs,Bard,6,5,83.33
Trundle,Ezreal,Poppy,13,4,30.77
Ekko,Senna,Rell,28,25,89.29
Belveth,Yunara,Karma,10,6,60.0
Volibear,Hwei,Senna,4,4,100.0
Jarvan IV,Vayne,Lulu,42,11,26.19
Trundle,Varus,Neeko,25,24,96.0
Master Yi,Lucian,Rell,18,0,0.0
Pantheon,Tristana,Nautilus,49,32,65.31
Chogath,Aphelios,Alistar,9,9,100.0
Shaco,Zeri,Bard,10,0,0.0
Viego,Senna,Neeko,18,9,50.0
Skarner,Sivir,Karma,11,4,36.36
Belveth,Jinx,Braum,14,10,71.43
Xin Zhao,Vayne,Lulu,40,13,32.5
Fiddlesticks,Jinx,Nautilus,10,10,100.0
Olaf,Zeri,Leona,12,0,0.0
Elise,Twitch,Rakan,8,1,12.5
KhaZix,Jhin,Galio,5,5,100.0
Pantheon,Aphelios,Zilean,18,2,11.11
Vi,Corki,Blitzcrank,13,9,69.23
Belveth,Jhin,Fiddlesticks,14,13,92.86
Diana,Yunara,Lulu,11,4,36.36
Karthus,Tristana,Yuumi,9,3,33.33
Zed,Jinx,Lulu,43,19,44.19
Vi,Zeri,Lulu,36,25,69.44
Pantheon,Lux,Nami,22,19,86.36
Wukong,Corki,Rell,21,3,14.29
Rengar,Yunara,Lulu,20,0,0.0
Nunu & Willump,Senna,Soraka,10,7,70.0
Skarner,Lucian,Nami,36,20,55.56
Nunu & Willump,Jhin,Neeko,22,7,31.82
Shen,Varus,Renata,3,0,0.0
Belveth,Miss Fortune,Rell,13,10,76.92
Belveth,Corki,VelKoz,5,5,100.0
KhaZix,Twitch,Rakan,11,2,18.18
Talon,Vayne,Nami,11,1,9.09
Zac,Sivir,Yuumi,6,6,100.0
Volibear,Jinx,Thresh,44,28,63.64
Udyr,Twitch,Renata,7,7,100.0
Pantheon,Sivir,Bard,36,29,80.56
Trundle,Tristana,Alistar,19,0,0.0
Vi,Varus,Nautilus,34,14,41.18
Poppy,Lucian,Nami,68,29,42.65
Pantheon,Jhin,Karma,64,18,28.12
Trundle,Caitlyn,Neeko,23,10,43.48
Pantheon,Ezreal,Karma,138,80,57.97
Qiyana,Twitch,Rakan,11,11,100.0
Ambessa,Mel,Bard,7,0,0.0
Ekko,Varus,Alistar,27,16,59.26
Karthus,Senna,Soraka,11,3,27.27
Ekko,Ezreal,Karma,63,39,61.9
Jarvan IV,Kalista,Pyke,7,0,0.0
Wukong,Samira,Rell,10,10,100.0
Ekko,Miss Fortune,Alistar,29,18,62.07
Zed,Aphelios,Poppy,21,0,0.0
Naafiri,Jhin,Elise,9,6,66.67
Jarvan IV,Senna,Lulu,13,0,0.0
Nocturne,Senna,Braum,17,7,41.18
Jarvan IV,Varus,Neeko,43,24,55.81
Volibear,Senna,Braum,18,4,22.22
Wukong,Twitch,Thresh,4,4,100.0
Zac,Sivir,Blitzcrank,4,0,0.0
Kindred,Lucian,Poppy,6,6,100.0
Taliyah,Varus,Nautilus,13,3,23.08
Pantheon,Miss Fortune,Rell,35,27,77.14
Lee Sin,Aphelios,Neeko,15,4,26.67
Wukong,Aphelios,Lulu,34,11,32.35
Nidalee,Senna,Poppy,13,11,84.62
Wukong,Twitch,Alistar,8,8,100.0
Lee Sin,Varus,Neeko,41,1,2.44
Lee Sin,Tristana,Sona,8,8,100.0
Vi,Kaisa,Galio,4,0,0.0
Shaco,Zeri,Poppy,10,10,100.0
Lee Sin,Jhin,Rell,62,23,37.1
Lee Sin,Aphelios,Braum,28,9,32.14
Ekko,Hwei,Poppy,7,7,100.0
Lee Sin,Zeri,Lulu,90,59,65.56
Pantheon,Sivir,Karma,32,9,28.12
Lee Sin,Varus,Poppy,27,8,29.63
Talon,Aphelios,Lulu,41,26,63.41
Wukong,Draven,Alistar,8,7,87.5
Lee Sin,Jhin,Karma,110,44,40.0
Pantheon,Aphelios,Nautilus,42,24,57.14
Viego,Jinx,Thresh,36,19,52.78
Lee Sin,Lucian,Nami,338,177,52.37
Vi,Jinx,Braum,7,6,85.71
Nidalee,Draven,Alistar,21,4,19.05
Pantheon,Kaisa,Braum,26,25,96.15
Vi,Tristana,Rakan,27,8,29.63
Ekko,Caitlyn,Braum,12,3,25.0
Talon,Jinx,Rakan,9,6,66.67
Nunu & Willump,Tristana,Sona,13,11,84.62
Graves,Caitlyn,Elise,3,0,0.0
Belveth,Jhin,Rell,12,4,33.33
Rengar,Hwei,Sona,10,7,70.0
Lee Sin,Jinx,Fiddlesticks,3,3,100.0
Rammus,Taliyah,Sona,6,6,100.0
Hecarim,Twisted Fate,Seraphine,6,0,0.0
Pantheon,Kaisa,Blitzcrank,41,14,34.15
Shaco,Miss Fortune,Nautilus,15,10,66.67
Hecarim,Draven,Leona,4,0,0.0
Zed,Sivir,Sona,8,7,87.5
Jarvan IV,Senna,Karma,20,9,45.0
Ekko,Varus,Pyke,13,11,84.62
Aurelion Sol,Tristana,Pyke,7,0,0.0
Zed,Varus,Rammus,7,7,100.0
Ekko,Kaisa,Rammus,6,6,100.0
Zed,Tristana,Alistar,29,15,51.72
Fiddlesticks,Ezreal,Karma,24,15,62.5
Jarvan IV,Tristana,Seraphine,6,3,50.0
Ekko,Hwei,Nami,7,1,14.29
Gwen,Corki,Blitzcrank,6,3,50.0
Wukong,Varus,Nautilus,20,7,35.0
Volibear,Lucian,Nami,93,46,49.46
Graves,Aphelios,Lulu,18,15,83.33
Jarvan IV,Lucian,Sylas,5,0,0.0
Jarvan IV,Twitch,Thresh,18,12,66.67
Ambessa,Miss Fortune,Nautilus,6,0,0.0
Nunu & Willump,Ezreal,Trundle,8,0,0.0
Reksai,Sivir,Lulu,14,13,92.86
Nunu & Willump,Corki,Karma,12,12,100.0
Jarvan IV,Lucian,Braum,80,37,46.25
Hecarim,Kaisa,Neeko,25,15,60.0
Nunu & Willump,Sivir,Bard,15,2,13.33
Vi,Sivir,Bard,21,8,38.1
Nunu & Willump,Caitlyn,Rakan,9,8,88.89
Chogath,Yunara,Thresh,10,0,0.0
Nunu & Willump,Tristana,Lulu,18,11,61.11
Belveth,Smolder,Rell,7,6,85.71
Nunu & Willump,Senna,Alistar,23,9,39.13
Nunu & Willump,Yunara,Lulu,30,26,86.67
Elise,KogMaw,Alistar,6,0,0.0
Nunu & Willump,Yunara,Jhin,7,7,100.0
Ekko,Aphelios,Pyke,14,11,78.57
Kindred,Yunara,Leona,9,0,0.0
Ekko,Sivir,Rell,14,11,78.57
Nunu & Willump,Miss Fortune,Poppy,6,0,0.0
Qiyana,Varus,Neeko,5,5,100.0
Nunu & Willump,Lucian,Rell,16,1,6.25
Pantheon,Mel,Rakan,12,3,25.0
Nunu & Willump,Jhin,Nautilus,5,4,80.0
Graves,Jinx,Lulu,25,17,68.0
Nunu & Willump,Smolder,Sona,4,4,100.0
Pantheon,Jhin,Janna,18,13,72.22
Xin Zhao,Caitlyn,Neeko,21,6,28.57
Nunu & Willump,Varus,Alistar,11,10,90.91
Hecarim,Xayah,Neeko,5,1,20.0
Qiyana,Karthus,Sylas,8,0,0.0
Viego,Draven,Lulu,10,10,100.0
Nunu & Willump,Aphelios,Janna,3,3,100.0
Dr. Mundo,Jinx,Nautilus,2,0,0.0
Nunu & Willump,Ezreal,Shaco,2,2,100.0
Ekko,Kaisa,Alistar,40,11,27.5
Kindred,Mel,Rakan,5,5,100.0
Ivern,Draven,Morgana,1,1,100.0
Nunu & Willump,Kaisa,Nautilus,23,8,34.78
Nunu & Willump,Mel,Pyke,6,6,100.0
Talon,Jhin,Thresh,8,1,12.5
Xin Zhao,Lucian,Nami,220,127,57.73
Nunu & Willump,KogMaw,Pyke,6,0,0.0
Volibear,Vayne,Blitzcrank,10,1,10.0
Nunu & Willump,Tristana,Rell,17,11,64.71
Pantheon,Kaisa,Pyke,48,25,52.08
Ambessa,Corki,Rell,3,0,0.0
Viego,Vayne,Leona,12,6,50.0
Nunu & Willump,Lucian,Nami,66,41,62.12
Nunu & Willump,Jhin,Bard,9,3,33.33
Nunu & Willump,Draven,Alistar,12,6,50.0
Trundle,Twitch,Braum,6,1,16.67
Nunu & Willump,Senna,Braum,6,1,16.67
Lee Sin,Zeri,Rell,32,21,65.62
Nunu & Willump,Smolder,Nautilus,10,10,100.0
Lee Sin,Draven,Seraphine,3,3,100.0
Nunu & Willump,Twitch,Bard,5,2,40.0
Qiyana,Sivir,Yuumi,16,9,56.25
Nunu & Willump,Swain,Rell,3,3,100.0
Nunu & Willump,Draven,Zac,2,2,100.0
Master Yi,Aphelios,Nautilus,2,0,0.0
Pantheon,Varus,Alistar,35,17,48.57
Viego,Samira,Elise,3,0,0.0
Shaco,Ezreal,Neeko,11,3,27.27
Jax,Varus,Karma,8,8,100.0
Fiddlesticks,Sivir,Alistar,7,2,28.57
Nunu & Willump,Jhin,Nidalee,2,0,0.0
Nunu & Willump,Ziggs,Pyke,4,0,0.0
Nunu & Willump,Miss Fortune,Rell,10,2,20.0
Volibear,Tristana,Senna,2,2,100.0
Nidalee,Aphelios,Lulu,35,24,68.57
Nunu & Willump,Twitch,Yuumi,5,5,100.0
Nunu & Willump,Jhin,Thresh,2,2,100.0
Naafiri,Mel,Zilean,2,0,0.0
Briar,Aphelios,Poppy,2,0,0.0
Pantheon,Smolder,Janna,22,10,45.45
Nunu & Willump,Ashe,Braum,9,4,44.44
Gwen,Hwei,Rell,2,2,100.0
Belveth,KogMaw,Pyke,2,2,100.0
Nunu & Willump,Jinx,Sona,11,7,63.64
Naafiri,Varus,Nautilus,25,13,52.0
Pantheon,Draven,Rell,14,10,71.43
Nunu & Willump,Draven,Neeko,5,3,60.0
Trundle,Corki,Pyke,8,2,25.0
Vi,Lucian,Pyke,19,16,84.21
Nunu & Willump,KogMaw,Lulu,26,14,53.85
Nunu & Willump,Smolder,Bard,5,0,0.0
Hecarim,Tristana,Fiddlesticks,3,2,66.67
Nunu & Willump,Senna,Zilean,5,4,80.0
Zyra,Aphelios,Trundle,4,0,0.0
Udyr,Miss Fortune,Nami,5,5,100.0
Nidalee,Lucian,Alistar,16,7,43.75
Reksai,Sivir,Trundle,5,0,0.0
Nunu & Willump,Lucian,Milio,26,12,46.15
Talon,Kalista,Rell,9,0,0.0
Fiddlesticks,Kalista,Renata,5,5,100.0
Nunu & Willump,Lucian,Braum,15,5,33.33
Evelynn,Lucian,Braum,10,2,20.0
Viego,Kaisa,Pyke,85,53,62.35
Trundle,Smolder,Rakan,7,1,14.29
Nunu & Willump,Aphelios,Lulu,13,3,23.08
Nidalee,Senna,Sona,6,3,50.0
Sejuani,Smolder,Blitzcrank,2,0,0.0
Talon,Senna,Nautilus,68,33,48.53
Nunu & Willump,Smolder,Alistar,2,2,100.0
Trundle,Draven,Rell,11,1,9.09
Nunu & Willump,Zyra,Nautilus,1,1,100.0
Jarvan IV,Ziggs,Zilean,18,14,77.78
Nocturne,Ezreal,Rakan,29,9,31.03
KhaZix,Corki,Bard,31,18,58.06
Trundle,KogMaw,Tahm Kench,8,0,0.0
Elise,Jhin,Karma,32,19,59.38
Udyr,Miss Fortune,Rell,28,10,35.71
Nocturne,Ziggs,Leona,7,7,100.0
Morgana,Kaisa,Sett,7,0,0.0
KhaZix,Jinx,Soraka,7,0,0.0
Trundle,Sivir,Bard,25,3,12.0
Elise,Caitlyn,Sona,7,0,0.0
Poppy,Jhin,Karma,10,6,60.0
Nocturne,Sivir,Soraka,9,3,33.33
Pantheon,Lucian,Senna,9,9,100.0
Nocturne,Zeri,Zilean,4,0,0.0
Viego,Varus,Karma,40,27,67.5
Nocturne,Cassiopeia,Nautilus,15,9,60.0
KhaZix,Yunara,Leona,10,10,100.0
Gwen,Lucian,Pyke,13,3,23.08
Ekko,Yunara,Leona,7,6,85.71
Nocturne,Draven,Janna,18,10,55.56
Jarvan IV,Lucian,Neeko,23,6,26.09
Nunu & Willump,Yunara,Pyke,8,7,87.5
Jarvan IV,Tristana,Pyke,19,9,47.37
Elise,Hwei,Poppy,8,8,100.0
Nocturne,Tristana,Nami,9,9,100.0
Sejuani,Xayah,Nautilus,7,0,0.0
Xin Zhao,Senna,Soraka,27,11,40.74
Nocturne,Tristana,Nautilus,25,12,48.0
Ambessa,Tristana,Pyke,10,10,100.0
KhaZix,Yunara,Cassiopeia,7,0,0.0
Pantheon,Yunara,Alistar,53,23,43.4
Volibear,Tristana,Nautilus,28,10,35.71
Belveth,Karthus,Pyke,5,5,100.0
Jarvan IV,Sivir,Nami,16,3,18.75
Morgana,Jinx,Karma,8,8,100.0
Nocturne,Corki,Senna,9,1,11.11
Rengar,Zyra,Senna,3,0,0.0
Nocturne,Jinx,Rakan,13,11,84.62
Lee Sin,Karthus,Nautilus,19,15,78.95
Elise,Tristana,Sona,10,0,0.0
Viego,Senna,Twisted Fate,8,8,100.0
Hecarim,Ezreal,Nautilus,11,0,0.0
Pantheon,Jinx,Janna,18,0,0.0
Nocturne,Ziggs,Alistar,17,14,82.35
Nocturne,Lucian,Sona,29,17,58.62
Nunu & Willump,Corki,Pyke,9,1,11.11
Viego,Lucian,Alistar,38,17,44.74
Elise,Senna,Sona,9,2,22.22
Elise,Lucian,Rell,15,6,40.0
Rammus,Nilah,Soraka,8,0,0.0
Xin Zhao,Zeri,Dr. Mundo,9,0,0.0
Nocturne,Jinx,Bard,9,9,100.0
Nocturne,Caitlyn,Blitzcrank,9,7,77.78
Vi,Lux,Karma,7,0,0.0
Poppy,Tristana,Rakan,10,0,0.0
Nocturne,Lucian,Braum,40,31,77.5
Trundle,Jhin,Bard,50,27,54.0
KhaZix,Hwei,Karma,11,1,9.09
Jarvan IV,Corki,Alistar,41,24,58.54
Amumu,Draven,Dr. Mundo,4,4,100.0
Elise,Nilah,Alistar,5,5,100.0
Zac,Tristana,Lulu,13,2,15.38
Elise,Tristana,Lulu,14,11,78.57
Poppy,Draven,Nautilus,5,1,20.0
Poppy,Lucian,Neeko,3,3,100.0
Elise,Yunara,Bard,12,9,75.0
Hecarim,Seraphine,Sona,4,4,100.0
Jarvan IV,Draven,Nami,14,6,42.86
Elise,Varus,Neeko,6,5,83.33
Lee Sin,Kaisa,Maokai,9,1,11.11
Nocturne,Mel,Janna,3,3,100.0
Fiddlesticks,Twitch,Twisted Fate,3,0,0.0
Elise,Jhin,Zyra,8,0,0.0
Nocturne,Kaisa,Neeko,43,27,62.79
Elise,Jinx,Dr. Mundo,7,7,100.0
Lillia,Yunara,Morgana,7,0,0.0
Nocturne,Yasuo,Leona,7,7,100.0
Elise,Vayne,Camille,7,0,0.0
Nidalee,Jinx,Rell,19,9,47.37
Master Yi,Kaisa,Leona,14,5,35.71
Nocturne,Jhin,Poppy,14,14,100.0
Xin Zhao,Mel,Alistar,24,15,62.5
Xin Zhao,Ezreal,Sona,36,21,58.33
Jarvan IV,Yunara,Taric,13,0,0.0
Elise,Senna,Braum,6,6,100.0
Udyr,Lucian,Sona,29,5,17.24
Nocturne,Aphelios,Thresh,29,19,65.52
Xin Zhao,Jhin,Shaco,12,3,25.0
Mordekaiser,Tristana,Leona,10,10,100.0
Nocturne,Jhin,Braum,20,1,5.0
Jarvan IV,Smolder,Rakan,25,10,40.0
Zed,Lucian,Braum,78,37,47.44
Jarvan IV,Senna,Bard,36,15,41.67
Belveth,Lucian,Sona,23,16,69.57
Elise,Akshan,Nami,3,3,100.0
Jarvan IV,Kaisa,Nautilus,76,30,39.47
Brand,Nilah,Karma,2,0,0.0
Nocturne,Lucian,Rell,14,14,100.0
Jarvan IV,Smolder,Alistar,22,7,31.82
Jarvan IV,VelKoz,Nautilus,11,0,0.0
Belveth,Lucian,Rakan,10,10,100.0
Nocturne,Lucian,Nami,139,72,51.8
Jarvan IV,Zeri,Nautilus,21,7,33.33
Xin Zhao,Twitch,Blitzcrank,8,0,0.0
Jarvan IV,Draven,Nautilus,33,16,48.48
Nocturne,Twitch,Lulu,24,7,29.17
Jarvan IV,Hwei,Gragas,7,0,0.0
Belveth,Ezreal,Galio,7,7,100.0
Trundle,Sivir,Ahri,2,2,100.0
Xin Zhao,Senna,Sona,8,2,25.0
Jarvan IV,Sivir,Karma,26,23,88.46
Jax,Senna,Alistar,7,0,0.0
Xin Zhao,Aphelios,Sona,37,24,64.86
Udyr,Tristana,Neeko,9,0,0.0
