champion1,champion2,games,wins,win_rate
Yone,Pantheon,189,101,53.44
Aatrox,Volibear,260,127,48.85
Gnar,Belveth,38,29,76.32
Xin Zhao,Jarvan IV,7,2,28.57
KSante,Morgana,11,10,90.91
Garen,Elise,19,8,42.11
Jax,Hecarim,196,100,51.02
Sion,Nocturne,108,44,40.74
KSante,Nocturne,129,67,51.94
Renekton,Rammus,49,26,53.06
Corki,Nocturne,12,9,75.0
Jax,Nocturne,203,115,56.65
Renekton,Poppy,81,38,46.91
Vladimir,Trundle,140,58,41.43
Irelia,KhaZix,72,34,47.22
Trundle,Jarvan IV,46,23,50.0
Akali,Amumu,12,7,58.33
Gwen,Elise,78,62,79.49
Nocturne,Zac,11,2,18.18
Ornn,Elise,43,24,55.81
Nocturne,Poppy,9,3,33.33
Jayce,Poppy,94,53,56.38
Dr. Mundo,Jarvan IV,198,93,46.97
Urgot,Elise,65,30,46.15
Singed,Lee Sin,123,63,51.22
Aatrox,Elise,125,71,56.8
Ambessa,Nocturne,314,180,57.32
Tryndamere,Lillia,39,16,41.03
Akali,Nocturne,49,30,61.22
Malzahar,Elise,7,0,0.0
Jayce,Nidalee,174,108,62.07
Yasuo,Master Yi,43,20,46.51
Rengar,Xin Zhao,11,8,72.73
Varus,Jarvan IV,29,6,20.69
Sett,Udyr,67,34,50.75
Janna,Nocturne,13,9,69.23
Dr. Mundo,Xin Zhao,164,67,40.85
Garen,Mordekaiser,10,10,100.0
Kassadin,Jarvan IV,9,2,22.22
Fiora,Zed,197,100,50.76
Rumble,Jarvan IV,329,167,50.76
Aatrox,Belveth,123,48,39.02
Kled,Elise,36,13,36.11
Urgot,Brand,4,0,0.0
Heimerdinger,Nocturne,29,14,48.28
Irelia,Jarvan IV,212,112,52.83
Chogath,Jarvan IV,147,52,35.37
Teemo,Nocturne,85,34,40.0
Akali,Jarvan IV,159,71,44.65
Jax,Xin Zhao,346,182,52.6
Reksai,Trundle,8,6,75.0
Gnar,Xin Zhao,105,51,48.57
Mordekaiser,Jarvan IV,86,43,50.0
Ornn,Jax,34,22,64.71
Gragas,Xin Zhao,229,132,57.64
Aatrox,Udyr,218,95,43.58
Fiora,Pantheon,279,145,51.97
Olaf,KhaZix,27,4,14.81
Riven,Vi,210,76,36.19
Jax,Trundle,297,142,47.81
Garen,KhaZix,52,34,65.38
Jax,KhaZix,164,76,46.34
Gragas,Trundle,214,95,44.39
Tryndamere,Hecarim,47,33,70.21
Gragas,Viego,474,230,48.52
Renekton,Gwen,110,70,63.64
Teemo,Xin Zhao,154,87,56.49
Darius,Talon,144,82,56.94
Jax,Fiddlesticks,66,28,42.42
Jayce,Xin Zhao,317,169,53.31
Olaf,Nunu & Willump,28,16,57.14
Gwen,Wukong,331,141,42.6
Sion,Chogath,12,2,16.67
Aurora,Trundle,185,82,44.32
Sion,KhaZix,96,57,59.38
Urgot,Viego,275,158,57.45
Kennen,Trundle,65,27,41.54
Tryndamere,Nocturne,58,39,67.24
Galio,Pantheon,54,32,59.26
Yorick,Zac,68,32,47.06
Irelia,Pantheon,294,132,44.9
Kennen,Jarvan IV,206,112,54.37
Yasuo,Diana,148,77,52.03
Malphite,Poppy,29,7,24.14
Quinn,Nocturne,52,30,57.69
Malphite,Xin Zhao,84,46,54.76
Sylas,Fiddlesticks,9,0,0.0
Jax,Gwen,137,66,48.18
Fiora,Xin Zhao,191,67,35.08
Singed,Pantheon,149,74,49.66
Jayce,Taliyah,53,32,60.38
Gangplank,Viego,328,178,54.27
Aatrox,Corki,24,11,45.83
Nocturne,Viego,34,15,44.12
Garen,Nidalee,61,23,37.7
