blue_bans,red_bans,blue_picks,red_picks,patch,blue_roster,red_roster,blue_side,red_side,winner,loser
Rell,Azir,Lulu,Rakan,13.19,Lehends,Missing,,,,
,,,,,,,KT Rolster,JD Gaming,red_side,blue_side
Neeko,Rakan,Jax,Aatrox,13.19,Doran,Bin,,,,
Renekton,Maokai,Rell,Jarvan IV,13.19,Peanut,XUN,,,,
Xayah,Sylas,Azir,Orianna,13.19,Chovy,Yagao,,,,
Rumble,Poppy,Aphelios,Kalista,13.19,Peyz,Elk,,,,
KSante,Sejuani,Tahm Kench,Renata Glasc,13.19,Delight,ON,,,,
,,,,,,,Gen.G eSports,Bilibili Gaming,red_side,blue_side
Sylas,Jax,Rumble,Aatrox,13.19,Bin,Doran,,,,
Rakan,Neeko,Jarvan IV,Maokai,13.19,XUN,Peanut,,,,
Poppy,Kalista,Orianna,Azir,13.19,Yagao,Chovy,,,,
Yone,Jinx,Xayah,Aphelios,13.19,Elk,Peyz,,,,
Akali,Ashe,Renata Glasc,Milio,13.19,ON,Delight,,,,
,,,,,,,Bilibili Gaming,Gen.G eSports,blue_side,red_side
Jax,Rakan,Aatrox,Renekton,13.19,Doran,Bin,,,,
Xayah,Sylas,Maokai,Jarvan IV,13.19,Peanut,XUN,,,,
Renata Glasc,Rumble,Yone,Orianna,13.19,Chovy,Yagao,,,,
Aphelios,Zeri,Kaisa,Caitlyn,13.19,Peyz,Elk,,,,
Kalista,Draven,Nautilus,Braum,13.19,Delight,ON,,,,
,,,,,,,Gen.G eSports,Bilibili Gaming,blue_side,red_side
Sylas,Xayah,KSante,Rumble,13.19,Bin,Doran,,,,
Rakan,Renata Glasc,Jarvan IV,Vi,13.19,XUN,Peanut,,,,
Yone,Jax,Neeko,Akali,13.19,Yagao,Chovy,,,,
Nautilus,Caitlyn,Ashe,Kalista,13.19,Elk,Peyz,,,,
Kaisa,Aphelios,Tahm Kench,Rell,13.19,ON,Delight,,,,
,,,,,,,Bilibili Gaming,Gen.G eSports,red_side,blue_side
Sylas,Xayah,Rumble,Gnar,13.19,Bin,Doran,,,,
Rakan,Renata Glasc,Jarvan IV,Vi,13.19,XUN,Peanut,,,,
Aatrox,Jax,Orianna,Akali,13.19,Yagao,Chovy,,,,
Nautilus,Caitlyn,Tahm Kench,Kaisa,13.19,ON,Peyz,,,,
Kalista,Aphelios,Senna,Rell,13.19,Elk,Delight,,,,
,,,,,,,Bilibili Gaming,Gen.G eSports,blue_side,red_side
Renata Glasc,Xayah,Renekton,KSante,13.19,Dhokla,TheShy,,,,
Rumble,Jarvan IV,Viego,Rell,13.19,Contractz,WeiWei,,,,
Azir,Maokai,Orianna,Neeko,13.19,Palafox,xiaohu,,,,
Nocturne,Vi,Tahm Kench,Aphelios,13.19,IgNar,Light,,,,
Gnar,Jax,Senna,Milio,13.19,FBI,Crisp,,,,
,,,,,,,NRG,Weibo Gaming,red_side,blue_side
Renata Glasc,Xayah,KSante,Aatrox,13.19,Dhokla,TheShy,,,,
Rumble,Jarvan IV,Vi,Rell,13.19,Contractz,WeiWei,,,,
Azir,Maokai,Orianna,Neeko,13.19,Palafox,xiaohu,,,,
Gnar,Senna,Kaisa,Aphelios,13.19,FBI,Light,,,,
Viego,Ziggs,Alistar,Milio,13.19,IgNar,Crisp,,,,
,,,,,,,NRG,Weibo Gaming,red_side,blue_side
Renata Glasc,Xayah,Rumble,Gnar,13.19,Dhokla,TheShy,,,,
Azir,Neeko,Sejuani,Maokai,13.19,Contractz,WeiWei,,,,
Aphelios,Orianna,Yone,Jayce,13.19,Palafox,xiaohu,,,,
KSante,Jarvan IV,Ezreal,Caitlyn,13.19,FBI,Light,,,,
Tristana,Poppy,Karma,Heimerdinger,13.19,IgNar,Crisp,,,,
,,,,,,,NRG,Weibo Gaming,red_side,blue_side
Neeko,Kalista,Poppy,Jax,13.19,Brokenblade,Bin,,,,
Rakan,Draven,Maokai,Sejuani,13.19,Yike,XUN,,,,
Jarvan IV,Orianna,Jayce,Taliyah,13.19,Caps,Yagao,,,,
