blue_bans,red_bans,blue_picks,red_picks,patch,blue_roster,red_roster,blue_side,red_side,winner,loser
Kalista,Sylas,Xin Zhao,Viego,12.14,AKi,XUN,,,,
Vi,Wukong,Ahri,Galio,12.14,Creme,Mole,,,,
Draven,Zeri,Ezreal,Aphelios,12.14,Able,Ahn,,,,
Rakan,Samira,Nautilus,Renata Glasc,12.14,cold,Wink,,,,
,,,,,,,OMG,Invictus Gaming,blue_side,red_side
Poppy,Nidalee,Jax,Rumble,12.14,Zika,shanji,,,,
Sylas,Kalista,Vi,Xin Zhao,12.14,XUN,AKi,,,,
Zeri,Wukong,Vex,Ahri,12.14,Mole,Creme,,,,
Samira,Draven,Aphelios,Ezreal,12.14,Ahn,Able,,,,
Sivir,Rakan,Tahm Kench,Nautilus,12.14,Wink,cold,,,,
,,,,,,,Invictus Gaming,OMG,red_side,blue_side
Sylas,Poppy,Gragas,Gangplank,12.14,Flandre,Zdz,,,,
Swain,Zeri,Trundle,Wukong,12.14,JunJia,Xiaohao,,,,
Kalista,Taliyah,Azir,Akali,12.14,Scout,Forge,,,,
LeBlanc,Renata Glasc,Draven,Aphelios,12.14,Viper,Betty,,,,
Ahri,Sett,Braum,Nautilus,12.14,meiko,Qiuqiu,,,,
,,,,,,,Edward Gaming,Anyone s Legend,blue_side,red_side
Poppy,Sylas,Gwen,Jax,12.14,Zdz,Flandre,,,,
Taliyah,Swain,Viego,Wukong,12.14,Xiaohao,JunJia,,,,
Azir,Xin Zhao,Ahri,Lissandra,12.14,Forge,Scout,,,,
Renata Glasc,Trundle,Kalista,Draven,12.14,Betty,Viper,,,,
Gnar,Pantheon,Amumu,Braum,12.14,Qiuqiu,meiko,,,,
,,,,,,,Anyone s Legend,Edward Gaming,red_side,blue_side
Kalista,Poppy,Sejuani,Ornn,12.14,Wayward,Rich,,,,
Taliyah,Zeri,Viego,Wukong,12.14,Tian,XLB,,,,
Lissandra,Trundle,Sylas,Orianna,12.14,Knight,RooKie,,,,
