blue_bans,red_bans,blue_picks,red_picks,patch,blue_roster,red_roster,blue_side,red_side,winner,loser
Vi,Trundle,Wukong,Sejuani,12.15,Tian,Jiejie,,,,
Yuumi,Renata Glasc,Akali,Sylas,12.15,Knight,Scout,,,,
Viego,Ahri,Zeri,Draven,12.15,JackeyLove,Viper,,,,
Lee Sin,Taliyah,Braum,Rakan,12.15,Mark,meiko,,,,
,,,,,,,Top Esports,Edward Gaming,blue_side,red_side
Trundle,Yuumi,Ornn,Gwen,12.15,Flandre,Wayward,,,,
Poppy,Azir,Vi,Wukong,12.15,Jiejie,Tian,,,,
Renata Glasc,Renekton,Swain,Lissandra,12.15,Scout,Knight,,,,
Fiora,Sylas,Lucian,Zeri,12.15,Viper,JackeyLove,,,,
Gnar,Taliyah,Nami,Lulu,12.15,meiko,Mark,,,,
,,,,,,,Edward Gaming,Top Esports,blue_side,red_side
Lucian,Poppy,Gnar,Renekton,12.15,Wayward,Flandre,,,,
Vi,Renata Glasc,Sejuani,Xin Zhao,12.15,Tian,Jiejie,,,,
Wukong,Trundle,Sylas,Azir,12.15,Knight,Scout,,,,
Jarvan IV,Ahri,Sivir,Zeri,12.15,JackeyLove,Viper,,,,
Ornn,LeBlanc,Yuumi,Lulu,12.15,Mark,meiko,,,,
,,,,,,,Top Esports,Edward Gaming,blue_side,red_side
Renata Glasc,Yuumi,Kennen,Gnar,12.15,Flandre,Wayward,,,,
Poppy,Lucian,Trundle,Wukong,12.15,Jiejie,Tian,,,,
Nautilus,Zeri,Lissandra,Taliyah,12.15,Scout,Knight,,,,
Fiora,Azir,Aphelios,Tahm Kench,12.15,Viper,Mark,,,,
Sylas,Ornn,Lulu,Senna,12.15,meiko,JackeyLove,,,,
,,,,,,,Edward Gaming,Top Esports,red_side,blue_side
Ahri,Poppy,Kennen,Ornn,12.15,Ale,Rich,,,,
Kalista,Sejuani,Wukong,Xin Zhao,12.15,Tarzan,XLB,,,,
Renekton,Trundle,Nocturne,Lissandra,12.15,Doinb,RooKie,,,,
Vi,Sylas,Zeri,Sivir,12.15,Light,Photic,,,,
Malphite,Jax,Lulu,Yuumi,12.15,LvMao,Ppgod,,,,
,,,,,,,LNG Esports,Victory Five,blue_side,red_side
Ahri,Poppy,Kennen,Ornn,12.15,Ale,Rich,,,,
Kalista,Sejuani,Wukong,Xin Zhao,12.15,Tarzan,XLB,,,,
Renekton,Trundle,Yone,Lissandra,12.15,Doinb,RooKie,,,,
Vi,Sylas,Zeri,Sivir,12.15,Light,Photic,,,,
Malphite,Nocturne,Lulu,Yuumi,12.15,LvMao,Ppgod,,,,
,,,,,,,LNG Esports,Victory Five,red_side,blue_side
Ahri,Poppy,Gnar,Gragas,12.15,Ale,Rich,,,,
Kalista,Sejuani,Wukong,Belveth,12.15,Tarzan,XLB,,,,
Renekton,Trundle,Akali,Lissandra,12.15,Doinb,RooKie,,,,
Vi,Sylas,Zeri,Sivir,12.15,Light,Photic,,,,
Xin Zhao,Nocturne,Lulu,Yuumi,12.15,LvMao,Ppgod,,,,
,,,,,,,LNG Esports,Victory Five,blue_side,red_side
Ahri,Poppy,Gnar,Kennen,12.15,Ale,Rich,,,,
Kalista,Sejuani,Xin Zhao,Nocturne,12.15,Tarzan,Karsa,,,,
Renekton,Jax,Ryze,Sylas,12.15,Doinb,RooKie,,,,
Vi,Akali,Zeri,Lucian,12.15,Light,Photic,,,,
Wukong,Trundle,Yuumi,Nami,12.15,LvMao,Ppgod,,,,
,,,,,,,LNG Esports,Victory Five,red_side,blue_side
Ahri,Poppy,Fiora,Gnar,12.15,Ale,Rich,,,,
Kalista,Sejuani,Wukong,Vi,12.15,Tarzan,Karsa,,,,
Renekton,Nocturne,Lissandra,Taliyah,12.15,Doinb,RooKie,,,,
Sylas,Jax,Zeri,Lucian,12.15,Light,Photic,,,,
Kennen,Akali,Yuumi,Nami,12.15,LvMao,Ppgod,,,,
,,,,,,,LNG Esports,Victory Five,blue_side,red_side
Kalista,Poppy,Kennen,Ornn,12.15,Breathe,Flandre,,,,
Sylas,Nautilus,Wukong,Vi,12.15,Wei,Jiejie,,,,
Draven,Lucian,Galio,Azir,12.15,xiaohu,Scout,,,,
LeBlanc,Sejuani,Sivir,Zeri,12.15,GALA,Viper,,,,
Ahri,Lissandra,Lulu,Yuumi,12.15,Ming,meiko,,,,
,,,,,,,Royal Never Give Up,Edward Gaming,red_side,blue_side
Kalista,Poppy,Gwen,Renekton,12.15,Breathe,Flandre,,,,
Yuumi,Nautilus,Viego,Vi,12.15,Wei,Jiejie,,,,
Draven,Wukong,Lissandra,Sylas,12.15,xiaohu,Scout,,,,
Ahri,Ornn,Lucian,Zeri,12.15,GALA,Viper,,,,
Azir,Sejuani,Nami,Lulu,12.15,Ming,meiko,,,,
,,,,,,,Royal Never Give Up,Edward Gaming,red_side,blue_side
Kalista,Poppy,Fiora,Vladimir,12.15,Breathe,Flandre,,,,
Yuumi,Nautilus,Vi,Trundle,12.15,Wei,Jiejie,,,,
Draven,Wukong,Taliyah,Sylas,12.15,xiaohu,Scout,,,,
Renekton,Galio,Lucian,Zeri,12.15,GALA,Viper,,,,
Azir,Ahri,Nami,Lulu,12.15,Ming,meiko,,,,
,,,,,,,Royal Never Give Up,Edward Gaming,blue_side,red_side
Fiora,Kalista,Sejuani,Ornn,12.15,Flandre,Breathe,,,,
Nautilus,Draven,Vi,Viego,12.15,Jiejie,Wei,,,,
Poppy,Yuumi,Azir,Vex,12.15,Scout,xiaohu,,,,
Lissandra,Renekton,Lucian,Zeri,12.15,Viper,GALA,,,,
Jax,Ahri,Nami,Leona,12.15,meiko,Ming,,,,
,,,,,,,Edward Gaming,Royal Never Give Up,blue_side,red_side
Azir,Poppy,Akali,Gwen,12.15,Ale,TheShy,,,,
Sylas,Kennen,Sejuani,Vi,12.15,Tarzan,SofM,,,,
Kalista,Zeri,Renekton,Lissandra,12.15,Doinb,Angel,,,,
Ahri,Fiora,Lucian,Aphelios,12.15,Light,huanfeng,,,,
Nautilus,Jax,Nami,Lulu,12.15,LvMao,ON,,,,
,,,,,,,LNG Esports,Weibo Gaming,blue_side,red_side
Azir,Poppy,Jax,Ornn,12.15,Ale,TheShy,,,,
Kalista,Zeri,Sejuani,Vi,12.15,Tarzan,SofM,,,,
Sylas,Kennen,Yone,Ahri,12.15,Doinb,Angel,,,,
Nautilus,Fiora,Lucian,Aphelios,12.15,Light,huanfeng,,,,
Renekton,Gwen,Nami,Lulu,12.15,LvMao,ON,,,,
,,,,,,,LNG Esports,Weibo Gaming,blue_side,red_side
Sejuani,Kalista,Renekton,Sion,12.15,TheShy,Ale,,,,
Fiora,Kennen,Wukong,Trundle,12.15,SofM,Tarzan,,,,
Poppy,Azir,Ahri,Akali,12.15,Angel,Doinb,,,,
Gwen,Rakan,Yasuo,Zeri,12.15,ON,Light,,,,
Jax,Pyke,Senna,Yuumi,12.15,huanfeng,LvMao,,,,
,,,,,,,Weibo Gaming,LNG Esports,blue_side,red_side
Kalista,Poppy,Gnar,Gwen,12.15,Ale,TheShy,,,,
Renekton,Sejuani,Trundle,Wukong,12.15,Tarzan,SofM,,,,
Kennen,Fiora,Akali,Azir,12.15,Doinb,Angel,,,,
Ahri,Jax,Zeri,Lucian,12.15,Light,huanfeng,,,,
Sylas,Camille,Yuumi,Nami,12.15,LvMao,ON,,,,
,,,,,,,LNG Esports,Weibo Gaming,blue_side,red_side
Gnar,Draven,Kennen,Gragas,12.15,Flandre,Summit,,,,
Aatrox,Poppy,Trundle,Wukong,12.15,JunJia,Clid,,,,
Taliyah,Azir,Sylas,Akali,12.15,Scout,Care,,,,
Yuumi,Vi,Kalista,Zeri,12.15,Viper,Lwx,,,,
Lulu,Renekton,Renata Glasc,Pyke,12.15,meiko,Hang,,,,
,,,,,,,Edward Gaming,Funplus Phoenix,blue_side,red_side
Draven,Poppy,Ornn,Renekton,12.15,Summit,Flandre,,,,
Azir,Wukong,Viego,Vi,12.15,Clid,JunJia,,,,
Kalista,Gnar,Sylas,Ahri,12.15,Care,Scout,,,,
LeBlanc,Xin Zhao,Zeri,Sivir,12.15,Lwx,Viper,,,,
