blue_bans,red_bans,blue_picks,red_picks,patch,blue_roster,red_roster,blue_side,red_side,winner,loser
Azir,Neeko,Tristana,Zoe,13.13,APA,Bolulu,,,,
Varus,Rell,Ashe,Ezreal,13.13,Yeon,Tactical,,,,
Jinx,Rakan,Milio,Karma,13.13,CoreJJ,Treatz,,,,
,,,,,,,Team Liquid,Immortals,blue_side,red_side
Rumble,Rakan,Renekton,KSante,13.13,Impact,Licorice,,,,
Tristana,Ivern,Sejuani,Kindred,13.13,Spica,River,,,,
LeBlanc,Poppy,Azir,Sylas,13.13,Vicla,Gori,,,,
Blitzcrank,Ashe,Xayah,Aphelios,13.13,Prince,Stixxay,,,,
Kennen,Jinx,Milio,Nautilus,13.13,Vulcan,Huhi,,,,
,,,,,,,FlyQuest,Golden Guardians,red_side,blue_side
Azir,Milio,Renekton,Jax,13.13,Fudge,Rich,,,,
Poppy,Kindred,Maokai,Sejuani,13.13,Blaber,Santorin,,,,
Illaoi,Ivern,Tristana,LeBlanc,13.13,EMENES,Jensen,,,,
Rakan,Ashe,Varus,Aphelios,13.13,Berserker,Tomo,,,,
Braum,Kaisa,Heimerdinger,Rell,13.13,Zven,Diamond,,,,
,,,,,,,Cloud9,Dignitas,blue_side,red_side
Poppy,Rakan,Renekton,Jayce,13.13,Hauntzer,Dhokla,,,,
Ivern,Jinx,Sejuani,Maokai,13.13,Bugi,Contractz,,,,
Azir,Tristana,LeBlanc,Kaisa,13.13,Insanity,Palafox,,,,
Milio,Ashe,Varus,Aphelios,13.13,WildTurtle,FBI,,,,
Rell,Braum,Alistar,Nautilus,13.13,Chime,IgNar,,,,
,,,,,,,TSM,NRG,blue_side,red_side
Renekton,Rakan,Fiora,KSante,13.13,Revenge,ssumday,,,,
Poppy,Milio,Ivern,Sejuani,13.13,Armao,Closer,,,,
Viego,Sylas,Tristana,Azir,13.13,jojopyun,Quid,,,,
Kaisa,Xayah,Aphelios,Jinx,13.13,UNF0RGIVEN,Doublelift,,,,
Varus,Gwen,Rell,Alistar,13.13,Eyla,Busio,,,,
,,,,,,,Evil Geniuses,100 Thieves,blue_side,red_side
Tristana,Neeko,Poppy,Renekton,13.13,solo,Hauntzer,,,,
LeBlanc,Ivern,Maokai,Nautilus,13.13,Kenvi,Bugi,,,,
Sejuani,Kindred,VelKoz,Yone,13.13,Bolulu,Insanity,,,,
Rakan,Aphelios,KogMaw,Jinx,13.13,Tactical,WildTurtle,,,,
Milio,Xayah,Braum,Lulu,13.13,Treatz,Chime,,,,
,,,,,,,Immortals,TSM,red_side,blue_side
Milio,KSante,Malphite,Rumble,13.13,Rich,Revenge,,,,
Kaisa,Sejuani,Poppy,Ivern,13.13,Santorin,Armao,,,,
Ahri,Jax,Tristana,Jayce,13.13,Jensen,jojopyun,,,,
Gwen,Maokai,Ziggs,Xayah,13.13,Tomo,UNF0RGIVEN,,,,
Varus,Azir,Nautilus,Rell,13.13,Diamond,Eyla,,,,
,,,,,,,Dignitas,Evil Geniuses,red_side,blue_side
Milio,Tristana,KSante,Renekton,13.13,Licorice,Fudge,,,,
Rakan,Rumble,Jarvan IV,Viego,13.13,River,Blaber,,,,
Kindred,Ivern,LeBlanc,Annie,13.13,Gori,EMENES,,,,
Renata Glasc,Alistar,Aphelios,Draven,13.13,Stixxay,Berserker,,,,
Rell,Poppy,Braum,Soraka,13.13,Huhi,Zven,,,,
,,,,,,,Golden Guardians,Cloud9,blue_side,red_side
Milio,Xayah,Malphite,Renekton,13.13,ssumday,Impact,,,,
Sejuani,LeBlanc,Poppy,Maokai,13.13,Closer,Spica,,,,
Rakan,Ivern,Azir,Tristana,13.13,Quid,Vicla,,,,
Nautilus,KSante,Varus,Aphelios,13.13,Doublelift,Prince,,,,
Sylas,Heimerdinger,Rell,Alistar,13.13,Busio,Vulcan,,,,
,,,,,,,100 Thieves,FlyQuest,blue_side,red_side
Kennen,Tristana,KSante,Fiora,13.13,Dhokla,Summit,,,,
Kindred,Renekton,Poppy,Sejuani,13.13,Contractz,Pyosik,,,,
LeBlanc,Ivern,Azir,Akali,13.13,Palafox,Haeri,,,,
Blitzcrank,Ashe,Jinx,Aphelios,13.13,FBI,Yeon,,,,
Jax,Varus,Milio,Rakan,13.13,IgNar,CoreJJ,,,,
,,,,,,,NRG,Team Liquid,blue_side,red_side
Tristana,Neeko,KSante,Renekton,13.12,solo,Impact,,,,
Rakan,Kindred,Sejuani,Ivern,13.12,Kenvi,Spica,,,,
LeBlanc,Milio,Ahri,Azir,13.12,Bolulu,Vicla,,,,
Varus,Jinx,Xayah,Aphelios,13.12,Tactical,Prince,,,,
Braum,Kaisa,Rell,Alistar,13.12,Treatz,Vulcan,,,,
,,,,,,,Immortals,FlyQuest,red_side,blue_side
Rakan,Neeko,KSante,Renekton,13.12,ssumday,Hauntzer,,,,
Vi,LeBlanc,Maokai,Viego,13.12,Closer,Bugi,,,,
Malphite,Azir,Jayce,Annie,13.12,Quid,Ruby,,,,
Nautilus,Jinx,Varus,Kaisa,13.12,Doublelift,WildTurtle,,,,
Rell,Milio,Renata Glasc,Blitzcrank,13.12,Busio,Chime,,,,
,,,,,,,100 Thieves,TSM,blue_side,red_side
Ivern,LeBlanc,Illaoi,KSante,13.12,Rich,Dhokla,,,,
Kaisa,Azir,Sejuani,Sion,13.12,Santorin,Contractz,,,,
Vi,Neeko,Orianna,Syndra,13.12,Jensen,Palafox,,,,
Kindred,Gwen,Xayah,Aphelios,13.12,Tomo,FBI,,,,
Rell,Jax,Rakan,Blitzcrank,13.12,Diamond,IgNar,,,,
,,,,,,,Dignitas,NRG,blue_side,red_side
Azir,Kennen,KSante,Poppy,13.12,Summit,Licorice,,,,
Tristana,LeBlanc,Vi,Viego,13.12,Pyosik,River,,,,
Kindred,Neeko,Ahri,Annie,13.12,Haeri,Gori,,,,
Rumble,Jax,Varus,Aphelios,13.12,Yeon,Stixxay,,,,
Renekton,Rakan,Renata Glasc,Rell,13.12,CoreJJ,Huhi,,,,
,,,,,,,Team Liquid,Golden Guardians,red_side,blue_side
Blitzcrank,Maokai,KSante,Renekton,13.12,Fudge,Revenge,,,,
Vi,Kennen,Kindred,Sejuani,13.12,Blaber,Armao,,,,
LeBlanc,Neeko,Ahri,Jayce,13.12,EMENES,jojopyun,,,,
Azir,Aphelios,Ashe,Varus,13.12,Berserker,UNF0RGIVEN,,,,
Tristana,Xayah,Milio,Janna,13.12,Zven,Eyla,,,,
,,,,,,,Cloud9,Evil Geniuses,blue_side,red_side
Tristana,Neeko,Renekton,Rumble,13.12,ssumday,Licorice,,,,
Vi,LeBlanc,Maokai,Sejuani,13.12,Closer,River,,,,
Kindred,KSante,Azir,Yone,13.12,Quid,Gori,,,,
Jax,Kaisa,Xayah,Aphelios,13.12,Doublelift,Stixxay,,,,
Kennen,Jinx,Milio,Rakan,13.12,Busio,Huhi,,,,
,,,,,,,100 Thieves,Golden Guardians,red_side,blue_side
Kindred,Neeko,Renekton,Ornn,13.12,Revenge,solo,,,,
Vi,LeBlanc,Sejuani,Viego,13.12,Armao,Kenvi,,,,
Blitzcrank,Milio,Sylas,Annie,13.12,jojopyun,Bolulu,,,,
Rell,Ahri,Aphelios,Jinx,13.12,UNF0RGIVEN,Tactical,,,,
Varus,Azir,Rakan,Braum,13.12,Eyla,Treatz,,,,
,,,,,,,Evil Geniuses,Immortals,blue_side,red_side
Malphite,Neeko,KSante,Renekton,13.12,Rich,Hauntzer,,,,
Rakan,LeBlanc,Poppy,Sejuani,13.12,Santorin,Bugi,,,,
Vi,Ivern,Azir,Syndra,13.12,Jensen,Ruby,,,,
Varus,Viego,Kaisa,Jinx,13.12,Tomo,WildTurtle,,,,
Xayah,Trundle,Nautilus,Braum,13.12,Diamond,Chime,,,,
,,,,,,,Dignitas,TSM,blue_side,red_side
Jayce,Kennen,Ornn,Renekton,13.12,Summit,Fudge,,,,
Kindred,Neeko,Wukong,Vi,13.12,Pyosik,Blaber,,,,
Kaisa,Annie,LeBlanc,Zeri,13.12,Haeri,EMENES,,,,
Ahri,Milio,Aphelios,Xayah,13.12,Yeon,Berserker,,,,
Syndra,Jax,Renata Glasc,Rakan,13.12,CoreJJ,Zven,,,,
,,,,,,,Team Liquid,Cloud9,blue_side,red_side
Rakan,Neeko,Jayce,Renekton,13.12,Dhokla,Impact,,,,
Maokai,Ivern,Wukong,Sejuani,13.12,Contractz,Spica,,,,
Vi,Kaisa,LeBlanc,Tristana,13.12,Palafox,Vicla,,,,
Ezreal,Kennen,Varus,Aphelios,13.12,FBI,Prince,,,,
Alistar,KSante,Rell,Braum,13.12,IgNar,Vulcan,,,,
,,,,,,,NRG,FlyQuest,red_side,blue_side
Kindred,Neeko,Gnar,KSante,13.12,Fudge,solo,,,,
Xayah,LeBlanc,Vi,Viego,13.12,Blaber,Kenvi,,,,
Milio,Maokai,Annie,Ahri,13.12,EMENES,Bolulu,,,,
Renekton,Jax,Kaisa,Aphelios,13.12,Berserker,Tactical,,,,
Rumble,Rakan,Rell,Alistar,13.12,Zven,Treatz,,,,
,,,,,,,Cloud9,Immortals,blue_side,red_side
Vi,LeBlanc,KSante,Renekton,13.12,ssumday,Rich,,,,
Jax,Neeko,Sejuani,Maokai,13.12,Closer,Santorin,,,,
Syndra,Wukong,Azir,Jayce,13.12,Quid,Jensen,,,,
Rell,Rakan,Xayah,Varus,13.12,Doublelift,Tomo,,,,
Milio,Braum,Nautilus,Leona,13.12,Busio,Diamond,,,,
,,,,,,,100 Thieves,Dignitas,blue_side,red_side
Kindred,Neeko,Renekton,Jax,13.12,Dhokla,Licorice,,,,
Milio,LeBlanc,Ivern,Maokai,13.12,Contractz,River,,,,
Wukong,Vi,Jayce,Azir,13.12,Palafox,Gori,,,,
Alistar,Sejuani,Kaisa,Tristana,13.12,FBI,Stixxay,,,,
Rakan,Poppy,Rell,Nautilus,13.12,IgNar,Huhi,,,,
,,,,,,,NRG,Golden Guardians,blue_side,red_side
Kennen,Azir,Poppy,Renekton,13.12,Impact,Summit,,,,
Kindred,Neeko,Sejuani,Vi,13.12,Spica,Pyosik,,,,
