blue_bans,red_bans,blue_picks,red_picks,patch,blue_roster,red_roster,blue_side,red_side,winner,loser
Azir,Akali,Ezreal,Senna,10.16,Carzzy,Perkz,,,,
Hecarim,Leona,Shen,Nautilus,10.16,Kaiser,Mikyx,,,,
,,,,,,,MAD Lions,G2 Esports,red_side,blue_side
Twisted Fate,Lux,Camille,Shen,10.16,Orome,Wunder,,,,
Nautilus,Caitlyn,Lillia,Lee Sin,10.16,Shad0w,Jankos,,,,
Sett,Kalista,Galio,Syndra,10.16,Humanoid,Caps,,,,
Hecarim,Gangplank,Ashe,Ezreal,10.16,Carzzy,Perkz,,,,
KhaZix,Renekton,Lulu,Yuumi,10.16,Kaiser,Mikyx,,,,
,,,,,,,MAD Lions,G2 Esports,blue_side,red_side
Lux,Caitlyn,Neeko,Shen,10.16,Wunder,Orome,,,,
Ezreal,Kalista,Sett,Hecarim,10.16,Jankos,Shad0w,,,,
Lillia,Nautilus,Zoe,Twisted Fate,10.16,Caps,Humanoid,,,,
Lee Sin,Gangplank,Senna,Ashe,10.16,Perkz,Carzzy,,,,
Akali,LeBlanc,Braum,Thresh,10.16,Mikyx,Kaiser,,,,
,,,,,,,G2 Esports,MAD Lions,blue_side,red_side
Akali,Caitlyn,Volibear,Renekton,10.16,JNX,Odoamne,,,,
Shen,Thresh,Lillia,Hecarim,10.16,Trick,Gilius,,,,
Camille,Sett,Ziggs,Orianna,10.16,ZaZee,Abbedagge,,,,
Zoe,Gangplank,Jinx,Senna,10.16,Crownie,Neon,,,,
LeBlanc,Sion,Morgana,Nautilus,10.16,Limit,Dreams,,,,
,,,,,,,SK Gaming,FC Schalke 04,red_side,blue_side
Akali,Thresh,Gangplank,Sion,10.16,JNX,Odoamne,,,,
Camille,Caitlyn,Lee Sin,Hecarim,10.16,Trick,Gilius,,,,
Shen,Sett,Syndra,Orianna,10.16,ZaZee,Abbedagge,,,,
Vladimir,Skarner,Ezreal,Senna,10.16,Crownie,Neon,,,,
Azir,Sejuani,Yuumi,Nautilus,10.16,Limit,Dreams,,,,
,,,,,,,SK Gaming,FC Schalke 04,red_side,blue_side
Sett,Hecarim,Vladimir,Shen,10.16,Odoamne,JNX,,,,
Thresh,Gangplank,KhaZix,Volibear,10.16,Gilius,Trick,,,,
Yuumi,Caitlyn,Azir,Ziggs,10.16,Abbedagge,ZaZee,,,,
Orianna,Lee Sin,Senna,KogMaw,10.16,Neon,Crownie,,,,
Syndra,Camille,Nautilus,Morgana,10.16,Dreams,Limit,,,,
,,,,,,,FC Schalke 04,SK Gaming,blue_side,red_side
