blue_bans,red_bans,blue_picks,red_picks,patch,blue_roster,red_roster,blue_side,red_side,winner,loser
Lee Sin,Annie,Wukong,Xin Zhao,13.5,Spica,Closer,,,,
Rakan,Vi,Veigar,Zilean,13.5,Vicla,Bjergsen,,,,
Lissandra,Zeri,Lucian,Jinx,13.5,Prince,Doublelift,,,,
Gwen,Caitlyn,Nami,Thresh,13.5,Eyla,Busio,,,,
,,,,,,,FlyQuest,100 Thieves,blue_side,red_side
Lee Sin,Elise,KSante,Sion,13.5,Impact,Tenacity,,,,
Viego,Annie,Wukong,Xin Zhao,13.5,Spica,Closer,,,,
Rakan,Vi,Taliyah,Orianna,13.5,Vicla,Bjergsen,,,,
Lissandra,Akali,Zeri,Jinx,13.5,Prince,Doublelift,,,,
Veigar,Ahri,Lulu,Thresh,13.5,Eyla,Busio,,,,
,,,,,,,FlyQuest,100 Thieves,blue_side,red_side
Elise,Viego,Gragas,Renekton,13.5,Tenacity,Impact,,,,
Vi,Rakan,Wukong,Maokai,13.5,Closer,Spica,,,,
Annie,Lee Sin,Ahri,Veigar,13.5,Bjergsen,Vicla,,,,
Akali,Syndra,Jinx,Zeri,13.5,Doublelift,Prince,,,,
Taliyah,Sion,Thresh,Lulu,13.5,Busio,Eyla,,,,
,,,,,,,100 Thieves,FlyQuest,red_side,blue_side
