blue_bans,red_bans,blue_picks,red_picks,patch,blue_roster,red_roster,blue_side,red_side,winner,loser
,,,,,,,Team WE,TT,red_side,blue_side
Gwen,Tahm Kench,Sion,Jayce,12.4,369,Cube,,,,
Graves,Thresh,Viego,Volibear,12.4,Kanavi,Leyan,,,,
Ryze,Hecarim,Veigar,Ahri,12.4,Yagao,Strive,,,,
Nautilus,LeBlanc,Zeri,Tristana,12.4,Hope,iBOY,,,,
Tryndamere,Malphite,Alistar,Lulu,12.4,Missing,yuyanjia,,,,
,,,,,,,JD Gaming,Rare Atom,blue_side,red_side
Gwen,Lee Sin,Kennen,Sion,12.4,369,Cube,,,,
Graves,Viego,Xin Zhao,Hecarim,12.4,Kanavi,Leyan,,,,
Ryze,Zeri,Ahri,LeBlanc,12.4,Yagao,Strive,,,,
Orianna,Trundle,Jinx,Kaisa,12.4,Hope,iBOY,,,,
Jayce,Volibear,Tahm Kench,Nautilus,12.4,Missing,yuyanjia,,,,
,,,,,,,JD Gaming,Rare Atom,blue_side,red_side
LeBlanc,Rakan,Gwen,Graves,12.4,Wayward,Zdz,,,,
Jayce,Tryndamere,Hecarim,Viego,12.4,Tian,Xiaohao,,,,
Zeri,Jinx,Ahri,Vex,12.4,Knight,Forge,,,,
Akali,Xin Zhao,Draven,Aphelios,12.4,JackeyLove,Betty,,,,
Ryze,Lee Sin,Nautilus,Sett,12.4,Mark,Qiuqiu,,,,
,,,,,,,Top Esports,Anyone s Legend,blue_side,red_side
Draven,Zeri,Camille,Jax,12.4,Zdz,Wayward,,,,
Tryndamere,LeBlanc,Viego,Xin Zhao,12.4,Xiaohao,Tian,,,,
Renata Glasc,Lee Sin,Ryze,Ahri,12.4,Forge,Knight,,,,
Gwen,Graves,Jinx,Aphelios,12.4,Betty,JackeyLove,,,,
Thresh,Tahm Kench,Leona,Nautilus,12.4,Qiuqiu,Mark,,,,
,,,,,,,Anyone s Legend,Top Esports,red_side,blue_side
Karma,Graves,Gnar,Jayce,12.4,Flandre,Ale,,,,
Galio,Zeri,Jarvan IV,Volibear,12.4,Jiejie,Tarzan,,,,
Twisted Fate,Hecarim,Ryze,Corki,12.4,Scout,Doinb,,,,
Orianna,Lee Sin,Aphelios,Jinx,12.4,Viper,Light,,,,
Thresh,Viego,Rakan,Tahm Kench,12.4,meiko,Iwandy,,,,
,,,,,,,Edward Gaming,LNG Esports,red_side,blue_side
Graves,Karma,Jayce,Tryndamere,12.4,Ale,Flandre,,,,
Lee Sin,Camille,Volibear,Hecarim,12.4,Tarzan,Jiejie,,,,
Gnar,Gwen,Corki,Ryze,12.4,Doinb,Scout,,,,
Malphite,Galio,Zeri,Jinx,12.4,Light,Viper,,,,
Gragas,Twisted Fate,Leona,Renata Glasc,12.4,Iwandy,meiko,,,,
,,,,,,,LNG Esports,Edward Gaming,blue_side,red_side
Nidalee,Zeri,Gwen,Jax,12.4,Xiaolaohu,Zika,,,,
Ryze,Caitlyn,Xin Zhao,Volibear,12.4,Clid,XUN,,,,
Hecarim,Jayce,Vex,Ahri,12.4,Care,Yuekai,,,,
Viego,Rakan,Aphelios,Jinx,12.4,Lwx,Wink,,,,
LeBlanc,Sylas,Thresh,Tahm Kench,12.4,Hang,XinLiu,,,,
,,,,,,,Funplus Phoenix,Invictus Gaming,blue_side,red_side
Jayce,Nidalee,Gnar,Fiora,12.4,Zika,Xiaolaohu,,,,
Xin Zhao,Gwen,Diana,Viego,12.4,XUN,Clid,,,,
Lee Sin,Hecarim,Ryze,Galio,12.4,Yuekai,Care,,,,
Camille,Kindred,Zeri,Jinx,12.4,Wink,Lwx,,,,
Graves,Volibear,Leona,Alistar,12.4,XinLiu,Hang,,,,
,,,,,,,Invictus Gaming,Funplus Phoenix,red_side,blue_side
Ryze,Viego,Akali,Gwen,12.4,Breathe,Aliez,,,,
Twisted Fate,Zeri,Xin Zhao,Lee Sin,12.4,WeiWei,H4cker,,,,
Kennen,Renata Glasc,Azir,LeBlanc,12.4,FoFo,Cryin,,,,
Rakan,Jayce,Jinx,Aphelios,12.4,Uzi,Elk,,,,
Thresh,Galio,Tahm Kench,Nautilus,12.4,Crisp,ShiauC,,,,
,,,,,,,Bilibili Gaming,Ultra Prime,red_side,blue_side
Ryze,Viego,Gwen,Gnar,12.4,Breathe,Aliez,,,,
Twisted Fate,Zeri,Poppy,Lee Sin,12.4,WeiWei,H4cker,,,,
Kennen,Renata Glasc,Azir,LeBlanc,12.4,FoFo,Cryin,,,,
Jayce,Volibear,Jinx,Aphelios,12.4,Uzi,Elk,,,,
Thresh,Hecarim,Tahm Kench,Rakan,12.4,Crisp,ShiauC,,,,
,,,,,,,Bilibili Gaming,Ultra Prime,blue_side,red_side
Ryze,Viego,Jayce,Malphite,12.4,Breathe,Aliez,,,,
Twisted Fate,Zeri,Volibear,Xin Zhao,12.4,WeiWei,H4cker,,,,
LeBlanc,Gwen,Viktor,Orianna,12.4,FoFo,Cryin,,,,
Kennen,Camille,Jinx,Aphelios,12.4,Uzi,Elk,,,,
Syndra,Azir,Renata Glasc,Thresh,12.4,Crisp,ShiauC,,,,
,,,,,,,Bilibili Gaming,Ultra Prime,blue_side,red_side
Orianna,Zeri,Ryze,Gwen,12.4,New,Rich,,,,
Jayce,Hecarim,Lee Sin,RekSai,12.4,Chieftain,XLB,,,,
Galio,Thresh,Lissandra,Ahri,12.4,Ucal,RooKie,,,,
Gnar,Lulu,Aphelios,Jinx,12.4,Puff,Photic,,,,
Kennen,Camille,Nautilus,Tahm Kench,12.4,Southwind,Ppgod,,,,
,,,,,,,TT,Victory Five,red_side,blue_side
Tryndamere,Jayce,Graves,Gwen,12.4,Rich,New,,,,
Thresh,Ahri,Hecarim,Lee Sin,12.4,XLB,Chieftain,,,,
Tahm Kench,LeBlanc,Orianna,Ryze,12.4,RooKie,Ucal,,,,
Renata Glasc,Kennen,Zeri,Jinx,12.4,Photic,Puff,,,,
Lulu,Gnar,Nautilus,Alistar,12.4,Ppgod,Southwind,,,,
,,,,,,,Victory Five,TT,blue_side,red_side
LeBlanc,Gwen,Irelia,Gnar,12.4,Bin,Biubiu,,,,
Xin Zhao,Ryze,Hecarim,Volibear,12.4,Wei,beishang,,,,
Jinx,Zeri,Vex,Ahri,12.4,xiaohu,xiye,,,,
Galio,Nautilus,Aphelios,Xayah,12.4,GALA,Xing,,,,
Jayce,Leona,Tahm Kench,Rakan,12.4,Ming,Kedaya,,,,
,,,,,,,Royal Never Give Up,Team WE,red_side,blue_side
LeBlanc,Gwen,Gnar,Tryndamere,12.4,Bin,Biubiu,,,,
Ahri,Zeri,Xin Zhao,Volibear,12.4,Wei,beishang,,,,
Jayce,Ryze,Orianna,Syndra,12.4,xiaohu,xiye,,,,
Irelia,Nautilus,Jinx,Aphelios,12.4,GALA,Xing,,,,
Camille,Leona,Tahm Kench,Rakan,12.4,Ming,Kedaya,,,,
