blue_bans,red_bans,blue_picks,red_picks,patch,blue_roster,red_roster,blue_side,red_side,winner,loser
Trundle,Seraphine,Renekton,Sett,12.15,Dhokla,Bwipo,,,,
Draven,Kalista,Poppy,Sejuani,12.15,Contractz,Santorin,,,,
Nautilus,Wukong,Taliyah,Sylas,12.15,Palafox,Bjergsen,,,,
Olaf,Yone,Sivir,Zeri,12.15,Luger,Hans Sama,,,,
Aatrox,Azir,Lulu,Yuumi,12.15,Poome,CoreJJ,,,,
,,,,,,,CLG,Team Liquid,blue_side,red_side
Yone,Trundle,Ornn,Renekton,12.15,Bwipo,Dhokla,,,,
Wukong,Kalista,Vi,Xin Zhao,12.15,Santorin,Contractz,,,,
Seraphine,Draven,Azir,Akali,12.15,Bjergsen,Palafox,,,,
Aatrox,Zilean,Sivir,Zeri,12.15,Hans Sama,Luger,,,,
Taliyah,Olaf,Lulu,Yuumi,12.15,CoreJJ,Poome,,,,
,,,,,,,Team Liquid,CLG,blue_side,red_side
Jarvan IV,Seraphine,Camille,Ornn,12.15,Dhokla,Bwipo,,,,
Aatrox,Sivir,Wukong,Trundle,12.15,Contractz,Santorin,,,,
Draven,Kalista,Azir,Ahri,12.15,Palafox,Bjergsen,,,,
Nautilus,Yone,Zeri,Jinx,12.15,Luger,Hans Sama,,,,
Zilean,Sylas,Yuumi,Janna,12.15,Poome,CoreJJ,,,,
,,,,,,,CLG,Team Liquid,red_side,blue_side
Draven,Seraphine,Yone,Aatrox,12.15,Dhokla,Bwipo,,,,
Trundle,Kalista,Poppy,Sejuani,12.15,Contractz,Santorin,,,,
Ornn,Sivir,Akali,Zilean,12.15,Palafox,Bjergsen,,,,
Olaf,LeBlanc,Zeri,Jinx,12.15,Luger,Hans Sama,,,,
Renekton,Sylas,Renata Glasc,Lulu,12.15,Poome,CoreJJ,,,,
,,,,,,,CLG,Team Liquid,red_side,blue_side
Kalista,Ahri,Ornn,Camille,12.15,Impact,Fudge,,,,
Trundle,Wukong,Hecarim,Sejuani,12.15,Inspired,Blaber,,,,
Twitch,Sylas,Azir,Orianna,12.15,jojopyun,Jensen,,,,
Jarvan IV,Vi,Sivir,Zeri,12.15,Danny,Berserker,,,,
Zilean,Poppy,Yuumi,Lulu,12.15,Vulcan,Zven,,,,
,,,,,,,Evil Geniuses,Cloud9,red_side,blue_side
Vi,Kalista,Fiora,Aatrox,12.15,Fudge,Impact,,,,
Sylas,Sivir,Wukong,Sejuani,12.15,Blaber,Inspired,,,,
Seraphine,Zeri,LeBlanc,Lissandra,12.15,Jensen,jojopyun,,,,
Renekton,Ornn,Aphelios,Ezreal,12.15,Berserker,Danny,,,,
Azir,Kennen,Renata Glasc,Yuumi,12.15,Zven,Vulcan,,,,
,,,,,,,Cloud9,Evil Geniuses,blue_side,red_side
Vi,Kalista,Sion,Renekton,12.15,Fudge,Impact,,,,
Sylas,Yuumi,Trundle,Sejuani,12.15,Blaber,Inspired,,,,
Wukong,Lulu,LeBlanc,Azir,12.15,Jensen,jojopyun,,,,
Yone,Ornn,Zeri,Seraphine,12.15,Berserker,Danny,,,,
Nautilus,Fiora,Renata Glasc,Senna,12.15,Zven,Vulcan,,,,
,,,,,,,Cloud9,Evil Geniuses,red_side,blue_side
Sylas,Kalista,Sejuani,Jax,12.15,Fudge,Impact,,,,
Seraphine,Yuumi,Olaf,Wukong,12.15,Blaber,Inspired,,,,
Vi,Lulu,Zilean,Ahri,12.15,Jensen,jojopyun,,,,
Nautilus,LeBlanc,Zeri,Sivir,12.15,Berserker,Danny,,,,
Renekton,Azir,Renata Glasc,Alistar,12.15,Zven,Vulcan,,,,
,,,,,,,Cloud9,Evil Geniuses,blue_side,red_side
Trundle,Lucian,Aatrox,Urgot,12.15,ssumday,Bwipo,,,,
Draven,Aphelios,Vi,Poppy,12.15,Closer,Santorin,,,,
Azir,Ornn,Ahri,Sylas,12.15,Abbedagge,Bjergsen,,,,
Swain,Amumu,Kalista,Zeri,12.15,FBI,Hans Sama,,,,
Lissandra,Nautilus,Lulu,Renata Glasc,12.15,Huhi,CoreJJ,,,,
,,,,,,,100 Thieves,Team Liquid,blue_side,red_side
Aphelios,Trundle,Olaf,Aatrox,12.15,Bwipo,ssumday,,,,
Lucian,Kalista,Xin Zhao,Wukong,12.15,Santorin,Closer,,,,
Sivir,Azir,Ahri,Sylas,12.15,Bjergsen,Abbedagge,,,,
Lissandra,Vi,Zeri,Seraphine,12.15,Hans Sama,Huhi,,,,
Swain,Jarvan IV,Yuumi,Senna,12.15,CoreJJ,FBI,,,,
,,,,,,,Team Liquid,100 Thieves,red_side,blue_side
