champion,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Gangplank,57,28,293,356,356,49.12,1.82,5.14,6.25,6.25,2025-05-09 16:08:30
Gragas,137,66,634,645,973,48.18,2.49,4.63,4.71,7.1,2025-05-09 16:08:30
Kayle,92,51,524,446,448,55.43,2.18,5.7,4.85,4.87,2025-05-09 16:08:30
Warwick,27,14,153,187,191,51.85,1.84,5.67,6.93,7.07,2025-05-09 16:08:30
Jayce,398,198,2196,2235,2236,49.75,1.98,5.52,5.62,5.62,2025-05-09 16:08:30
Malphite,57,25,173,288,389,43.86,1.95,3.04,5.05,6.82,2025-05-09 16:08:30
Sett,58,24,273,334,288,41.38,1.68,4.71,5.76,4.97,2025-05-09 16:08:30
KSante,71,32,321,322,433,45.07,2.34,4.52,4.54,6.1,2025-05-09 16:08:30
Chogath,46,18,255,239,316,39.13,2.39,5.54,5.2,6.87,2025-05-09 16:08:30
Qiyana,128,65,866,610,753,50.78,2.65,6.77,4.77,5.88,2025-05-09 16:08:30
Dr. Mundo,58,24,233,278,384,41.38,2.22,4.02,4.79,6.62,2025-05-09 16:08:30
Udyr,104,47,524,470,750,45.19,2.71,5.04,4.52,7.21,2025-05-09 16:08:30
Pantheon,283,133,2221,1520,2289,47.0,2.97,7.85,5.37,8.09,2025-05-09 16:08:30
Kayn,170,89,1407,953,1206,52.35,2.74,8.28,5.61,7.09,2025-05-09 16:08:30
Talon,242,110,2096,1364,1553,45.45,2.68,8.66,5.64,6.42,2025-05-09 16:08:30
Karthus,132,59,1100,1095,1202,44.7,2.1,8.33,8.3,9.11,2025-05-09 16:08:30
Belveth,46,18,361,200,301,39.13,3.31,7.85,4.35,6.54,2025-05-09 16:08:30
Nautilus,270,136,493,1681,3651,50.37,2.47,1.83,6.23,13.52,2025-05-09 16:08:30
Milio,91,35,57,357,1225,38.46,3.59,0.63,3.92,13.46,2025-05-09 16:08:30
Yuumi,62,27,63,214,881,43.55,4.41,1.02,3.45,14.21,2025-05-09 16:08:30
Rakan,191,87,246,913,2721,45.55,3.25,1.29,4.78,14.25,2025-05-09 16:08:30
Janna,148,72,225,656,2048,48.65,3.46,1.52,4.43,13.84,2025-05-09 16:08:30
Pyke,149,65,836,1057,1399,43.62,2.11,5.61,7.09,9.39,2025-05-09 16:08:30
Zilean,79,38,196,329,901,48.1,3.33,2.48,4.16,11.41,2025-05-09 16:08:30
Rell,200,99,378,1119,3046,49.5,3.06,1.89,5.59,15.23,2025-05-09 16:08:30
Alistar,273,139,437,1539,4170,50.92,2.99,1.6,5.64,15.27,2025-05-09 16:08:30
Morgana,67,28,181,274,665,41.79,3.09,2.7,4.09,9.93,2025-05-09 16:08:30
Sona,223,114,482,1237,3086,51.12,2.88,2.16,5.55,13.84,2025-05-09 16:08:30
Hwei,219,111,1019,1150,1709,50.68,2.37,4.65,5.25,7.8,2025-05-09 16:08:30
Galio,121,51,429,631,1105,42.15,2.43,3.55,5.21,9.13,2025-05-09 16:08:30
Lissandra,52,28,266,233,471,53.85,3.16,5.12,4.48,9.06,2025-05-09 16:08:30
Lillia,237,132,1520,1038,2028,55.7,3.42,6.41,4.38,8.56,2025-05-09 16:08:30
Garen,79,35,373,405,255,44.3,1.55,4.72,5.13,3.23,2025-05-09 16:08:30
Nasus,63,25,272,303,340,39.68,2.02,4.32,4.81,5.4,2025-05-09 16:08:30
Ivern,124,66,437,437,1584,53.23,4.62,3.52,3.52,12.77,2025-05-09 16:08:30
Yasuo,321,172,1658,1976,1669,53.58,1.68,5.17,6.16,5.2,2025-05-09 16:08:30
Akshan,63,33,443,350,325,52.38,2.19,7.03,5.56,5.16,2025-05-09 16:08:30
LeBlanc,67,29,471,302,447,43.28,3.04,7.03,4.51,6.67,2025-05-09 16:08:30
Quinn,78,45,649,556,532,57.69,2.12,8.32,7.13,6.82,2025-05-09 16:08:30
Vladimir,111,55,645,514,561,49.55,2.35,5.81,4.63,5.05,2025-05-09 16:08:30
Renekton,169,85,816,794,896,50.3,2.16,4.83,4.7,5.3,2025-05-09 16:08:30
Nilah,61,29,437,359,347,47.54,2.18,7.16,5.89,5.69,2025-05-09 16:08:30
Ornn,55,25,159,259,428,45.45,2.27,2.89,4.71,7.78,2025-05-09 16:08:30
Sion,154,72,570,801,1144,46.75,2.14,3.7,5.2,7.43,2025-05-09 16:08:30
Rumble,140,71,644,676,936,50.71,2.34,4.6,4.83,6.69,2025-05-09 16:08:30
Urgot,155,80,848,854,574,51.61,1.67,5.47,5.51,3.7,2025-05-09 16:08:30
Teemo,99,57,521,540,612,57.58,2.1,5.26,5.45,6.18,2025-05-09 16:08:30
Aatrox,115,53,548,609,582,46.09,1.86,4.77,5.3,5.06,2025-05-09 16:08:30
Kindred,72,40,569,376,554,55.56,2.99,7.9,5.22,7.69,2025-05-09 16:08:30
Nocturne,88,55,569,422,769,62.5,3.17,6.47,4.8,8.74,2025-05-09 16:08:30
KhaZix,96,52,888,419,604,54.17,3.56,9.25,4.36,6.29,2025-05-09 16:08:30
Brand,40,14,214,276,283,35.0,1.8,5.35,6.9,7.08,2025-05-09 16:08:30
Diana,63,38,470,332,424,60.32,2.69,7.46,5.27,6.73,2025-05-09 16:08:30
Viego,271,105,2124,1389,1602,38.75,2.68,7.84,5.13,5.91,2025-05-09 16:08:30
Twisted Fate,74,28,341,412,643,37.84,2.39,4.61,5.57,8.69,2025-05-09 16:08:30
Fizz,14,4,109,99,73,28.57,1.84,7.79,7.07,5.21,2025-05-09 16:08:30
Lux,159,74,765,788,1475,46.54,2.84,4.81,4.96,9.28,2025-05-09 16:08:30
Zac,117,53,553,529,968,45.3,2.88,4.73,4.52,8.27,2025-05-09 16:08:30
Xerath,64,30,379,282,453,46.88,2.95,5.92,4.41,7.08,2025-05-09 16:08:30
Zoe,133,74,799,660,943,55.64,2.64,6.01,4.96,7.09,2025-05-09 16:08:30
Cassiopeia,54,31,329,297,335,57.41,2.24,6.09,5.5,6.2,2025-05-09 16:08:30
Vayne,67,32,404,371,275,47.76,1.83,6.03,5.54,4.1,2025-05-09 16:08:30
Senna,108,54,294,539,1364,50.0,3.08,2.72,4.99,12.63,2025-05-09 16:08:30
Swain,33,16,163,200,273,48.48,2.18,4.94,6.06,8.27,2025-05-09 16:08:30
Fiddlesticks,240,137,727,1377,3158,57.08,2.82,3.03,5.74,13.16,2025-05-09 16:08:30
Karma,319,161,562,1531,4360,50.47,3.21,1.76,4.8,13.67,2025-05-09 16:08:30
Gnar,72,34,269,391,359,47.22,1.61,3.74,5.43,4.99,2025-05-09 16:08:30
Seraphine,100,48,329,510,1226,48.0,3.05,3.29,5.1,12.26,2025-05-09 16:08:30
Lulu,171,91,216,807,2508,53.22,3.38,1.26,4.72,14.67,2025-05-09 16:08:30
Soraka,103,53,98,511,1374,51.46,2.88,0.95,4.96,13.34,2025-05-09 16:08:30
Tahm Kench,19,13,44,116,229,68.42,2.35,2.32,6.11,12.05,2025-05-09 16:08:30
Bard,215,113,617,1105,3078,52.56,3.34,2.87,5.14,14.32,2025-05-09 16:08:30
Neeko,449,228,1641,2407,4611,50.78,2.6,3.65,5.36,10.27,2025-05-09 16:08:30
Leona,157,87,317,963,2240,55.41,2.66,2.02,6.13,14.27,2025-05-09 16:08:30
Poppy,197,117,833,1032,2064,59.39,2.81,4.23,5.24,10.48,2025-05-09 16:08:30
Blitzcrank,78,39,150,438,1023,50.0,2.68,1.92,5.62,13.12,2025-05-09 16:08:30
Taric,19,7,27,101,235,36.84,2.59,1.42,5.32,12.37,2025-05-09 16:08:30
Thresh,107,61,195,592,1584,57.01,3.01,1.82,5.53,14.8,2025-05-09 16:08:30
Elise,142,79,937,901,1343,55.63,2.53,6.6,6.35,9.46,2025-05-09 16:08:30
Gwen,250,136,1678,1229,1368,54.4,2.48,6.71,4.92,5.47,2025-05-09 16:08:30
Xayah,95,39,533,567,576,41.05,1.96,5.61,5.97,6.06,2025-05-09 16:08:30
Zyra,121,67,468,604,1221,55.37,2.8,3.87,4.99,10.09,2025-05-09 16:08:30
Samira,11,5,76,37,30,45.45,2.86,6.91,3.36,2.73,2025-05-09 16:08:30
Nami,279,143,466,1376,4525,51.25,3.63,1.67,4.93,16.22,2025-05-09 16:08:30
Braum,123,61,112,702,1927,49.59,2.9,0.91,5.71,15.67,2025-05-09 16:08:30
Lee Sin,179,84,1370,963,1663,46.93,3.15,7.65,5.38,9.29,2025-05-09 16:08:30
Shaco,130,67,959,702,905,51.54,2.66,7.38,5.4,6.96,2025-05-09 16:08:30
Graves,55,29,408,275,341,52.73,2.72,7.42,5.0,6.2,2025-05-09 16:08:30
Master Yi,45,19,411,244,210,42.22,2.55,9.13,5.42,4.67,2025-05-09 16:08:30
Maokai,37,17,68,194,420,45.95,2.52,1.84,5.24,11.35,2025-05-09 16:08:30
Rammus,36,16,184,175,348,44.44,3.04,5.11,4.86,9.67,2025-05-09 16:08:30
Wukong,89,48,560,474,558,53.93,2.36,6.29,5.33,6.27,2025-05-09 16:08:30
Reksai,42,26,338,151,333,61.9,4.44,8.05,3.6,7.93,2025-05-09 16:08:30
Heimerdinger,19,7,71,107,83,36.84,1.44,3.74,5.63,4.37,2025-05-09 16:08:30
Skarner,90,37,363,416,815,41.11,2.83,4.03,4.62,9.06,2025-05-09 16:08:30
Anivia,39,21,150,217,295,53.85,2.05,3.85,5.56,7.56,2025-05-09 16:08:30
Trundle,22,8,88,125,127,36.36,1.72,4.0,5.68,5.77,2025-05-09 16:08:30
Kled,52,29,291,286,297,55.77,2.06,5.6,5.5,5.71,2025-05-09 16:08:30
Olaf,35,15,207,192,126,42.86,1.73,5.91,5.49,3.6,2025-05-09 16:08:30
Darius,74,33,373,393,278,44.59,1.66,5.04,5.31,3.76,2025-05-09 16:08:30
Kennen,49,28,285,255,317,57.14,2.36,5.82,5.2,6.47,2025-05-09 16:08:30
Aphelios,77,36,540,457,385,46.75,2.02,7.01,5.94,5.0,2025-05-09 16:08:30
Ziggs,37,15,230,182,297,40.54,2.9,6.22,4.92,8.03,2025-05-09 16:08:30
Evelynn,32,14,250,163,212,43.75,2.83,7.81,5.09,6.62,2025-05-09 16:08:30
Renata,33,15,42,203,498,45.45,2.66,1.27,6.15,15.09,2025-05-09 16:08:30
Malzahar,24,8,86,148,139,33.33,1.52,3.58,6.17,5.79,2025-05-09 16:08:30
Veigar,109,63,688,433,650,57.8,3.09,6.31,3.97,5.96,2025-05-09 16:08:30
Kassadin,36,12,243,152,187,33.33,2.83,6.75,4.22,5.19,2025-05-09 16:08:30
Tryndamere,61,36,301,340,250,59.02,1.62,4.93,5.57,4.1,2025-05-09 16:08:30
Singed,41,19,149,228,279,46.34,1.88,3.63,5.56,6.8,2025-05-09 16:08:30
Twitch,31,12,185,198,164,38.71,1.76,5.97,6.39,5.29,2025-05-09 16:08:30
Camille,87,33,511,563,546,37.93,1.88,5.87,6.47,6.28,2025-05-09 16:08:30
Amumu,11,5,29,79,91,45.45,1.52,2.64,7.18,8.27,2025-05-09 16:08:30
Kalista,83,39,536,573,555,46.99,1.9,6.46,6.9,6.69,2025-05-09 16:08:30
VelKoz,62,26,335,370,472,41.94,2.18,5.4,5.97,7.61,2025-05-09 16:08:30
Shyvana,6,4,26,33,28,66.67,1.64,4.33,5.5,4.67,2025-05-09 16:08:30
Briar,41,21,291,169,269,51.22,3.31,7.1,4.12,6.56,2025-05-09 16:08:30
Illaoi,3,0,5,15,9,0.0,0.93,1.67,5.0,3.0,2025-05-09 16:08:30
