champion,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Ahri,142,63,722,688,1094,44.37,2.64,5.08,4.85,7.7,2025-05-09 16:08:30
Ryze,153,89,834,705,986,58.17,2.58,5.45,4.61,6.44,2025-05-09 16:08:30
Akali,147,68,1035,779,702,46.26,2.23,7.04,5.3,4.78,2025-05-09 16:08:30
Kassadin,27,12,160,127,131,44.44,2.29,5.93,4.7,4.85,2025-05-09 16:08:30
Lillia,118,58,729,533,961,49.15,3.17,6.18,4.52,8.14,2025-05-09 16:08:30
Jarvan Iv,114,60,624,525,1346,52.63,3.75,5.47,4.61,11.81,2025-05-09 16:08:30
Dr. Mundo,79,40,363,354,476,50.63,2.37,4.59,4.48,6.03,2025-05-09 16:08:30
Olaf,21,11,105,111,83,52.38,1.69,5.0,5.29,3.95,2025-05-09 16:08:30
Viego,178,80,1425,953,1092,44.94,2.64,8.01,5.35,6.13,2025-05-09 16:08:30
Belveth,26,13,186,115,199,50.0,3.35,7.15,4.42,7.65,2025-05-09 16:08:30
Viktor,119,47,611,701,813,39.5,2.03,5.13,5.89,6.83,2025-05-09 16:08:30
Elise,50,26,357,335,478,52.0,2.49,7.14,6.7,9.56,2025-05-09 16:08:30
Nidalee,68,38,419,271,590,55.88,3.72,6.16,3.99,8.68,2025-05-09 16:08:30
Darius,130,63,885,644,671,48.46,2.42,6.81,4.95,5.16,2025-05-09 16:08:30
Graves,84,41,695,448,567,48.81,2.82,8.27,5.33,6.75,2025-05-09 16:08:30
Malphite,36,18,163,167,289,50.0,2.71,4.53,4.64,8.03,2025-05-09 16:08:30
Caitlyn,82,41,501,444,435,50.0,2.11,6.11,5.41,5.3,2025-05-09 16:08:30
Orianna,92,50,503,450,796,54.35,2.89,5.47,4.89,8.65,2025-05-09 16:08:30
Syndra,165,98,853,774,1093,59.39,2.51,5.17,4.69,6.62,2025-05-09 16:08:30
Aurelion Sol,89,50,471,393,714,56.18,3.02,5.29,4.42,8.02,2025-05-09 16:08:30
Mel,84,43,649,390,443,51.19,2.8,7.73,4.64,5.27,2025-05-09 16:08:30
Wukong,84,39,500,413,468,46.43,2.34,5.95,4.92,5.57,2025-05-09 16:08:30
Amumu,12,3,42,75,77,25.0,1.59,3.5,6.25,6.42,2025-05-09 16:08:30
Bard,132,71,368,695,1878,53.79,3.23,2.79,5.27,14.23,2025-05-09 16:08:30
Nocturne,43,16,201,240,330,37.21,2.21,4.67,5.58,7.67,2025-05-09 16:08:30
Poppy,132,67,466,686,1323,50.76,2.61,3.53,5.2,10.02,2025-05-09 16:08:30
Senna,94,59,255,447,1287,62.77,3.45,2.71,4.76,13.69,2025-05-09 16:08:30
Zac,75,42,303,298,655,56.0,3.21,4.04,3.97,8.73,2025-05-09 16:08:30
Ekko,116,56,825,556,674,48.28,2.7,7.11,4.79,5.81,2025-05-09 16:08:30
Rengar,49,30,419,234,348,61.22,3.28,8.55,4.78,7.1,2025-05-09 16:08:30
Chogath,101,53,570,459,576,52.48,2.5,5.64,4.54,5.7,2025-05-09 16:08:30
Lux,120,64,636,567,1051,53.33,2.98,5.3,4.72,8.76,2025-05-09 16:08:30
Evelynn,23,10,207,110,144,43.48,3.19,9.0,4.78,6.26,2025-05-09 16:08:30
Lulu,181,88,248,782,2465,48.62,3.47,1.37,4.32,13.62,2025-05-09 16:08:30
Hecarim,109,51,751,596,806,46.79,2.61,6.89,5.47,7.39,2025-05-09 16:08:30
Alistar,100,54,146,606,1493,54.0,2.7,1.46,6.06,14.93,2025-05-09 16:08:30
Neeko,131,63,578,693,1147,48.09,2.49,4.41,5.29,8.76,2025-05-09 16:08:30
Leona,84,35,150,525,995,41.67,2.18,1.79,6.25,11.85,2025-05-09 16:08:30
Ashe,98,49,473,558,796,50.0,2.27,4.83,5.69,8.12,2025-05-09 16:08:30
Jinx,106,51,573,565,625,48.11,2.12,5.41,5.33,5.9,2025-05-09 16:08:30
Ziggs,20,9,86,83,156,45.0,2.92,4.3,4.15,7.8,2025-05-09 16:08:30
Varus,157,78,1021,870,1043,49.68,2.37,6.5,5.54,6.64,2025-05-09 16:08:30
Tryndamere,49,24,248,198,182,48.98,2.17,5.06,4.04,3.71,2025-05-09 16:08:30
Sion,71,29,256,364,473,40.85,2.0,3.61,5.13,6.66,2025-05-09 16:08:30
Aphelios,100,53,714,546,506,53.0,2.23,7.14,5.46,5.06,2025-05-09 16:08:30
Braum,94,50,120,468,1438,53.19,3.33,1.28,4.98,15.3,2025-05-09 16:08:30
Hwei,75,32,381,357,564,42.67,2.65,5.08,4.76,7.52,2025-05-09 16:08:30
Galio,104,56,422,491,1001,53.85,2.9,4.06,4.72,9.62,2025-05-09 16:08:30
Rumble,82,45,512,422,575,54.88,2.58,6.24,5.15,7.01,2025-05-09 16:08:30
Renekton,88,38,424,462,375,43.18,1.73,4.82,5.25,4.26,2025-05-09 16:08:30
Singed,35,19,136,181,273,54.29,2.26,3.89,5.17,7.8,2025-05-09 16:08:30
Garen,80,40,480,436,359,50.0,1.92,6.0,5.45,4.49,2025-05-09 16:08:30
Shen,51,24,169,216,422,47.06,2.74,3.31,4.24,8.27,2025-05-09 16:08:30
Gragas,94,50,477,437,607,53.19,2.48,5.07,4.65,6.46,2025-05-09 16:08:30
Vayne,54,27,347,341,304,50.0,1.91,6.43,6.31,5.63,2025-05-09 16:08:30
Teemo,48,22,223,257,257,45.83,1.87,4.65,5.35,5.35,2025-05-09 16:08:30
Sett,60,30,300,344,377,50.0,1.97,5.0,5.73,6.28,2025-05-09 16:08:30
Xayah,45,20,282,213,335,44.44,2.9,6.27,4.73,7.44,2025-05-09 16:08:30
Samira,8,2,71,65,43,25.0,1.75,8.88,8.12,5.38,2025-05-09 16:08:30
Zeri,34,13,182,170,233,38.24,2.44,5.35,5.0,6.85,2025-05-09 16:08:30
Briar,14,3,90,96,112,21.43,2.1,6.43,6.86,8.0,2025-05-09 16:08:30
Kindred,83,41,666,493,596,49.4,2.56,8.02,5.94,7.18,2025-05-09 16:08:30
Master Yi,52,23,334,246,258,44.23,2.41,6.42,4.73,4.96,2025-05-09 16:08:30
Rammus,60,38,289,260,877,63.33,4.48,4.82,4.33,14.62,2025-05-09 16:08:30
Brand,20,5,93,116,146,25.0,2.06,4.65,5.8,7.3,2025-05-09 16:08:30
Kayn,127,69,975,651,825,54.33,2.76,7.68,5.13,6.5,2025-05-09 16:08:30
Seraphine,90,48,236,402,954,53.33,2.96,2.62,4.47,10.6,2025-05-09 16:08:30
Karma,251,121,491,1233,3204,48.21,3.0,1.96,4.91,12.76,2025-05-09 16:08:30
Milio,62,28,31,265,792,45.16,3.11,0.5,4.27,12.77,2025-05-09 16:08:30
Kled,36,20,193,213,218,55.56,1.93,5.36,5.92,6.06,2025-05-09 16:08:30
LeBlanc,49,22,320,188,317,44.9,3.39,6.53,3.84,6.47,2025-05-09 16:08:30
Quinn,38,25,268,260,291,65.79,2.15,7.05,6.84,7.66,2025-05-09 16:08:30
KogMaw,35,18,237,218,235,51.43,2.17,6.77,6.23,6.71,2025-05-09 16:08:30
Heimerdinger,11,5,45,62,48,45.45,1.5,4.09,5.64,4.36,2025-05-09 16:08:30
Fizz,14,2,84,90,77,14.29,1.79,6.0,6.43,5.5,2025-05-09 16:08:30
Talon,92,39,709,513,567,42.39,2.49,7.71,5.58,6.16,2025-05-09 16:08:30
Katarina,76,44,692,431,426,57.89,2.59,9.11,5.67,5.61,2025-05-09 16:08:30
Xerath,27,11,146,140,258,40.74,2.89,5.41,5.19,9.56,2025-05-09 16:08:30
Zoe,91,51,562,430,703,56.04,2.94,6.18,4.73,7.73,2025-05-09 16:08:30
Vex,32,19,199,202,239,59.38,2.17,6.22,6.31,7.47,2025-05-09 16:08:30
Yuumi,47,22,58,160,656,46.81,4.46,1.23,3.4,13.96,2025-05-09 16:08:30
Renata,17,8,23,82,237,47.06,3.17,1.35,4.82,13.94,2025-05-09 16:08:30
Maokai,32,20,95,197,431,62.5,2.67,2.97,6.16,13.47,2025-05-09 16:08:30
Blitzcrank,36,17,66,194,437,47.22,2.59,1.83,5.39,12.14,2025-05-09 16:08:30
Soraka,61,34,61,265,877,55.74,3.54,1.0,4.34,14.38,2025-05-09 16:08:30
Skarner,30,14,137,142,327,46.67,3.27,4.57,4.73,10.9,2025-05-09 16:08:30
Shaco,46,22,302,217,445,47.83,3.44,6.57,4.72,9.67,2025-05-09 16:08:30
Sejuani,18,6,72,61,174,33.33,4.03,4.0,3.39,9.67,2025-05-09 16:08:30
Cassiopeia,32,13,180,251,226,40.62,1.62,5.62,7.84,7.06,2025-05-09 16:08:30
Mordekaiser,35,17,148,206,139,48.57,1.39,4.23,5.89,3.97,2025-05-09 16:08:30
Annie,30,9,143,165,199,30.0,2.07,4.77,5.5,6.63,2025-05-09 16:08:30
Nasus,31,20,106,126,166,64.52,2.16,3.42,4.06,5.35,2025-05-09 16:08:30
Ornn,20,10,52,98,157,50.0,2.13,2.6,4.9,7.85,2025-05-09 16:08:30
Zilean,77,43,153,382,1143,55.84,3.39,1.99,4.96,14.84,2025-05-09 16:08:30
Taric,9,5,7,47,122,55.56,2.74,0.78,5.22,13.56,2025-05-09 16:08:30
Thresh,112,68,197,642,1675,60.71,2.92,1.76,5.73,14.96,2025-05-09 16:08:30
VelKoz,20,10,78,146,159,50.0,1.62,3.9,7.3,7.95,2025-05-09 16:08:30
Twitch,41,21,292,241,224,51.22,2.14,7.12,5.88,5.46,2025-05-09 16:08:30
Veigar,40,20,223,209,220,50.0,2.12,5.58,5.22,5.5,2025-05-09 16:08:30
Malzahar,23,8,87,143,154,34.78,1.69,3.78,6.22,6.7,2025-05-09 16:08:30
Lissandra,51,29,237,261,466,56.86,2.69,4.65,5.12,9.14,2025-05-09 16:08:30
Kalista,32,14,194,238,167,43.75,1.52,6.06,7.44,5.22,2025-05-09 16:08:30
Reksai,21,11,136,92,187,52.38,3.51,6.48,4.38,8.9,2025-05-09 16:08:30
Ivern,25,13,60,101,287,52.0,3.44,2.4,4.04,11.48,2025-05-09 16:08:30
Nilah,19,11,167,108,151,57.89,2.94,8.79,5.68,7.95,2025-05-09 16:08:30
Shyvana,5,3,38,27,53,60.0,3.37,7.6,5.4,10.6,2025-05-09 16:08:30
Morgana,17,8,59,86,184,47.06,2.83,3.47,5.06,10.82,2025-05-09 16:08:30
Illaoi,6,0,14,35,8,0.0,0.63,2.33,5.83,1.33,2025-05-09 16:08:30
Trundle,9,3,29,61,50,33.33,1.3,3.22,6.78,5.56,2025-05-09 16:08:30
Yorick,28,13,117,117,117,46.43,2.0,4.18,4.18,4.18,2025-05-09 16:08:30
Tahm Kench,9,5,46,47,109,55.56,3.3,5.11,5.22,12.11,2025-05-09 16:08:30
