champion,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Fiora,18,9,105,118,72,50.0,1.5,5.83,6.56,4.0,2025-05-09 16:08:30
Twitch,12,6,132,89,97,50.0,2.57,11.0,7.42,8.08,2025-05-09 16:08:30
Gnar,29,13,109,148,157,44.83,1.8,3.76,5.1,5.41,2025-05-09 16:08:30
Sett,39,21,212,215,210,53.85,1.96,5.44,5.51,5.38,2025-05-09 16:08:30
Aurora,72,31,399,351,426,43.06,2.35,5.54,4.88,5.92,2025-05-09 16:08:30
Ivern,8,2,19,37,114,25.0,3.59,2.38,4.62,14.25,2025-05-09 16:08:30
Kennen,20,13,122,89,108,65.0,2.58,6.1,4.45,5.4,2025-05-09 16:08:30
Malphite,31,15,113,149,243,48.39,2.39,3.65,4.81,7.84,2025-05-09 16:08:30
Vex,13,6,83,60,85,46.15,2.8,6.38,4.62,6.54,2025-05-09 16:08:30
Annie,33,17,172,173,246,51.52,2.42,5.21,5.24,7.45,2025-05-09 16:08:30
Vladimir,64,28,349,268,363,43.75,2.66,5.45,4.19,5.67,2025-05-09 16:08:30
Leona,36,19,67,227,480,52.78,2.41,1.86,6.31,13.33,2025-05-09 16:08:30
Senna,56,29,133,311,685,51.79,2.63,2.38,5.55,12.23,2025-05-09 16:08:30
Veigar,48,29,274,199,296,60.42,2.86,5.71,4.15,6.17,2025-05-09 16:08:30
Ornn,20,8,50,111,163,40.0,1.92,2.5,5.55,8.15,2025-05-09 16:08:30
Cassiopeia,12,7,56,69,70,58.33,1.83,4.67,5.75,5.83,2025-05-09 16:08:30
KSante,30,12,97,157,209,40.0,1.95,3.23,5.23,6.97,2025-05-09 16:08:30
Urgot,125,81,795,558,641,64.8,2.57,6.36,4.46,5.13,2025-05-09 16:08:30
Singed,59,38,281,236,493,64.41,3.28,4.76,4.0,8.36,2025-05-09 16:08:30
Teemo,15,10,91,63,88,66.67,2.84,6.07,4.2,5.87,2025-05-09 16:08:30
Seraphine,49,22,156,201,472,44.9,3.12,3.18,4.1,9.63,2025-05-09 16:08:30
Kled,16,10,85,89,123,62.5,2.34,5.31,5.56,7.69,2025-05-09 16:08:30
Quinn,22,12,138,94,90,54.55,2.43,6.27,4.27,4.09,2025-05-09 16:08:30
Nasus,33,15,156,148,223,45.45,2.56,4.73,4.48,6.76,2025-05-09 16:08:30
Kayle,24,13,104,126,104,54.17,1.65,4.33,5.25,4.33,2025-05-09 16:08:30
Shen,30,12,98,132,213,40.0,2.36,3.27,4.4,7.1,2025-05-09 16:08:30
Tryndamere,60,28,295,247,253,46.67,2.22,4.92,4.12,4.22,2025-05-09 16:08:30
Sivir,20,11,106,103,140,55.0,2.39,5.3,5.15,7.0,2025-05-09 16:08:30
Warwick,18,7,140,114,106,38.89,2.16,7.78,6.33,5.89,2025-05-09 16:08:30
Mel,50,17,367,254,224,34.0,2.33,7.34,5.08,4.48,2025-05-09 16:08:30
Karthus,16,7,95,92,146,43.75,2.62,5.94,5.75,9.12,2025-05-09 16:08:30
KogMaw,11,6,80,70,89,54.55,2.41,7.27,6.36,8.09,2025-05-09 16:08:30
Kalista,22,9,142,119,131,40.91,2.29,6.45,5.41,5.95,2025-05-09 16:08:30
Aphelios,26,12,130,129,119,46.15,1.93,5.0,4.96,4.58,2025-05-09 16:08:30
Yuumi,19,9,23,71,222,47.37,3.45,1.21,3.74,11.68,2025-05-09 16:08:30
Lissandra,17,11,80,87,150,64.71,2.64,4.71,5.12,8.82,2025-05-09 16:08:30
Twisted Fate,17,7,74,88,153,41.18,2.58,4.35,5.18,9.0,2025-05-09 16:08:30
Thresh,49,27,86,283,670,55.1,2.67,1.76,5.78,13.67,2025-05-09 16:08:30
Tahm Kench,9,1,26,67,70,11.11,1.43,2.89,7.44,7.78,2025-05-09 16:08:30
Kassadin,18,5,105,97,98,27.78,2.09,5.83,5.39,5.44,2025-05-09 16:08:30
Xayah,21,10,114,84,111,47.62,2.68,5.43,4.0,5.29,2025-05-09 16:08:30
Amumu,8,5,29,50,111,62.5,2.8,3.62,6.25,13.88,2025-05-09 16:08:30
Milio,37,13,28,138,430,35.14,3.32,0.76,3.73,11.62,2025-05-09 16:08:30
Blitzcrank,11,6,22,61,127,54.55,2.44,2.0,5.55,11.55,2025-05-09 16:08:30
VelKoz,9,3,40,56,45,33.33,1.52,4.44,6.22,5.0,2025-05-09 16:08:30
Katarina,26,12,248,176,187,46.15,2.47,9.54,6.77,7.19,2025-05-09 16:08:30
Renata,4,1,3,19,44,25.0,2.47,0.75,4.75,11.0,2025-05-09 16:08:30
Samira,3,1,31,10,12,33.33,4.3,10.33,3.33,4.0,2025-05-09 16:08:30
Morgana,4,2,15,22,58,50.0,3.32,3.75,5.5,14.5,2025-05-09 16:08:30
Soraka,24,11,23,114,319,45.83,3.0,0.96,4.75,13.29,2025-05-09 16:08:30
Brand,6,3,31,35,55,50.0,2.46,5.17,5.83,9.17,2025-05-09 16:08:30
Malzahar,13,8,56,66,109,61.54,2.5,4.31,5.08,8.38,2025-05-09 16:08:30
Aurelion Sol,7,4,51,29,71,57.14,4.21,7.29,4.14,10.14,2025-05-09 16:08:30
Nilah,9,4,63,54,44,44.44,1.98,7.0,6.0,4.89,2025-05-09 16:08:30
Yorick,12,9,50,57,63,75.0,1.98,4.17,4.75,5.25,2025-05-09 16:08:30
Illaoi,4,1,17,36,15,25.0,0.89,4.25,9.0,3.75,2025-05-09 16:08:30
Heimerdinger,7,3,28,44,14,42.86,0.95,4.0,6.29,2.0,2025-05-09 16:08:30
Mordekaiser,16,7,72,85,55,43.75,1.49,4.5,5.31,3.44,2025-05-09 16:08:30
Shyvana,1,1,9,2,14,100.0,11.5,9.0,2.0,14.0,2025-05-09 16:08:30
