name,percentage,id,patch
Fiddlesticks,0,22,11.5
Garen,0,27,11.5
Kayle,0,42,11.5
Lissandra,0,49,11.5
Lux,0,52,11.5
Nunu,0,65,11.5
Riven,0,74,11.5
Shaco,0,78,11.5
Shyvana,0,80,11.5
Taric,0,90,11.5
Zac,0,113,11.5
VelKoz,0,123,11.5
Hecarim,96,30,11.6
Thresh,87,92,11.6
Udyr,83,98,11.6
Tristana,78,93,11.6
Gnar,75,119,11.6
Kaisa,75,140,11.6
Rell,73,153,11.6
Orianna,71,67,11.6
Alistar,63,4,11.6
Seraphine,61,152,11.6
Renekton,57,72,11.6
Jinx,53,37,11.6
Lillia,53,149,11.6
Volibear,47,106,11.6
Sylas,45,143,11.6
Senna,45,146,11.6
Gragas,40,28,11.6
Viktor,39,104,11.6
Sion,38,82,11.6
Tahm Kench,38,126,11.6
Nocturne,37,64,11.6
Lucian,35,50,11.6
Twisted Fate,33,96,11.6
Azir,33,120,11.6
Xayah,31,135,11.6
Nidalee,29,63,11.6
Zoe,28,139,11.6
Aatrox,27,1,11.6
Olaf,27,66,11.6
Camille,25,134,11.6
Jayce,24,36,11.6
Syndra,23,88,11.6
Akali,22,3,11.6
Rakan,20,136,11.6
Galio,18,25,11.6
Nautilus,17,62,11.6
Ryze,17,76,11.6
Leona,16,48,11.6
Varus,16,100,11.6
Gangplank,15,26,11.6
Sett,14,148,11.6
Ezreal,13,21,11.6
Irelia,13,32,11.6
Karma,13,38,11.6
Kalista,13,121,11.6
Urgot,12,99,11.6
Ornn,12,138,11.6
Braum,10,118,11.6
Aphelios,10,147,11.6
Graves,9,29,11.6
Wukong,9,108,11.6
Chogath,8,13,11.6
Malphite,8,53,11.6
Skarner,8,84,11.6
Yone,8,150,11.6
Darius,6,15,11.6
Samira,6,151,11.6
Vayne,5,101,11.6
Ahri,4,2,11.6
Blitzcrank,4,9,11.6
Corki,4,14,11.6
Fiora,4,23,11.6
Zilean,4,116,11.6
Caitlyn,3,11,11.6
Heimerdinger,3,31,11.6
