champion,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Vladimir,283,141,1412,1251,1206,49.82,2.09,4.99,4.42,4.26,2025-05-09 16:08:30
Zoe,369,180,2133,1612,2377,48.78,2.8,5.78,4.37,6.44,2025-05-09 16:08:30
Corki,704,349,4143,3585,4315,49.57,2.36,5.88,5.09,6.13,2025-05-09 16:08:30
Viktor,359,156,1555,1657,2160,43.45,2.24,4.33,4.62,6.02,2025-05-09 16:08:30
Syndra,304,159,1594,1502,1832,52.3,2.28,5.24,4.94,6.03,2025-05-09 16:08:30
Ziggs,70,32,278,317,500,45.71,2.45,3.97,4.53,7.14,2025-05-09 16:08:30
Pyke,166,64,954,1161,1493,38.55,2.11,5.75,6.99,8.99,2025-05-09 16:08:30
Rumble,272,130,1360,1265,1856,47.79,2.54,5.0,4.65,6.82,2025-05-09 16:08:30
Sion,277,125,1055,1462,1975,45.13,2.07,3.81,5.28,7.13,2025-05-09 16:08:30
Vex,50,18,274,312,385,36.0,2.11,5.48,6.24,7.7,2025-05-09 16:08:30
Zed,678,334,5382,3395,3804,49.26,2.71,7.94,5.01,5.61,2025-05-09 16:08:30
Renekton,304,152,1485,1553,1580,50.0,1.97,4.88,5.11,5.2,2025-05-09 16:08:30
Talon,549,284,4741,2818,3454,51.73,2.91,8.64,5.13,6.29,2025-05-09 16:08:30
Annie,100,54,443,515,836,54.0,2.48,4.43,5.15,8.36,2025-05-09 16:08:30
Qiyana,246,120,1776,1214,1415,48.78,2.63,7.22,4.93,5.75,2025-05-09 16:08:30
Kaisa,720,335,5345,3933,4394,46.53,2.48,7.42,5.46,6.1,2025-05-09 16:08:30
Fiora,374,203,2257,2058,1437,54.28,1.79,6.03,5.5,3.84,2025-05-09 16:08:30
Orianna,220,112,1038,994,1696,50.91,2.75,4.72,4.52,7.71,2025-05-09 16:08:30
Sivir,164,91,950,797,1331,55.49,2.86,5.79,4.86,8.12,2025-05-09 16:08:30
Varus,768,389,5024,4140,4959,50.65,2.41,6.54,5.39,6.46,2025-05-09 16:08:30
Ashe,347,193,1700,1899,2939,55.62,2.44,4.9,5.47,8.47,2025-05-09 16:08:30
KogMaw,70,35,401,396,385,50.0,1.98,5.73,5.66,5.5,2025-05-09 16:08:30
Seraphine,196,103,538,946,2406,52.55,3.11,2.74,4.83,12.28,2025-05-09 16:08:30
Kalista,137,63,1041,888,798,45.99,2.07,7.6,6.48,5.82,2025-05-09 16:08:30
Xayah,160,68,908,804,910,42.5,2.26,5.67,5.03,5.69,2025-05-09 16:08:30
Smolder,263,130,1607,1326,1595,49.43,2.41,6.11,5.04,6.06,2025-05-09 16:08:30
Mordekaiser,112,32,468,644,441,28.57,1.41,4.18,5.75,3.94,2025-05-09 16:08:30
Yorick,229,114,933,1084,974,49.78,1.76,4.07,4.73,4.25,2025-05-09 16:08:30
Draven,150,73,941,854,755,48.67,1.99,6.27,5.69,5.03,2025-05-09 16:08:30
Miss Fortune,419,204,2343,2222,2722,48.69,2.28,5.59,5.3,6.5,2025-05-09 16:08:30
Aatrox,294,126,1414,1639,1444,42.86,1.74,4.81,5.57,4.91,2025-05-09 16:08:30
Ambessa,620,314,3070,2748,2951,50.65,2.19,4.95,4.43,4.76,2025-05-09 16:08:30
Jax,306,154,1435,1360,1323,50.33,2.03,4.69,4.44,4.32,2025-05-09 16:08:30
Volibear,300,156,1826,1492,2183,52.0,2.69,6.09,4.97,7.28,2025-05-09 16:08:30
Caitlyn,247,122,1451,1236,1223,49.39,2.16,5.87,5.0,4.95,2025-05-09 16:08:30
Twitch,98,48,733,609,566,48.98,2.13,7.48,6.21,5.78,2025-05-09 16:08:30
Shen,240,130,921,946,2126,54.17,3.22,3.84,3.94,8.86,2025-05-09 16:08:30
Riven,366,196,2309,1953,1691,53.55,2.05,6.31,5.34,4.62,2025-05-09 16:08:30
Nidalee,486,256,2440,2188,3992,52.67,2.94,5.02,4.5,8.21,2025-05-09 16:08:30
Kayle,128,63,636,628,608,49.22,1.98,4.97,4.91,4.75,2025-05-09 16:08:30
Pantheon,391,189,2674,2275,3228,48.34,2.59,6.84,5.82,8.26,2025-05-09 16:08:30
Ekko,302,163,2290,1311,1815,53.97,3.13,7.58,4.34,6.01,2025-05-09 16:08:30
KhaZix,132,63,1050,667,797,47.73,2.77,7.95,5.05,6.04,2025-05-09 16:08:30
Reksai,123,70,865,545,911,56.91,3.26,7.03,4.43,7.41,2025-05-09 16:08:30
Gwen,425,225,2935,2284,2223,52.94,2.26,6.91,5.37,5.23,2025-05-09 16:08:30
Ivern,253,152,918,671,3242,60.08,6.2,3.63,2.65,12.81,2025-05-09 16:08:30
Lee Sin,353,151,2311,1906,2653,42.78,2.6,6.55,5.4,7.52,2025-05-09 16:08:30
Neeko,397,240,1576,1897,4260,60.45,3.08,3.97,4.78,10.73,2025-05-09 16:08:30
Poppy,370,203,1401,2010,3855,54.86,2.61,3.79,5.43,10.42,2025-05-09 16:08:30
Yuumi,77,30,83,273,995,38.96,3.95,1.08,3.55,12.92,2025-05-09 16:08:30
Bard,376,175,1124,1915,4723,46.54,3.05,2.99,5.09,12.56,2025-05-09 16:08:30
Nautilus,427,206,848,2585,5613,48.24,2.5,1.99,6.05,13.15,2025-05-09 16:08:30
Lulu,253,110,369,1146,3235,43.48,3.14,1.46,4.53,12.79,2025-05-09 16:08:30
Karma,400,202,752,1817,5235,50.5,3.29,1.88,4.54,13.09,2025-05-09 16:08:30
Milio,103,39,98,453,1455,37.86,3.43,0.95,4.4,14.13,2025-05-09 16:08:30
Alistar,576,329,924,3164,8422,57.12,2.95,1.6,5.49,14.62,2025-05-09 16:08:30
Sett,105,51,501,601,565,48.57,1.77,4.77,5.72,5.38,2025-05-09 16:08:30
Fiddlesticks,404,228,1384,2156,4695,56.44,2.82,3.43,5.34,11.62,2025-05-09 16:08:30
Elise,174,86,998,1063,1544,49.43,2.39,5.74,6.11,8.87,2025-05-09 16:08:30
Leona,174,87,262,1061,2313,50.0,2.43,1.51,6.1,13.29,2025-05-09 16:08:30
Rell,420,215,862,2412,6780,51.19,3.17,2.05,5.74,16.14,2025-05-09 16:08:30
Galio,220,117,784,977,2022,53.18,2.87,3.56,4.44,9.19,2025-05-09 16:08:30
Rakan,300,140,429,1482,4603,46.67,3.4,1.43,4.94,15.34,2025-05-09 16:08:30
Akali,352,195,2336,1502,1548,55.4,2.59,6.64,4.27,4.4,2025-05-09 16:08:30
Camille,170,83,896,938,911,48.82,1.93,5.27,5.52,5.36,2025-05-09 16:08:30
Garen,87,41,480,442,316,47.13,1.8,5.52,5.08,3.63,2025-05-09 16:08:30
Kennen,80,38,455,469,540,47.5,2.12,5.69,5.86,6.75,2025-05-09 16:08:30
Nasus,127,62,475,491,723,48.82,2.44,3.74,3.87,5.69,2025-05-09 16:08:30
Irelia,276,129,1392,1739,1117,46.74,1.44,5.04,6.3,4.05,2025-05-09 16:08:30
KSante,78,32,266,322,389,41.03,2.03,3.41,4.13,4.99,2025-05-09 16:08:30
Lux,259,116,1255,1367,2232,44.79,2.55,4.85,5.28,8.62,2025-05-09 16:08:30
Hwei,332,140,1502,1646,2420,42.17,2.38,4.52,4.96,7.29,2025-05-09 16:08:30
Yasuo,572,280,3026,3592,2975,48.95,1.67,5.29,6.28,5.2,2025-05-09 16:08:30
Veigar,92,44,564,477,548,47.83,2.33,6.13,5.18,5.96,2025-05-09 16:08:30
Chogath,241,116,1348,1133,1441,48.13,2.46,5.59,4.7,5.98,2025-05-09 16:08:30
Jarvan Iv,143,57,691,800,1708,39.86,3.0,4.83,5.59,11.94,2025-05-09 16:08:30
Vi,471,232,2729,2225,3864,49.26,2.96,5.79,4.72,8.2,2025-05-09 16:08:30
Skarner,130,70,676,539,1423,53.85,3.89,5.2,4.15,10.95,2025-05-09 16:08:30
Rengar,182,106,1396,1006,1020,58.24,2.4,7.67,5.53,5.6,2025-05-09 16:08:30
Cassiopeia,93,56,579,575,594,60.22,2.04,6.23,6.18,6.39,2025-05-09 16:08:30
Mel,411,203,3256,1977,2233,49.39,2.78,7.92,4.81,5.43,2025-05-09 16:08:30
Karthus,145,64,937,1024,1205,44.14,2.09,6.46,7.06,8.31,2025-05-09 16:08:30
LeBlanc,131,63,801,602,848,48.09,2.74,6.11,4.6,6.47,2025-05-09 16:08:30
Twisted Fate,148,70,488,664,1083,47.3,2.37,3.3,4.49,7.32,2025-05-09 16:08:30
Master Yi,92,36,767,541,433,39.13,2.22,8.34,5.88,4.71,2025-05-09 16:08:30
Gangplank,181,91,876,1028,1086,50.28,1.91,4.84,5.68,6.0,2025-05-09 16:08:30
Gragas,355,184,1592,1629,2669,51.83,2.62,4.48,4.59,7.52,2025-05-09 16:08:30
Teemo,141,68,705,624,727,48.23,2.29,5.0,4.43,5.16,2025-05-09 16:08:30
Olaf,95,45,542,575,476,47.37,1.77,5.71,6.05,5.01,2025-05-09 16:08:30
Kled,61,36,307,308,353,59.02,2.14,5.03,5.05,5.79,2025-05-09 16:08:30
Singed,82,34,285,442,617,41.46,2.04,3.48,5.39,7.52,2025-05-09 16:08:30
Swain,119,59,530,703,1123,49.58,2.35,4.45,5.91,9.44,2025-05-09 16:08:30
Urgot,121,55,698,676,479,45.45,1.74,5.77,5.59,3.96,2025-05-09 16:08:30
Vayne,135,63,848,746,598,46.67,1.94,6.28,5.53,4.43,2025-05-09 16:08:30
Ornn,95,39,198,382,662,41.05,2.25,2.08,4.02,6.97,2025-05-09 16:08:30
Senna,215,129,590,1143,2850,60.0,3.01,2.74,5.32,13.26,2025-05-09 16:08:30
Gnar,154,64,550,836,749,41.56,1.55,3.57,5.43,4.86,2025-05-09 16:08:30
Anivia,162,87,659,629,1104,53.7,2.8,4.07,3.88,6.81,2025-05-09 16:08:30
Soraka,115,53,112,609,1626,46.09,2.85,0.97,5.3,14.14,2025-05-09 16:08:30
Thresh,275,145,428,1562,3914,52.73,2.78,1.56,5.68,14.23,2025-05-09 16:08:30
Blitzcrank,116,60,201,634,1513,51.72,2.7,1.73,5.47,13.04,2025-05-09 16:08:30
VelKoz,67,32,326,373,520,47.76,2.27,4.87,5.57,7.76,2025-05-09 16:08:30
Renata,65,24,99,348,892,36.92,2.85,1.52,5.35,13.72,2025-05-09 16:08:30
Katarina,106,44,839,591,568,41.51,2.38,7.92,5.58,5.36,2025-05-09 16:08:30
Sona,335,165,764,1815,4667,49.25,2.99,2.28,5.42,13.93,2025-05-09 16:08:30
Janna,238,101,315,919,3019,42.44,3.63,1.32,3.86,12.68,2025-05-09 16:08:30
Taric,33,17,46,215,469,51.52,2.4,1.39,6.52,14.21,2025-05-09 16:08:30
Nami,329,183,505,1386,4922,55.62,3.92,1.53,4.21,14.96,2025-05-09 16:08:30
Jinx,210,113,1152,1049,1320,53.81,2.36,5.49,5.0,6.29,2025-05-09 16:08:30
Nilah,110,55,719,621,593,50.0,2.11,6.54,5.65,5.39,2025-05-09 16:08:30
Samira,29,11,219,215,162,37.93,1.77,7.55,7.41,5.59,2025-05-09 16:08:30
Nocturne,95,49,591,520,810,51.58,2.69,6.22,5.47,8.53,2025-05-09 16:08:30
Braum,184,96,175,959,2646,52.17,2.94,0.95,5.21,14.38,2025-05-09 16:08:30
Brand,123,61,645,673,994,49.59,2.44,5.24,5.47,8.08,2025-05-09 16:08:30
Udyr,152,74,779,758,1212,48.68,2.63,5.12,4.99,7.97,2025-05-09 16:08:30
Graves,141,69,1011,697,862,48.94,2.69,7.17,4.94,6.11,2025-05-09 16:08:30
Diana,118,49,659,656,636,41.53,1.97,5.58,5.56,5.39,2025-05-09 16:08:30
Hecarim,230,117,1520,1183,1954,50.87,2.94,6.61,5.14,8.5,2025-05-09 16:08:30
Morgana,66,28,197,336,803,42.42,2.98,2.98,5.09,12.17,2025-05-09 16:08:30
Fizz,42,16,236,205,208,38.1,2.17,5.62,4.88,4.95,2025-05-09 16:08:30
Briar,37,13,262,256,283,35.14,2.13,7.08,6.92,7.65,2025-05-09 16:08:30
Malphite,105,58,386,493,826,55.24,2.46,3.68,4.7,7.87,2025-05-09 16:08:30
Warwick,64,31,375,396,387,48.44,1.92,5.86,6.19,6.05,2025-05-09 16:08:30
Aurelion Sol,65,34,429,324,584,52.31,3.13,6.6,4.98,8.98,2025-05-09 16:08:30
Zilean,106,44,227,433,1136,41.51,3.15,2.14,4.08,10.72,2025-05-09 16:08:30
Heimerdinger,15,12,40,76,73,80.0,1.49,2.67,5.07,4.87,2025-05-09 16:08:30
Kassadin,103,47,632,489,481,45.63,2.28,6.14,4.75,4.67,2025-05-09 16:08:30
Quinn,157,90,1178,973,879,57.32,2.11,7.5,6.2,5.6,2025-05-09 16:08:30
Malzahar,63,28,244,371,383,44.44,1.69,3.87,5.89,6.08,2025-05-09 16:08:30
Evelynn,29,9,168,154,149,31.03,2.06,5.79,5.31,5.14,2025-05-09 16:08:30
Tahm Kench,24,8,50,155,226,33.33,1.78,2.08,6.46,9.42,2025-05-09 16:08:30
Illaoi,7,3,35,46,36,42.86,1.54,5.0,6.57,5.14,2025-05-09 16:08:30
Amumu,25,6,60,198,236,24.0,1.49,2.4,7.92,9.44,2025-05-09 16:08:30
Darius,146,70,822,778,533,47.95,1.74,5.63,5.33,3.65,2025-05-09 16:08:30
Trundle,22,10,90,138,171,45.45,1.89,4.09,6.27,7.77,2025-05-09 16:08:30
Shyvana,10,0,60,72,71,0.0,1.82,6.0,7.2,7.1,2025-05-09 16:08:30
