champion,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Gwen,307,170,2000,1529,1604,55.37,2.36,6.51,4.98,5.22,2025-05-09 16:08:30
Taliyah,285,154,1764,1453,2511,54.04,2.94,6.19,5.1,8.81,2025-05-09 16:08:30
Tristana,438,223,3120,2314,2290,50.91,2.34,7.12,5.28,5.23,2025-05-09 16:08:30
Diana,101,50,540,555,562,49.5,1.99,5.35,5.5,5.56,2025-05-09 16:08:30
Camille,106,49,578,599,610,46.23,1.98,5.45,5.65,5.75,2025-05-09 16:08:30
Ambessa,489,251,2753,2302,2664,51.33,2.35,5.63,4.71,5.45,2025-05-09 16:08:30
Vladimir,224,98,1176,961,1099,43.75,2.37,5.25,4.29,4.91,2025-05-09 16:08:30
Jinx,126,67,732,643,929,53.17,2.58,5.81,5.1,7.37,2025-05-09 16:08:30
Miss Fortune,237,120,1513,1272,1613,50.63,2.46,6.38,5.37,6.81,2025-05-09 16:08:30
Aphelios,134,84,951,765,719,62.69,2.18,7.1,5.71,5.37,2025-05-09 16:08:30
Ryze,370,190,2054,1688,2413,51.35,2.65,5.55,4.56,6.52,2025-05-09 16:08:30
Veigar,56,27,354,247,291,48.21,2.61,6.32,4.41,5.2,2025-05-09 16:08:30
Anivia,102,39,437,531,746,38.24,2.23,4.28,5.21,7.31,2025-05-09 16:08:30
Cassiopeia,43,18,209,271,225,41.86,1.6,4.86,6.3,5.23,2025-05-09 16:08:30
Karma,421,227,790,2105,6007,53.92,3.23,1.88,5.0,14.27,2025-05-09 16:08:30
Pyke,124,55,627,791,1200,44.35,2.31,5.06,6.38,9.68,2025-05-09 16:08:30
Smolder,181,92,985,929,1052,50.83,2.19,5.44,5.13,5.81,2025-05-09 16:08:30
Renekton,125,62,635,647,733,49.6,2.11,5.08,5.18,5.86,2025-05-09 16:08:30
Jayce,468,228,2549,2527,2574,48.72,2.03,5.45,5.4,5.5,2025-05-09 16:08:30
Aatrox,217,106,1064,1152,1167,48.85,1.94,4.9,5.31,5.38,2025-05-09 16:08:30
Sion,109,59,413,565,798,54.13,2.14,3.79,5.18,7.32,2025-05-09 16:08:30
Karthus,129,66,989,951,1145,51.16,2.24,7.67,7.37,8.88,2025-05-09 16:08:30
Ekko,155,77,1121,735,957,49.68,2.83,7.23,4.74,6.17,2025-05-09 16:08:30
Sett,147,81,694,838,769,55.1,1.75,4.72,5.7,5.23,2025-05-09 16:08:30
Heimerdinger,25,10,126,140,119,40.0,1.75,5.04,5.6,4.76,2025-05-09 16:08:30
Teemo,84,38,445,417,428,45.24,2.09,5.3,4.96,5.1,2025-05-09 16:08:30
Irelia,227,122,1269,1478,1048,53.74,1.57,5.59,6.51,4.62,2025-05-09 16:08:30
Rumble,207,89,1120,1054,1313,43.0,2.31,5.41,5.09,6.34,2025-05-09 16:08:30
Fiora,229,132,1253,1264,990,57.64,1.77,5.47,5.52,4.32,2025-05-09 16:08:30
Shen,145,73,524,598,1309,50.34,3.07,3.61,4.12,9.03,2025-05-09 16:08:30
Vi,286,144,1700,1467,2563,50.35,2.91,5.94,5.13,8.96,2025-05-09 16:08:30
Rammus,93,46,343,425,1028,49.46,3.23,3.69,4.57,11.05,2025-05-09 16:08:30
Dr. Mundo,139,57,524,578,853,41.01,2.38,3.77,4.16,6.14,2025-05-09 16:08:30
KhaZix,101,41,782,537,682,40.59,2.73,7.74,5.32,6.75,2025-05-09 16:08:30
Poppy,218,109,812,1145,2097,50.0,2.54,3.72,5.25,9.62,2025-05-09 16:08:30
Zac,88,44,420,371,730,50.0,3.1,4.77,4.22,8.3,2025-05-09 16:08:30
Kayn,203,101,1608,1108,1328,49.75,2.65,7.92,5.46,6.54,2025-05-09 16:08:30
Renata,45,19,69,249,643,42.22,2.86,1.53,5.53,14.29,2025-05-09 16:08:30
Bard,268,142,789,1428,3765,52.99,3.19,2.94,5.33,14.05,2025-05-09 16:08:30
Elise,104,46,563,673,875,44.23,2.14,5.41,6.47,8.41,2025-05-09 16:08:30
Galio,184,98,790,792,1735,53.26,3.19,4.29,4.3,9.43,2025-05-09 16:08:30
Blitzcrank,84,45,121,425,1181,53.57,3.06,1.44,5.06,14.06,2025-05-09 16:08:30
Rakan,245,129,338,1168,3828,52.65,3.57,1.38,4.77,15.62,2025-05-09 16:08:30
Neeko,208,98,710,1092,2141,47.12,2.61,3.41,5.25,10.29,2025-05-09 16:08:30
Nautilus,372,172,693,2307,4909,46.24,2.43,1.86,6.2,13.2,2025-05-09 16:08:30
Alistar,343,188,499,1842,4951,54.81,2.96,1.45,5.37,14.43,2025-05-09 16:08:30
Rell,299,168,618,1672,4846,56.19,3.27,2.07,5.59,16.21,2025-05-09 16:08:30
Lucian,202,95,1415,1074,1233,47.03,2.47,7.0,5.32,6.1,2025-05-09 16:08:30
Nami,303,144,450,1439,4449,47.52,3.4,1.49,4.75,14.68,2025-05-09 16:08:30
Senna,185,78,529,988,2183,42.16,2.74,2.86,5.34,11.8,2025-05-09 16:08:30
Thresh,200,83,344,1166,2748,41.5,2.65,1.72,5.83,13.74,2025-05-09 16:08:30
Jhin,336,158,2216,1670,2649,47.02,2.91,6.6,4.97,7.88,2025-05-09 16:08:30
Ziggs,52,18,277,307,408,34.62,2.23,5.33,5.9,7.85,2025-05-09 16:08:30
Kennen,67,30,348,368,377,44.78,1.97,5.19,5.49,5.63,2025-05-09 16:08:30
Tryndamere,112,49,490,601,450,43.75,1.56,4.38,5.37,4.02,2025-05-09 16:08:30
Kindred,100,42,611,548,582,42.0,2.18,6.11,5.48,5.82,2025-05-09 16:08:30
Pantheon,359,185,2387,2079,2838,51.53,2.51,6.65,5.79,7.91,2025-05-09 16:08:30
Zed,403,203,2959,2039,2342,50.37,2.6,7.34,5.06,5.81,2025-05-09 16:08:30
Naafiri,347,168,2659,1476,2522,48.41,3.51,7.66,4.25,7.27,2025-05-09 16:08:30
Nocturne,85,44,517,428,834,51.76,3.16,6.08,5.04,9.81,2025-05-09 16:08:30
Graves,127,71,976,614,853,55.91,2.98,7.69,4.83,6.72,2025-05-09 16:08:30
Volibear,175,95,1022,856,1253,54.29,2.66,5.84,4.89,7.16,2025-05-09 16:08:30
Annie,61,35,295,321,540,57.38,2.6,4.84,5.26,8.85,2025-05-09 16:08:30
Katarina,83,37,724,530,470,44.58,2.25,8.72,6.39,5.66,2025-05-09 16:08:30
Caitlyn,167,73,1082,920,1025,43.71,2.29,6.48,5.51,6.14,2025-05-09 16:08:30
Varus,336,170,2139,1818,2286,50.6,2.43,6.37,5.41,6.8,2025-05-09 16:08:30
Zeri,66,29,418,376,410,43.94,2.2,6.33,5.7,6.21,2025-05-09 16:08:30
Braum,187,85,233,1034,2846,45.45,2.98,1.25,5.53,15.22,2025-05-09 16:08:30
Lux,166,89,845,738,1444,53.61,3.1,5.09,4.45,8.7,2025-05-09 16:08:30
Draven,129,60,875,821,741,46.51,1.97,6.78,6.36,5.74,2025-05-09 16:08:30
Sivir,79,40,450,380,565,50.63,2.67,5.7,4.81,7.15,2025-05-09 16:08:30
Seraphine,162,86,588,713,1837,53.09,3.4,3.63,4.4,11.34,2025-05-09 16:08:30
Kalista,87,48,662,543,516,55.17,2.17,7.61,6.24,5.93,2025-05-09 16:08:30
Vayne,105,51,672,650,486,48.57,1.78,6.4,6.19,4.63,2025-05-09 16:08:30
Zilean,98,47,177,398,1226,47.96,3.53,1.81,4.06,12.51,2025-05-09 16:08:30
Milio,100,52,108,371,1268,52.0,3.71,1.08,3.71,12.68,2025-05-09 16:08:30
Mel,141,64,1091,715,769,45.39,2.6,7.74,5.07,5.45,2025-05-09 16:08:30
Brand,109,54,652,618,1029,49.54,2.72,5.98,5.67,9.44,2025-05-09 16:08:30
Zyra,116,54,538,578,1028,46.55,2.71,4.64,4.98,8.86,2025-05-09 16:08:30
Janna,200,112,247,731,2726,56.0,4.07,1.24,3.65,13.63,2025-05-09 16:08:30
Gragas,169,98,725,768,1448,57.99,2.83,4.29,4.54,8.57,2025-05-09 16:08:30
Leona,164,87,325,970,2343,53.05,2.75,1.98,5.91,14.29,2025-05-09 16:08:30
Taric,42,17,54,228,523,40.48,2.53,1.29,5.43,12.45,2025-05-09 16:08:30
Lulu,270,137,415,1254,3899,50.74,3.44,1.54,4.64,14.44,2025-05-09 16:08:30
Lissandra,54,31,270,310,511,57.41,2.52,5.0,5.74,9.46,2025-05-09 16:08:30
Reksai,24,10,118,112,117,41.67,2.1,4.92,4.67,4.88,2025-05-09 16:08:30
Rengar,79,36,588,419,450,45.57,2.48,7.44,5.3,5.7,2025-05-09 16:08:30
Jax,132,73,715,591,625,55.3,2.27,5.42,4.48,4.73,2025-05-09 16:08:30
Master Yi,88,52,775,464,507,59.09,2.76,8.81,5.27,5.76,2025-05-09 16:08:30
Shaco,72,36,461,354,582,50.0,2.95,6.4,4.92,8.08,2025-05-09 16:08:30
Ornn,50,25,146,230,443,50.0,2.56,2.92,4.6,8.86,2025-05-09 16:08:30
Chogath,130,64,778,662,821,49.23,2.42,5.98,5.09,6.32,2025-05-09 16:08:30
Twisted Fate,79,46,319,401,685,58.23,2.5,4.04,5.08,8.67,2025-05-09 16:08:30
Briar,23,7,151,139,144,30.43,2.12,6.57,6.04,6.26,2025-05-09 16:08:30
Akshan,106,49,884,633,617,46.23,2.37,8.34,5.97,5.82,2025-05-09 16:08:30
Soraka,118,55,109,577,1494,46.61,2.78,0.92,4.89,12.66,2025-05-09 16:08:30
Yuumi,96,41,97,334,1327,42.71,4.26,1.01,3.48,13.82,2025-05-09 16:08:30
Sejuani,50,22,225,257,543,44.0,2.99,4.5,5.14,10.86,2025-05-09 16:08:30
Skarner,73,32,342,293,666,43.84,3.44,4.68,4.01,9.12,2025-05-09 16:08:30
Hecarim,149,72,898,707,1076,48.32,2.79,6.03,4.74,7.22,2025-05-09 16:08:30
Singed,61,27,182,314,427,44.26,1.94,2.98,5.15,7.0,2025-05-09 16:08:30
KSante,104,65,411,432,753,62.5,2.69,3.95,4.15,7.24,2025-05-09 16:08:30
Yorick,133,73,595,643,668,54.89,1.96,4.47,4.83,5.02,2025-05-09 16:08:30
Warwick,50,20,309,330,377,40.0,2.08,6.18,6.6,7.54,2025-05-09 16:08:30
Gnar,177,94,823,879,947,53.11,2.01,4.65,4.97,5.35,2025-05-09 16:08:30
Talon,296,166,2615,1402,1988,56.08,3.28,8.83,4.74,6.72,2025-05-09 16:08:30
Urgot,134,80,798,683,605,59.7,2.05,5.96,5.1,4.51,2025-05-09 16:08:30
Darius,205,107,1291,975,827,52.2,2.17,6.3,4.76,4.03,2025-05-09 16:08:30
Olaf,42,19,239,221,193,45.24,1.95,5.69,5.26,4.6,2025-05-09 16:08:30
Malphite,59,23,166,241,358,38.98,2.17,2.81,4.08,6.07,2025-05-09 16:08:30
Xayah,97,53,649,473,579,54.64,2.6,6.69,4.88,5.97,2025-05-09 16:08:30
Twitch,61,35,511,341,392,57.38,2.65,8.38,5.59,6.43,2025-05-09 16:08:30
Kayle,109,59,465,556,638,54.13,1.98,4.27,5.1,5.85,2025-05-09 16:08:30
Xerath,41,13,183,192,296,31.71,2.49,4.46,4.68,7.22,2025-05-09 16:08:30
Orianna,125,60,520,587,1044,48.0,2.66,4.16,4.7,8.35,2025-05-09 16:08:30
Quinn,117,61,786,754,755,52.14,2.04,6.72,6.44,6.45,2025-05-09 16:08:30
Sona,147,85,331,699,2085,57.82,3.46,2.25,4.76,14.18,2025-05-09 16:08:30
Garen,98,32,541,494,352,32.65,1.81,5.52,5.04,3.59,2025-05-09 16:08:30
Riven,175,90,1058,1009,757,51.43,1.8,6.05,5.77,4.33,2025-05-09 16:08:30
Mordekaiser,34,16,177,184,142,47.06,1.73,5.21,5.41,4.18,2025-05-09 16:08:30
Kled,46,24,256,234,285,52.17,2.31,5.57,5.09,6.2,2025-05-09 16:08:30
Malzahar,37,11,123,208,233,29.73,1.71,3.32,5.62,6.3,2025-05-09 16:08:30
Nasus,57,23,221,233,302,40.35,2.24,3.88,4.09,5.3,2025-05-09 16:08:30
Kassadin,48,20,346,264,232,41.67,2.19,7.21,5.5,4.83,2025-05-09 16:08:30
VelKoz,30,13,132,179,233,43.33,2.04,4.4,5.97,7.77,2025-05-09 16:08:30
Amumu,11,4,39,62,117,36.36,2.52,3.55,5.64,10.64,2025-05-09 16:08:30
Aurelion Sol,42,22,307,191,332,52.38,3.35,7.31,4.55,7.9,2025-05-09 16:08:30
LeBlanc,148,78,1031,691,938,52.7,2.85,6.97,4.67,6.34,2025-05-09 16:08:30
Swain,66,40,340,378,646,60.61,2.61,5.15,5.73,9.79,2025-05-09 16:08:30
KogMaw,46,28,294,262,298,60.87,2.26,6.39,5.7,6.48,2025-05-09 16:08:30
Evelynn,14,8,131,71,88,57.14,3.08,9.36,5.07,6.29,2025-05-09 16:08:30
Zoe,77,38,490,375,653,49.35,3.05,6.36,4.87,8.48,2025-05-09 16:08:30
Vex,32,16,174,167,233,50.0,2.44,5.44,5.22,7.28,2025-05-09 16:08:30
Belveth,30,14,205,142,183,46.67,2.73,6.83,4.73,6.1,2025-05-09 16:08:30
Trundle,22,10,94,126,196,45.45,2.3,4.27,5.73,8.91,2025-05-09 16:08:30
Fizz,19,12,107,82,126,63.16,2.84,5.63,4.32,6.63,2025-05-09 16:08:30
Nilah,28,9,148,165,113,32.14,1.58,5.29,5.89,4.04,2025-05-09 16:08:30
Tahm Kench,16,3,36,113,148,18.75,1.63,2.25,7.06,9.25,2025-05-09 16:08:30
Shyvana,5,2,13,25,24,40.0,1.48,2.6,5.0,4.8,2025-05-09 16:08:30
Illaoi,6,2,23,40,22,33.33,1.12,3.83,6.67,3.67,2025-05-09 16:08:30
Samira,9,5,89,54,44,55.56,2.46,9.89,6.0,4.89,2025-05-09 16:08:30
