champion,games,wins,win_rate,avg_kills,avg_deaths,avg_assists,kda,last_updated
Rakan,1142,622,54.47,1.36,4.65,15.09,3.54,2025-04-15 22:38:41
Pantheon,2224,1222,54.95,6.72,5.46,8.4,2.77,2025-04-15 22:38:41
Ekko,1080,633,58.61,8.1,4.38,6.55,3.35,2025-04-15 22:38:41
Viego,2550,1469,57.61,8.18,4.5,6.37,3.23,2025-04-15 22:38:41
Ashe,1113,610,54.81,5.14,5.27,8.35,2.56,2025-04-15 22:38:41
Galio,1075,597,55.53,3.77,4.3,9.77,3.14,2025-04-15 22:38:41
Lillia,944,540,57.2,6.64,3.94,8.34,3.8,2025-04-15 22:38:41
Xinzhao,1034,591,57.16,6.19,4.64,8.63,3.19,2025-04-15 22:38:41
Naafiri,1794,1021,56.91,8.03,4.26,7.29,3.6,2025-04-15 22:38:41
Vi,2028,1154,56.9,5.88,4.29,8.39,3.33,2025-04-15 22:38:41
Bard,1004,579,57.67,2.86,4.95,14.4,3.48,2025-04-15 22:38:41
Zyra,888,486,54.73,4.96,4.57,9.9,3.25,2025-04-15 22:38:41
Lulu,1707,980,57.41,1.71,4.15,14.04,3.8,2025-04-15 22:38:41
Sejuani,204,89,43.63,3.99,4.15,10.01,3.37,2025-04-15 22:38:41
Olaf,304,170,55.92,5.78,4.69,4.99,2.3,2025-04-15 22:38:41
Rell,1795,1030,57.38,1.98,5.44,16.03,3.31,2025-04-15 22:38:41
Kindred,797,475,59.6,7.99,5.11,7.13,2.96,2025-04-15 22:38:41
Braum,932,529,56.76,1.16,5.0,15.51,3.34,2025-04-15 22:38:41
Leona,925,503,54.38,1.69,5.8,13.64,2.64,2025-04-15 22:38:41
Nautilus,2020,1061,52.52,1.96,5.95,13.63,2.62,2025-04-15 22:38:41
Varus,2172,1196,55.06,6.49,4.91,6.77,2.7,2025-04-15 22:38:41
Jhin,2096,1080,51.53,6.88,4.41,7.44,3.24,2025-04-15 22:38:41
Alistar,1625,932,57.35,1.53,5.22,14.55,3.08,2025-04-15 22:38:41
Thresh,749,431,57.54,1.77,5.32,14.7,3.09,2025-04-15 22:38:41
Blitzcrank,402,238,59.2,1.81,5.3,14.05,2.99,2025-04-15 22:38:41
Renata,374,201,53.74,1.59,4.81,15.16,3.48,2025-04-15 22:38:41
Soraka,598,327,54.68,1.06,4.37,14.01,3.45,2025-04-15 22:38:41
Hwei,807,455,56.38,5.13,4.37,8.13,3.03,2025-04-15 22:38:41
Sona,720,398,55.28,2.62,4.95,14.51,3.46,2025-04-15 22:38:41
Aurelionsol,576,352,61.11,6.74,4.11,8.33,3.67,2025-04-15 22:38:41
Nami,1309,763,58.29,1.58,4.43,15.49,3.86,2025-04-15 22:38:41
Sivir,383,202,52.74,5.35,4.87,7.42,2.62,2025-04-15 22:38:41
